,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,Ⅰ.유동자산,Ⅰ.유동자산,293868996257,270604639816,128576837900,140807939599,,,,
1,Ⅰ.유동자산,현금및현금성자산,133088176795,132520254824,11965684523,20522164123,,,,
2,Ⅰ.유동자산,매출채권,65198131997,56156976910,52065973605,55314308271,,,,
3,Ⅰ.유동자산,기타수취채권,1876849942,869986959,184239846,230169749,,,,
4,Ⅰ.유동자산,기타금융자산,4015074628,1459259628,,,,,,
5,Ⅰ.유동자산,재고자산,87242124788,76730309651,62547016299,62239830688,,,,
6,Ⅰ.유동자산,기타유동자산,2448638107,2867851844,1813923627,2492626768,,,,
7,Ⅱ.비유동자산,Ⅱ.비유동자산,157674477659,139567625244,92133749132,76326659961,,,,
8,Ⅱ.비유동자산,기타수취채권,4399547693,4003030373,4476997503,230169749,,,,
9,Ⅱ.비유동자산,기타금융자산,270560000,270560000,110000000,,,,,
10,Ⅱ.비유동자산,공동기업투자주식,1062251756,1226995276,1184705555,983937579,,,,
11,Ⅱ.비유동자산,유형자산,102494483807,90563250197,64563636766,59509944302,,,,
12,Ⅱ.비유동자산,무형자산,7004793003,5973353875,4469457695,5893946003,,,,
13,Ⅱ.비유동자산,사용권자산,39683949763,,,,,,,
14,Ⅱ.비유동자산,투자부동산,1939316000,1939316000,1939316000,1939316000,,,,
15,Ⅱ.비유동자산,기타비유동자산,402726617,35591119523,15389635613,758342375,,,,
16,Ⅱ.비유동자산,이연법인세자산,416849020,,,2150837529,,,,
17,자산총계,자산총계,451543473916,410172265060,220710587032,217134599560,,,,
18,Ⅰ.유동부채,Ⅰ.유동부채,99029375910,87224103769,91174257446,121714624801,,,,
19,Ⅰ.유동부채,매입채무,60001520294,49490251990,49851272306,76378998697,,,,
20,Ⅰ.유동부채,기타지급채무,24628006878,17956809442,16706443228,20467118963,,,,
21,Ⅰ.유동부채,단기차입금,2180273942,,18701430962,5290427687,,,,
22,Ⅰ.유동부채,당기법인세부채,5490259029,14090409665,3203780561,5569017629,,,,
23,Ⅰ.유동부채,기타유동부채,3288452811,5333424504,2418607850,2392525100,,,,
24,Ⅰ.유동부채,충당부채,3440862956,353208168,292722539,11616536725,,,,
25,Ⅱ. 비유동부채,Ⅱ. 비유동부채,14016367605,13839590217,11755971070,8601026739,,,,
26,Ⅱ. 비유동부채,장기차입금,2354178218,,,,,,,
27,Ⅱ. 비유동부채,장기종업원급여부채,2615675657,2317610704,2040466602,2315886768,,,,
28,Ⅱ. 비유동부채,확정급여부채,9046513730,10616177838,8623400864,6285139971,,,,
29,Ⅱ. 비유동부채,이연법인세부채,,905801675,1092103604,,,,,
30,부채총계,부채총계,113045743515,101063693986,102930228516,130315651540,,,,
31,Ⅰ. 지배기업의 소유주지분,Ⅰ. 지배기업의 소유주지분,338497730401,309108571074,117780358516,86818948020,,,,
32,Ⅰ. 지배기업의 소유주지분,자본금,26409935000,26266135000,21322335000,21322335000,,,,
33,Ⅰ. 지배기업의 소유주지분,자본잉여금,143348035807,141545609909,4952203359,4952203359,,,,
34,Ⅰ. 지배기업의 소유주지분,기타자본항목,28022408,217163631,434337581,352028956,,,,
35,Ⅰ. 지배기업의 소유주지분,기타포괄손익누계액,-87530450,-131718298,-84601733,,,,,
36,Ⅰ. 지배기업의 소유주지분,이익잉여금,168799267636,141211380832,91156084309,60192380705,,,,
37,Ⅱ. 비지배지분,Ⅱ. 비지배지분,,,,,,,,
38,자본총계,자본총계,338497730401,309108571074,117780358516,86818948020,,,,
39,,자본과부채총계,451543473916,410172265060,220710587032,217134599560,,,,
