,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,Ⅰ. 영업활동으로 인한 현금흐름,Ⅰ. 영업활동으로 인한 현금흐름,32416840462,41227991875,-6644055616,53493310452,,,,
1,Ⅰ. 영업활동으로 인한 현금흐름,1. 당기순이익,41643076591,60789196299,38061024819,21546409497,,,,
2,Ⅰ. 영업활동으로 인한 현금흐름,2. 현금의 유출이 없는 비용 등의 가산,43064232107,37302381353,32306337932,37669464742,,,,
3,Ⅰ. 영업활동으로 인한 현금흐름,퇴직급여,5746230942,5084624484,5030927365,4279508037,,,,
4,Ⅰ. 영업활동으로 인한 현금흐름,장기종업원급여,228285324,219296110,63965784,518515076,,,,
5,Ⅰ. 영업활동으로 인한 현금흐름,감가상각비,11700969480,7293805895,6242018940,5502032750,,,,
6,Ⅰ. 영업활동으로 인한 현금흐름,무형자산상각비,1259562219,1024309038,842100235,738936441,,,,
7,Ⅰ. 영업활동으로 인한 현금흐름,대손상각비,,,390040479,614292063,,,,
8,Ⅰ. 영업활동으로 인한 현금흐름,재고자산평가(폐기)손실,4597403598,4396294609,7851942622,7446082878,,,,
9,Ⅰ. 영업활동으로 인한 현금흐름,이자비용,200327683,251103209,332938586,696489268,,,,
10,Ⅰ. 영업활동으로 인한 현금흐름,외화환산손실,391943298,274367832,367399928,29955549,,,,
11,Ⅰ. 영업활동으로 인한 현금흐름,기타의대손상각비,,,151004976,179243493,,,,
12,Ⅰ. 영업활동으로 인한 현금흐름,유형자산처분손실,428916919,8970137,,,,,,
13,Ⅰ. 영업활동으로 인한 현금흐름,무형자산처분손실,2056208,,,,,,,
14,Ⅰ. 영업활동으로 인한 현금흐름,당기손익-공정가치측정금융자산평가손실,984925372,,,,,,,
15,Ⅰ. 영업활동으로 인한 현금흐름,당기손익-공정가치측정금융자산처분손실,,145308501,,,,,,
16,Ⅰ. 영업활동으로 인한 현금흐름,주식보상비용,28032727,,82308625,301747950,,,,
17,Ⅰ. 영업활동으로 인한 현금흐름,지분법손실,164743520,,,,,,,
18,Ⅰ. 영업활동으로 인한 현금흐름,충당부채전입액,3121550000,,88951640,11451711953,,,,
19,Ⅰ. 영업활동으로 인한 현금흐름,법인세비용,14209284817,18604301538,10862738752,5908149561,,,,
20,Ⅰ. 영업활동으로 인한 현금흐름,3. 현금의 유입이 없는 수익 등의 차감,3336972848,3067416382,3097472892,-325999700,,,,
21,Ⅰ. 영업활동으로 인한 현금흐름, 대손상각비(환입),212751351,523813866,,614292063,,,,
22,Ⅰ. 영업활동으로 인한 현금흐름,이자수익,855668864,1897224135,609850899,59592287,,,,
23,Ⅰ. 영업활동으로 인한 현금흐름,외화환산이익,32433962,300329082,106314064,242181322,,,,
24,Ⅰ. 영업활동으로 인한 현금흐름,지분법이익,,42289721,200767976,24226091,,,,
25,Ⅰ. 영업활동으로 인한 현금흐름,충당부채환입액,,,2179741953,,,,,
26,Ⅰ. 영업활동으로 인한 현금흐름,유형자산처분이익,5533200,32672276,798000,,,,,
27,Ⅰ. 영업활동으로 인한 현금흐름,당기손익-공정가치측정금융자산평가이익,,51259628,,,,,,
28,Ⅰ. 영업활동으로 인한 현금흐름,당기손익-공정가치측정금융자산처분이익,2230585471,219827674,,,,,,
29,Ⅰ. 영업활동으로 인한 현금흐름,4. 영업활동으로 인한 자산 부채의 변동,-26162383082,-47855404428,-64600776082,2626546798,,,,
30,Ⅰ. 영업활동으로 인한 현금흐름,매출채권,-9202259770,-3616059912,2778197764,-288080179,,,,
31,Ⅰ. 영업활동으로 인한 현금흐름,기타수취채권,-1013268771,-607289263,96822275,-41546819,,,,
32,Ⅰ. 영업활동으로 인한 현금흐름,재고자산,-15109218735,-18579587961,-8159128232,-8103465337,,,,
33,Ⅰ. 영업활동으로 인한 현금흐름,기타유동자산,-824921187,14854846,17469163,-1749797309,,,,
34,Ⅰ. 영업활동으로 인한 현금흐름,기타비유동자산,-16235242,-20742671100,-13522500000,,,,,
35,Ⅰ. 영업활동으로 인한 현금흐름,반품충당자산,12468257,-163979071,,,,,,
36,Ⅰ. 영업활동으로 인한 현금흐름,매입채무,10511268304,-361020316,-26527726391,13113481217,,,,
37,Ⅰ. 영업활동으로 인한 현금흐름,기타지급채무,1697075038,766505567,-363113072,7317237899,,,,
38,Ⅰ. 영업활동으로 인한 현금흐름,기타유동부채,-2020596693,2723879154,26082749,-346357461,,,,
39,Ⅰ. 영업활동으로 인한 현금흐름,기타충당부채,,-88951640,-9271970000,,,,,
40,Ⅰ. 영업활동으로 인한 현금흐름,반품충당부채,-33895212,149437269,38946127,-34866213,,,,
41,Ⅰ. 영업활동으로 인한 현금흐름,퇴직금의 지급,-1521391445,-508369993,-579090000,-3026537000,,,,
42,Ⅰ. 영업활동으로 인한 현금흐름,사외적립자산의 납입,-8711187255,-6900000000,-8793000000,-4000000000,,,,
43,Ⅰ. 영업활동으로 인한 현금흐름,장기종업원부채,69779629,57847992,-339385950,-213522000,,,,
