,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,Ⅰ. 매출액,Ⅰ. 매출액,701336794362,699584479778,628921402960,506779882847,,,,
1,Ⅱ. 매출원가,Ⅱ. 매출원가,361453199058,344614451459,303218519796,265620108802,,,,
2,Ⅲ. 매출총이익,Ⅲ. 매출총이익,339883595304,354970028319,325702883164,,,,,
3,Ⅳ. 판매비와관리비,Ⅳ. 판매비와관리비,279282223440,275799343728,275981113681,201185297886,,,,
4,Ⅴ. 영업이익,Ⅴ. 영업이익,60601371864,79170684591,49721769483,39974476159,,,,
5,1. 기타수익,1. 기타수익,3719442773,1143835285,2963384183,1025762737,,,,
6,2. 기타비용,2. 기타비용,10176666159,2863134196,3971220452,13307979631,,,,
7,3. 금융수익,3. 금융수익,3504420541,2902713407,828181476,507669858,,,,
8,4. 금융비용,4. 금융비용,1631464091,1002890971,819119095,769596156,,,,
9,5. 지분법손익,5. 지분법손익,-164743520,42289721,200767976,24226091,,,,
10,Ⅵ. 법인세비용차감전순이익,Ⅵ. 법인세비용차감전순이익,55852361408,79393497837,48923763571,27454559058,,,,
11,Ⅶ. 법인세비용,Ⅶ. 법인세비용,14209284817,18604301538,10862738752,5908149561,,,,
12,Ⅷ. 당기순이익(손실),Ⅷ. 당기순이익(손실),41643076591,60789196299,38061024819,21546409497,,,,
13,Ⅸ. 기타포괄손익,Ⅸ. 기타포괄손익,-2191245689,-3318202591,-2917457948,,,,,
14,Ⅸ. 기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,,,
15,Ⅸ. 기타포괄손익,- 확정급여부채의 재측정요소,-2235433537,-3271086026,-2832856215,-1637296576,,,,
16,Ⅸ. 기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,,,,,,
17,Ⅸ. 기타포괄손익,- 해외사업환산손익,44187848,-47116565,-84601733,,,,,
18,Ⅹ. 총포괄이익,Ⅹ. 총포괄이익,39451830902,57470993708,35143566871,19909112921,,,,
19,Ⅹ. 총포괄이익,지배기업 소유주지분,39451830902,57470993708,35143566871,19909112921,,,,
20,Ⅹ. 총포괄이익,비지배지분,,,,,,,,
21,주당이익 [abstract],기본주당이익,1581,2411,1785,1011,,,,
22,주당이익 [abstract],희석주당이익,1581,2397,1761,987,,,,
