,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,733183785854,661458369200,575318467890,434916616633,355544466687,374015245152,557337095210,564726795452
1,유동자산,현금및현금성자산,200582005633,147433369018,171114297200,144098268610,125589083161,69797756709,90417034722,76089371534
2,유동자산,단기금융자산,226751126110,252836136130,208406870630,98324464530,17466040530,60380570530,243175515380,331580468039
3,유동자산,매출채권및기타채권,143839684843,123049402192,147994208334,150360780344,156811049584,177070934489,166676721797,101021427490
4,유동자산,계약자산,50023552356,32744472801,,,,,,
5,유동자산,미수수익,1553807716,2359532278,1608464780,493430820,144078088,760637001,3730373475,6274985383
6,유동자산,재고자산,41408117836,42945860207,41173539280,35836895208,49465037587,56357743890,48382616750,46451732772
7,유동자산,선급금,7790689155,1495036583,995390029,1020516768,1945995483,2355956834,1059424996,272147162
8,유동자산,선급비용,59130874141,58354500588,4025697637,4782260353,4079804345,6993270019,3856549770,2938729942
9,유동자산,부가세대급금,1823647393,210575032,,,,,,
10,유동자산,기타유동자산,280280671,29484371,,,43377909,298375680,38858320,97933130
11,비유동자산,비유동자산,1061775933156,1021395924928,1006218511535,1025460030056,1038882040405,1086045727062,596743452472,516218466431
12,비유동자산,장기계약자산,3210559490,2179596450,,,,,,
13,비유동자산,장기금융자산,6000000,6000000,7000000,8000000,11894000,11894000,11894000,11894000
14,비유동자산,매도가능금융자산,,,6291806987,5931315537,7139576916,7523175105,6856674554,6266674554
15,비유동자산,기타포괄손익-공정가치금융자산,10270706202,9383429182,,,,,,
16,비유동자산,당기손익-공정가치금융자산,2555934693,4205626086,,,,,,
17,비유동자산,대여금및수취채권,48346937181,52417737574,51381313832,48775407047,49755608557,75221700105,74208868790,73883463262
18,비유동자산,관계기업및공동기업투자주식,2561155938,,,,,,,
19,비유동자산,유형자산,470234331887,459228549548,462426324215,474898684607,469876934877,465428970556,440698716951,393896153111
20,비유동자산,무형자산,439926290340,443261734060,458876989729,478630844938,497892956037,521074991376,64577773678,31771324298
21,비유동자산,사용권자산,26734154620,,,,,,,
22,비유동자산,장기선급비용,54096477642,47768119840,10621811,11345530,12071231,1136875695,260740231,344349116
23,비유동자산,순확정급여자산,784389983,,10912497682,1372513417,,,,
24,비유동자산,이연법인세자산,3048995180,2945132188,16311957279,15831918980,14192998787,12134627455,6611585378,10044608090
25,자산총계,자산총계,1794959719010,1682854294128,1581536979425,1460376646689,1394426507092,1460060972214,1154080547682,1080945261883
26,유동부채,유동부채,384081210878,306091321734,292782419691,288030525001,328307397955,460899462366,223011505510,190547616332
27,유동부채,매입채무및기타채무,217488064044,199836398468,187728536160,193612021253,200172790524,181552461872,156458313856,126614534924
28,유동부채,리스부채,11754871023,,,,,,,
29,유동부채,부가세예수금,24684832652,21802201560,23103536073,19297144779,21336030875,19609457890,13736699494,11928598213
30,유동부채,미지급법인세,24000654428,20323816887,24715231480,25062383748,44828126899,27124871179,6627130475,12741807201
31,유동부채,선수금,48108856754,41784796138,51209891097,44887953486,53223357584,37525542439,41219685644,34788781273
32,유동부채,선수수익,15930318822,15667922711,79670000,93310000,3240895000,65402942,87280315,295418474
33,유동부채,예수금,7134477309,6676185970,5945554881,5077711735,5506197073,5021726044,4882395726,4178476247
34,유동부채,유동성 예수보증금,34979135846,,,,,,,
35,비유동부채,비유동부채,83272030607,114445256207,80917056860,72400754242,85763139412,83428984299,87563323047,85373976867
36,비유동부채,장기성매입채무및기타채무,5467817050,8835634100,7242981600,,,,,
37,비유동부채,장기리스부채,15097078053,,,,,,,
38,비유동부채,순확정급여부채,3883711743,13298105068,,,22071671461,16045430035,24827745237,42463749277
39,비유동부채,이연법인세부채,2630947164,,,,,5806680698,5573967619,
40,비유동부채,예수보증금,5955007277,42525353857,43475348584,47423755970,46372558613,45013982748,43671532768,42910227590
41,비유동부채,충당부채,2482570293,5820000000,5820000000,3820000000,,,,
42,비유동부채,장기선수수익,15167175647,16247860864,,,,,,
43,비유동부채,기타비유동부채,32587723380,27718302318,24378726676,21156998272,17318909338,16562890818,13490077423,
44,부채총계,부채총계,467353241485,420536577941,373699476551,360431279243,414070537367,544328446665,310574828557,275921593199
45,지배기업의 소유지분,지배기업의 소유지분,1327580505148,1262300568277,1207828465973,1099945367446,980092793222,873444866876,806478519948,773373184128
46,지배기업의 소유지분,자본금,18999589000,18999589000,18999589000,18999589000,18999589000,18999589000,18999589000,18999589000
47,지배기업의 소유지분,보통주자본금,18999589000,18999589000,18999589000,18999589000,18999589000,18999589000,18999589000,18999589000
48,지배기업의 소유지분,주식발행초과금,192913601374,192913601374,192913601374,192913601374,192913601374,192913601374,192913601374,192913601374
49,지배기업의 소유지분,이익잉여금,1267598907044,1203001155778,1148521528923,1040420682965,920890867342,813991664462,746155057778,713895800954
50,지배기업의 소유지분,기타자본항목,-151931592270,-152613777875,-152606253324,-152388505893,-152711264494,-152459987960,-151589728204,-152435807200
51,비지배지분,비지배지분,25972377,17147910,9036901,,263176503,42287658673,37027199177,31650484556
52,자본총계,자본총계,1327606477525,1262317716187,1207837502874,1099945367446,980355969725,915732525549,843505719125,805023668684
53,,부채와자본총계,1794959719010,1682854294128,1581536979425,1460376646689,1394426507092,1460060972214,1154080547682,1080945261883
