,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,,,,,,,,
1,,,2087864326836,1576408673266,1772726949121,1191628829759,1082774018109,1019545797664,785504544784,674303525826
2,,,303443276788,185592882727,187255812447,144829329639,248092386501,202756536966,123330761249,123040836583
3,,,676809612966,232653095174,92695012937,144970886049,306198349321,498596742391,378576326931,313034856256
4,,,254438148640,148499863730,193018227815,158456941728,88963242761,89755149748,81390284372,76702371461
5,,,16118401506,30451584591,10435559248,8119757714,9750864527,8277292187,8499598883,10732458614
6,,,143138198,3882159156,3362108312,388827346,467401049,498605947,1187400737,2039279049
7,,,791801569831,948113664544,1260940800450,,,,,
8,,,2073250460,1004088797,513205049,665605950,685710162,708400146,934547197,2038585111
9,,,42020670708,25142260477,24131128741,39776148928,30056454982,22809389769,16427887255,15748437579
10,,,1016257739,1069074070,375094122,325902768,166516748,84870510,157738160,5966701173
11,,,1258513073549,1364870040778,1753840211498,1169174031921,1136423302233,679280330079,694017137148,642522459343
12,,,10836166557,10930342328,10435559248,8119757714,9750864527,8277292187,8499598883,10732458614
13,,,4588233918,55587207,43310593,115591580,137593210,433646954,1295893829,3432704323
14,,,698725894421,895022363575,1303156419980,,,,,
15,,,43613965612,56380436362,33823702322,71222525352,35368108649,29316068861,22708502957,20682340984
16,,,93684755300,95005668146,96333433985,238091472672,240081769977,243886331327,247524668999,
17,,,350408848297,233876559108,229062631039,224654948984,233821886940,240839261581,248310439918,425828131646
18,,,49580055884,54377478827,52405762249,53345011970,64225894954,94558977229,112105218417,133317457453
19,,,5982205808,10000000000,3000000000,3000000000,107102456,99741531,127132397,336878366
20,,,266843807,4213226220,10557946640,,,,,
21,,,826103945,5008379005,3208678257,1411581093,23988877041,25665726286,23170454665,15013913871
22,,,3346377400385,2941278714044,3526567160619,2360802861680,2219197320342,1698826127743,1479521681932,1316825985169
23,,,,,,,,,,
24,,,449764539269,473074463192,455797606235,284355732572,337541365649,245386466697,251845267481,235652439668
25,,,11310003450,155050580963,149818736419,,,,,
26,,,52862846316,33306635323,48395093540,39464689132,31338059470,27943219747,22558855059,25474245764
27,,,31381390859,,,,,,,
28,,,83392133892,71149631485,142593761909,39911858853,105851428856,34786660089,40042245850,5317069951
29,,,270816546752,213565997421,264807132786,204976795587,199862089561,182166313099,185808100572,192679044658
30,,,1618000,1618000,1618000,2389000,489787762,490273762,6341000,7653000
31,,,384447430315,89232845728,341530254599,180939341136,92720681394,77845047141,68913233881,60609983141
32,,,8548104868,,,,,,,
33,,,249364096041,,149818736419,,,,,
34,,,12320467898,4101032199,3314099517,13789828522,,,,
35,,,7810072814,7120534672,7046978026,4887252300,5057794335,4776458227,4872660676,4549550430
36,,,7978434841,4361324473,48395093540,39464689132,31338059470,27943219747,22558855059,25474245764
37,,,65714515759,,,,,,,
38,,,11971364823,7999398961,3438271998,4471539159,6397830931,3565770828,1830874989,7432864169
39,,,2563864835,2407744553,1618000,2389000,489787762,490273762,6341000,7653000
40,,,18176508436,63242810870,172790671304,815909070,,,83496630,1486917173
41,,,834211969584,562307308920,797327860834,465295073708,430262047043,323231513838,320758501362,296262422809
42,,,,,,,,,,
43,,,2499168181415,2367717184303,2721242691055,1885562660878,1769519129008,1360576931153,1141238718854,1000584982271
44,,,10977011000,10969511000,10969511000,10964511000,10964511000,10964511000,10957354000,10949416000
45,,,-2245068568,4454005496,279057498494,278611021719,431516059146,123297170636,119617898341,117909756792
46,,,108350013161,188477340679,525307306487,52160451836,-3312085480,-7941935263,-6121644297,991353811
47,,,2382086225822,2163816327128,1905908375074,1543826676323,1330350644342,1234257184780,1016785110810,870734455668
48,,,12997249386,11254220821,7996608730,9945127094,19416144291,15017682752,17524461716,19978580089
49,,,2512165430801,2378971405124,2729239299785,1895507787972,1788935273299,1375594613905,1158763180570,1020563562360
50,,,3346377400385,2941278714044,3526567160619,2360802861680,2219197320342,1698826127743,1479521681932,1316825985169
