,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,392249235729,352800469174,595173210397,112022508831,241337233887,263580917054,236187663553,210641886701
1,,,488771424868,598530170737,640081566975,231723144723,296196615743,315144928207,242144995478,230643032404
2,,,359154722508,421467650710,444043111896,271381872090,166350442469,227519296162,158695768295,153666725549
3,,,136998851991,215882267950,166199699332,74691206113,73159319384,61489783175,57526635203,29240348127
4,,,8419063264,3330175649,3257503570,2978607596,32179145,28593441,322687089,865713866
5,,,1796432472,758950953,7014793359,1593760711,1119237087,910403451,694784936,841969792
6,,,1946782552,964851916,1496504052,4650426171,1021059109,2527365171,2478856221,3865964007
7,,,3300000000,2650949083,33431960,,,2324247337,1278085250,896853350
8,,,51231173366,25500022690,26861784780,26500237520,28473624130,30246275244,28935039302,28742011957
9,,,1243949001,2410349824,3138863869,5905031121,6501614087,6486626551,6472799122,9606407640
10,,,389343021,76867390,46785337,243522959,634314771,312851400,519636686,814176075
11,,,114761135,58514779,,154608535,1669910,52787523,,36367953
12,,,6233631086,,1403174706,7654341179,28839771628,13198658459,15626056210,5804941426
13,,,13917860453,12859241585,,,,,,
14,,,9143224884,8481274690,,,,,,
15,,,4564546900,6553896367,,,,,,
16,,,13497140176,593236294,,428118925,,5543900638,,
17,,,1227076963,200635142,765065485,30921614,,,,
18,,,23834928966,20009552415,19400592895,18618013046,16713849313,15256593461,15750016841,29604526765
19,,,15988585,65992281,141010820,402997035,-365276484,1844940840,1220723098,
20,,,-33579778274,-29345416633,-19007194945,-21559269948,-20405823054,-17401454621,-16705523539,-18224752205
21,,,-7373874830,-12292122285,-690898305,-8366627921,-10109156757,-6141097371,-642523947,-994210518
22,,,-3670268676,-12111980194,-2087178127,-504539637,-355522477,-342824013,-60000000,-66000000
23,,,-26121388007,-4081172615,,,,,,
24,,,-6291758339,-4690266308,,,,,,
25,,,,-4912579401,-1619174103,-8858923805,-1605201440,,,
26,,,-15397012,-5666006,,-34556959,-303555012,,,
