,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,1701185422583,1715115508236,1758721721721,,,,,
1,,,1222193003790,1100186195863,1173702759999,,,,,
2,,,478992418793,614929312373,585018961722,328762462165,237466377634,278188111023,205235211161,151252046480
3,,,17161155706,22420606287,25223849506,17310616038,2043384219,10820968314,10987192337,31655027196
4,,,69663193296,50249720185,26908469317,24741355688,20885122996,17744278634,16765523539,18290752205
5,,,-31480148601,-24670691924,-15480678670,-14089063535,-830727526,-28593441,-322687089,-865713866
6,,,-19288764039,-2435188402,-1550407319,7345030071,-1965838460,-1765786893,,
7,,,43930476308,40119276845,48120047152,,,,,
8,,,-45663601258,-40842510417,-32773580974,,,,,
9,,,496153574499,637349918660,610242811228,346073078203,239509761853,289009079337,216222403498,182907073676
10,,,136998851991,215882267950,166199699332,74691206113,73159319384,61489783175,57526635203,29240348127
11,,,359154722508,421467650710,444043111896,271381872090,166350442469,227519296162,158695768295,153666725549
12,,,358174054800,418185417757,440967021067,272268783909,165393410705,229958381337,158755906362,155802250820
13,,,980667708,3282232953,3076090829,-886911819,957031764,-2439085175,-60138067,-2135525271
14,,,-94694459968,-341406041036,474931709855,58114864336,4683410973,-3524889666,-10631704673,-3946483240
15,,,-99589622848,-340256320535,2245708682,,,,-682241687,1534238882
16,,,-15211927658,-6221836839,2245708682,1284541728,,,,
17,,,-84377695190,-334034483696,,,,,,
18,,,4895162880,-1149720501,472686001173,,,,-9949462986,-5480722122
19,,,2003471936,195641262,34260718,-524685659,454214908,87768541,,
20,,,2891690944,-1345361763,-3225269306,1452771823,3072994920,-2383218607,-7772568703,-6177784949
21,,,264460262540,80061609674,918974821751,329496736426,,,,
22,,,262726827126,76843592952,916367030382,329012930230,169221915115,227618280204,150894628634,154208096253
23,,,1733435414,3218016722,2607791369,,,,,
24,,,,,,,,,,
25,,,17387,19831,20756,12783,,,,
26,,,17381,19806,20728,12771,,,,
