,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출,매출,2388266483185,2101268459139,2009311225047,2001607172387,1584939206233,1246335949859,1108226793501,1059149339989
1,매출원가,매출원가,1782387006601,1532124607346,1472177019957,1474629420727,1135676081167,908878142964,825529088208,764552885271
2,매출총이익,매출총이익,605879476584,569143851793,537134205090,526977751660,449263125066,337457806895,282697705293,294596454718
3,판매비와관리비,판매비와관리비,368318138297,368105864817,355986775183,347531564514,252444567226,151956227121,121909659587,108293707917
4,영업이익,영업이익,237561338287,201037986976,181147429907,179446187146,196818557840,185501579774,160788045706,186302746801
5,기타수익,기타수익,97393137878,91336447518,102944879361,95058740010,54134075317,32634929585,31434857033,28506150817
6,기타비용,기타비용,90126567903,111447495327,139274840526,109619669521,53636292720,35854984283,32257870535,34878532344
7,금융수익,금융수익,8116611417,6855263165,6253526543,3634912415,3070201151,3349038416,4237874153,3086631986
8,금융비용,금융비용,18748414254,16133404960,17664921448,12664577747,8873952312,4015853525,2958631500,3818773632
9,관계기업및공동지배기업투자손익,관계기업및공동지배기업투자손익,-548634071,-2532617012,-2318679344,,,,,
10,법인세비용차감전순이익,법인세비용차감전순이익,233647471354,169116180360,131087394493,153799833999,190774288550,184678976260,162801514973,178936772014
11,법인세비용,법인세비용,59364684646,57831013981,36414572203,44829183038,46250403273,41361273822,40872152466,47267306323
12,당기순이익(손실),당기순이익(손실),174282786708,111285166379,94672822290,108970650961,144523885277,143317702438,121929362507,131669465691
13,당기순이익(손실)의 귀속 [abstract],지배기업지분,166284826180,113059112200,108688217646,109981038172,129891870258,128123175228,110503183991,119113665706
14,당기순이익(손실)의 귀속 [abstract],비지배지분,7997960528,-1773945821,-14015395356,-1010387211,14632015019,15194527210,11426178516,12555799985
15,주당이익 [abstract],기본주당순이익,3791,2577,2477,2489,2931,2891,2513,2909
