,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출,매출,2359651224603,2246764231443,2126150492294,2010658195588,1883098974718,1781728719562,1728175159245,1686637585277
1,매출원가,매출원가,1951178384605,1847750039843,1649224695942,-1523765765641,-1425163060580,-1366215406649,-1337333527870,-1301012796811
2,매출총이익,매출총이익,408472839998,399014191600,476925796352,486892429947,457935914138,415513312913,390841631375,385624788466
3,판매비와관리비,판매비와관리비,260194348949,247289096897,330870613126,-344391282734,-324526723021,-299642376864,-285765910017,-276937009770
4,영업이익,영업이익,148278491049,151725094703,146055183226,142501147213,133409191117,115870936049,105075721358,108687778696
5,금융수익,금융수익,5708882981,6400993818,5040958952,4505315909,5276441049,6382805660,8333981999,6568095504
6,금융원가,금융원가,7915721752,4568000191,3217124652,-3264588044,-3921132490,-4316081730,-4071781025,-5071058347
7,기타수익,기타수익,11278525836,50722746155,30047047911,35915730067,9890864854,10794087726,8541739973,6740789595
8,기타비용,기타비용,22066910493,17557384309,14567506253,-13191480760,-10297268668,-10835445436,-8426051090,-15389842559
9,관계기업의 당기순손익에 대한 지분 증가,관계기업의 당기순손익에 대한 지분 증가,8577480688,16029191252,16971587001,16951757813,8494521275,7191577518,16213707978,11195606173
10,관계기업의 당기순손익에 대한 지분 감소,관계기업의 당기순손익에 대한 지분 감소,-1869991341,-918301027,0,,,,,
11,법인세비용차감전순이익,법인세비용차감전순이익,141990756968,201834340401,180330146185,183417882198,142852617137,125087879787,125667319193,112731369062
12,법인세비용,법인세비용,42195682167,41005203674,47947703510,-45426576517,-37919155221,-30976551980,-33426059278,-36945268734
13,계속영업순이익(손실),계속영업순이익(손실),99795074801,160829136727,132468383743,137995822655,,,,
14,세후중단영업순이익(손실),세후중단영업순이익(손실),0,0,-85941068,-4516974,,,,
15,당기순이익,당기순이익,99795074801,160829136727,132382442675,137991305681,104933461916,94111327807,92241259915,75786100328
16,기타포괄손익,기타포괄손익,-6871039728,-21358074966,-127137249,-26297623734,34357087736,-287536826,7888261530,-2270951335
17,기타포괄손익,후속기간에 당기손익으로 재분류되지 않는 항목,-10221597736,-25947417586,9904121825,-5776124665,-7244001349,-5741644853,-788149582,-2829184171
18,기타포괄손익,보험수리적손익,-5870648483,-1566322905,10013182508,-5407148320,-6913338070,-5050304299,-892561284,-2536039305
19,기타포괄손익,지분법이익잉여금,242980362,-151238210,-109060683,-368976345,-330663279,-691340554,104411702,-293144866
20,기타포괄손익,재평가적립금,0,-441753425,0,,,,,
21,기타포괄손익,지분법자본변동,-4593929615,-23788103046,0,-21277012035,40172839422,4713422973,9099012006,2332947468
22,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),3350558008,4589342620,-10031259074,-20521499069,41601089085,5454108027,8676411112,558232836
23,기타포괄손익,해외사업장환산손익,3522565340,4840494804,-10384941606,609806395,1239089364,740685054,-422600894,-1774714632
24,기타포괄손익,파생상품평가손익,-172007332,-251152184,0,,,,,
25,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,0,0,-334866870,145706571,189160299,,,
26,기타포괄손익,지분법자본변동,0,0,688549402,-21277012035,40172839422,4713422973,9099012006,2332947468
27,총포괄이익,총포괄이익,92924035073,139471061761,132255305426,111693681947,139290549652,93823790981,100129521445,73515148993
28,당기순이익(손실)의 귀속 [abstract],지배기업 소유주지분,96838777227,159955905002,131272967564,137521799202,104455001918,93765817942,91357405653,74732437106
29,당기순이익(손실)의 귀속 [abstract],비지배지분,2956297574,873231725,1109475111,469506479,478459998,345509865,883854262,1053663222
30,총 포괄손익의 귀속 [abstract],지배기업 소유주지분,89897620668,139541991012,131697854321,111313335328,138765243061,93383423048,99192935826,72696828066
31,총 포괄손익의 귀속 [abstract],비지배지분,3026414405,-70929251,557451105,380346619,525306591,440367933,936585619,818320927
32,주당이익 [abstract],기본주당이익(손실),29693,48677,39458,40839,30932,27767,27053,22130
33,주당이익 [abstract],기본주당이익,29693,48677,39458,40839,30932,27767,27053,22130
