,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),2023296057252,1926947888826,,,,,,
1,매출원가,매출원가,1110079910326,1049975126121,,,,,,
2,매출총이익,매출총이익,913216146926,876972762705,,,,,,
3,판매비,판매비,457930853625,470324430475,,,,,,
4,관리비,관리비,127696547944,124473303300,,,,,,
5,영업이익(손실),영업이익(손실),327588745357,282175028930,,,,,,
6,순기타수익(비용),순기타수익(비용),-17350819832,6190342899,,,,,,
7,순금융수익(원가),순금융수익(원가),-2136300286,-12108903888,,,,,,
8,지분법이익(손실),지분법이익(손실),7493902,-1047756867,,,,,,
9,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),308109119141,275208711074,,,,,,
10,법인세비용,법인세비용,87641211577,132182391222,,,,,,
11,당기순이익(손실),당기순이익(손실),220467907564,143026319852,,,,,,
12,기타포괄손익,기타포괄손익,27477224396,-19679097387,,,,,,
13,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),29810895801,-18476180831,,,,,,
14,기타포괄손익,해외사업장외화환산차이,29797364390,-18477891844,,,,,,
15,기타포괄손익,공동기업 기타포괄손익 중 지분해당액,13531411,1711013,,,,,,
16,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-2333671405,-1202916556,,,,,,
17,기타포괄손익,순확정급여부채의 재측정요소,-4417579167,-1524085921,,,,,,
18,기타포괄손익,공동기업의 순확정급여부채의 재측정요소 중 지분해당액,-5239462,-47659428,,,,,,
19,기타포괄손익,관련 법인세효과,1069054158,368828793,,,,,,
20,기타포괄손익,기타포괄손익-공정가치금융자산 평가손익,1020093066,,,,,,,
21,총포괄손익,총포괄손익,247945131960,123347222465,,,,,,
22,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),215579326901,139852062903,,,,,,
23,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),4888580663,3174256949,,,,,,
24,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",242031513415,121030755293,,,,,,
25,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",5913618545,2316467172,,,,,,
26,주당이익 [abstract],기본주당이익(손실),5454,3538,,,,,,
27,주당이익 [abstract],희석주당이익(손실),5454,3538,,,,,,
