,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,비유동자산,비유동자산,3605507545656,3538943516480,3604287092765,2128521713736,2037158149494,1903898115559,1905222728186,1615319987743
1,비유동자산,유형자산,1918489681968,1823994886314,1803666746669,1817464495886,1757468057123,1727056590452,1708491214536,1420814628085
2,비유동자산,영업권 이외의 무형자산,525862325444,582208593468,641506738082,28977493181,28916887636,27371353470,39242752285,43445977989
3,비유동자산,영업권,874133263719,874133263719,873384345132,24338224712,24058250370,12335100427,38990707994,38990707994
4,비유동자산,투자부동산,80107578330,85969974714,90807308203,39670508807,21938241793,22162095433,14670809429,14802135965
5,비유동자산,사용권자산,92838920779,,,,,,,
6,비유동자산,관계기업 및 공동기업투자,34488179422,36168974491,41079484558,33091221807,17318067162,19907316126,17150202667,17230876605
7,비유동자산,당기손익-공정가치금융자산,6315821714,3552533576,,,,,,
8,비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,20693054177,794389742,,,,,,
9,비유동자산,장기매출채권 및 기타비유동채권,2026997549,1018218297,1584140622,986086492,2731995338,12727092226,11635640956,12287786030
10,비유동자산,장기금융예치금,5089352836,89352836,136930436,102418715213,106683307410,202098836,72814836,96222254
11,비유동자산,기타비유동자산,23423204725,105353584124,118382118535,69145595204,63073542618,58093163033,58326377864,50554796890
12,비유동자산,이연법인세자산,22039164993,25659745199,27735268072,4660975483,6090098961,10728064843,784350164,3367270321
13,비유동자산,비유동매도가능금융자산,,,5955271382,7768396951,8879701083,10967735713,13325147455,10885215610
14,비유동자산,순확정급여자산,,,48741074,,,,,
15,유동자산,유동자산,760826107799,803190611242,695007321694,758893568809,939740690203,997124614631,1068394009193,1032286598464
16,유동자산,재고자산,172458676988,180118278757,174236220295,194383140182,188124039221,215502125718,231136917378,233652365789
17,유동자산,매출채권 및 기타유동채권,193174232445,187704878466,143865640184,191469567774,171346030539,189285024165,241446863308,238883936970
18,유동자산,당기손익-공정가치금융자산,43290186578,72808748738,,,,,,
19,유동자산,단기금융예치금,74688025653,25459897926,96502450308,55676639390,257868921911,271871868610,284160997630,244529923147
20,유동자산,기타유동자산,78043863480,78502470430,64592737737,76684911757,69610537850,103973679817,76764552860,103668515965
21,유동자산,당기법인세자산,8852052409,811077631,656357255,,,,,
22,유동자산,현금및현금성자산,190319070246,257785259294,215153915915,239537403190,252770602276,216225991321,233179143017,211472451593
23,매각예정비유동자산,매각예정비유동자산,,,3555214665,21449182163,21939953226,31496489080,,116880
24,자산총계,자산총계,4366333653455,4342134127722,4302849629124,2908864464708,2998838792923,2932519219270,2973616737379,2647606703087
25,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,1926130803227,1876066411674,1847859460433,1599522450271,1378710814383,1247124327746,1122678683259,984496390488
26,지배기업의 소유주에게 귀속되는 자본,자본금,31322711000,31322146500,31322026500,30042175000,29880455000,29874845000,29855675000,29834450000
27,지배기업의 소유주에게 귀속되는 자본,주식발행초과금,1251350081390,1251311079266,1251281671134,66913633701,66891050380,66616534445,65581339614,64461577896
28,지배기업의 소유주에게 귀속되는 자본,자기주식,11625409024,11625409024,11625409024,-32477479232,-32423770684,-32566543881,-16731528881,-16731528881
29,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,363680452067,338420504990,-2407503790994,-1470588858,-15463728522,-17111252993,-11892365929,-11844628382
30,지배기업의 소유주에게 귀속되는 자본,적립금,145806013740,114844531929,636782459091,639830615193,642269682291,652201557919,641873095286,645672045172
31,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),145596954054,151793558013,2347602503726,896684094467,687557125918,548109187256,413992468169,273104474683
32,비지배지분,비지배지분,1411494642891,1300521542687,1270045827290,105373002045,147465124234,155398152814,146597456889,143481545240
33,자본총계,자본총계,3337625446118,3176587954361,3117905287723,1704895452316,1526175938617,1402522480560,1269276140148,1127977935728
34,비유동부채,비유동부채,533303330152,622512771113,596168540750,331581149650,730392277014,666495925285,603048434721,663546850905
35,비유동부채,장기차입금,219776994743,309611588418,329446063313,276564600682,653190778643,584524236502,525268727113,576709037411
36,비유동부채,장기매입채무 및 기타비유동채무,2624591357,1801288490,2233283895,1122657665,1199994815,3032486344,2715564345,1723909522
37,비유동부채,비유동리스부채,6396867697,,,,,,,
38,비유동부채,확정급여부채,1883821418,37287023,,,,,6991096225,13008379777
39,비유동부채,이연법인세부채,302039320884,310177211137,263625336757,51516337185,71329544965,70767316271,67374308289,71448748656
40,비유동부채,기타비유동부채,581734053,885396045,863856785,865511052,873458857,2128958024,698738749,656775539
41,유동부채,유동부채,495404877185,543033402248,588775800651,872341698912,735268871114,857414917275,1101292162510,856081916454
42,유동부채,유동성장기차입금,120005915290,50046413946,165854506421,376429539302,176578756039,185133609937,170806756442,95756669270
43,유동부채,단기차입금,6980143898,105318222583,104443834030,93934024577,177187106493,261464155275,413151977745,304930152159
44,유동부채,매입채무 및 기타유동채무,277935526443,286078920456,255241725501,285187261247,297038662113,350121917374,399196221949,342223580963
45,유동부채,유동리스부채,5771722368,,,,,,,
46,유동부채,미지급법인세,30985287295,36643309218,17825180101,26571328959,23732590471,16566873690,24284397411,28396702968
47,유동부채,기타유동부채,53726281891,64946536045,45149626352,90056874303,60731755998,44125059079,93849150766,84765685311
48,유동부채,유동파생상품부채,,,260928246,162670524,,3301920,3658197,9125783
49,부채총계,부채총계,1028708207337,1165546173361,1184944341401,1203969012392,1472662854306,1529996738710,1704340597231,1519628767359
50,,자본과부채총계,4366333653455,4342134127722,4302849629124,2908864464708,2998838792923,2932519219270,2973616737379,2647606703087
