,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),2103591289157,1997682828008,112748277933,127964479476,2382377301315,2199788176045,2485195930491,2368032597136
1,매출원가,매출원가,1175362310441,1100287563880,85244091657,-101434882705,-1267654383680,-1162408611647,-1407923899069,-1348410619216
2,매출총이익,매출총이익,928228978716,897395264128,27504186276,26529596771,1114722917635,1037379564398,1077272031422,1019621977920
3,판매비,판매비,518416381985,528910006755,113596128,-2566656775,-681733742060,-655789030356,-669789788704,-606921610246
4,관리비,관리비,143153083999,137972666414,22489680002,-25756901745,-133668927767,-132718621864,-148001168818,-148968565379
5,영업이익(손실),영업이익(손실),266659512732,230512590959,4900910146,-1793961749,299320247808,248871912178,259481073900,263731802295
6,순기타수익(비용),순기타수익(비용),-23710402746,21141427004,-52159514586,-2116596879,-7211344380,26439499032,-6569305220,-11542570864
7,순금융수익(원가),순금융수익(원가),163615045,-9243161840,-419033586,704854251,,,,
8,지분법손익,지분법손익,1004321873,-1479475897,7673846584,1703951430,,,,
9,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),244117046904,240931380226,-40003791442,-1501752947,251796291374,228906374514,227022838245,224145685046
10,법인세비용,법인세비용,87727266148,122636502286,566476669,-2762396406,-75253095689,-51675462053,-65853615359,-49184868711
11,계속영업이익(손실),계속영업이익(손실),156389780756,118294877940,-40570268111,-4264149353,,,,
12,중단영업이익(손실),중단영업이익(손실),,,1526976731907,253313793344,564401532,-2933753894,,
13,당기순이익(손실),당기순이익(손실),156389780756,118294877940,1486406463796,249049643991,177107597217,174297158567,160240858319,174960816335
14,기타포괄손익,기타포괄손익,40266240439,-21720401228,-53589370922,,,,,
15,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),42916520136,-20568739647,-52783958049,,,,,
16,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),42825444470,-20613016717,-45469386737,-31222283409,2294495823,-85815833,-261291449,-26632487549
17,기타포괄손익,관계기업 및 공동기업 기타포괄손익 중 지분해당액,91075666,44277070,-7281628010,-303897407,-633073779,-52344854,,
18,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,-42248099,14959599,110894006,698478979,4044583,-75441567
19,기타포괄손익,관련 법인세효과,,,9304797,16691127,21757639,-63025749,,
20,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-2650279697,-1151661581,-805412873,,,,,
21,기타포괄손익,순확정급여부채의 재측정요소,-4793154826,-1391624785,-970869348,1845894349,-1622724570,-4296953058,,
22,기타포괄손익,기타포괄손익-공정가치금융자산 평가손익,1308716436,-52137843,,,,,,
23,기타포괄손익,공동기업 순확정급여부채의 재측정요소 중 지분해당액,-5239331,-47659428,-65251503,,,,,
24,기타포괄손익,관련 법인세효과,839398024,339760475,230707978,-381515470,385350566,987069407,,
25,총포괄손익,총포괄손익,196656021195,96574476712,1432817092874,218939054805,177664296902,171484567459,167101930873,139823654614
26,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),48378510223,56332235657,1480312927908,236666976152,162318225631,163470493646,145694946059,151607960850
27,당기순이익(손실)의 귀속 [abstract],계속영업당기순이익(손실),48378510223,56332235657,-47333262882,-10142539326,176543195685,177230912461,161169222886,174960816335
28,당기순이익(손실)의 귀속 [abstract],중단영업당기순이익,,,1527646190790,246809515478,564401532,-2933753894,,
29,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),108011270533,61962642283,6093535888,12382667839,14789371586,10826664921,14545912260,18192302446
30,당기순이익(손실)의 귀속 [abstract],계속영업당기순이익,108011270533,61962642283,6762994771,5878389973,176543195685,177230912461,161169222886,174960816335
31,당기순이익(손실)의 귀속 [abstract],중단영업당기순이익,,,-669458883,6504277866,564401532,-2933753894,,
32,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",63248729220,48689640129,1430173706143,209316654261,162242164056,159468969702,152241709932,123725819671
33,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",133407291975,47884836583,2643386731,9622400544,15422132846,12015597757,14860220941,16097834943
34,주당이익 [abstract],기본주당이익(손실),,,,,,,,
35,주당이익 [abstract],계속영업기본주당이익(손실),804,936,-1250,-193,30891,31583,27820,29180
36,주당이익 [abstract],중단영업기본주당이익(손실),,,40342,4689,23,-533,,
37,주당이익 [abstract],희석주당이익(손실),,,,,,,,
38,주당이익 [abstract],계속영업희석주당이익(손실),804,936,-1250,-193,30883,31569,27787,29132
39,주당이익 [abstract],중단영업희석주당이익(손실),,,40341,4689,23,-533,,
