,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),875163630213,814007810102,762387352155,740883521442,708217608563,669132585068,681887317248,648367610944
1,매출원가,매출원가,684418605571,639074715697,576050472941,-563459509249,-550270820931,-507800868646,-544816608407,-537008926789
2,매출총이익,매출총이익,190745024642,174933094405,186336879214,177424012193,157946787632,161331716422,137070708841,111358684155
3,판매비와관리비,판매비와관리비,105987127677,94878280432,119246642071,,,,,
4,판매비와관리비,기타판매비와관리비,92432564575,91944759106,114084195474,,,,,
5,판매비와관리비,경상연구개발비,13554563102,2933521326,5162446597,-6345505934,-4866180880,-6408644087,-3766482766,-5501907466
6,영업이익(손실),영업이익(손실),84757896965,80054813973,67090237143,68046617952,53065769893,63419148457,48573720298,29062538599
7,금융수익,금융수익,8066417760,9957453090,16085801464,19924372532,12183610158,14999252571,15771369534,11532532144
8,금융원가,금융원가,22214950783,23184379599,18973034545,-30262789499,-29997225371,-19175866188,-19514795491,-18526033097
9,기타이익,기타이익,32548018892,11569308540,4353751053,18955519187,6140586435,3879246142,27692155133,10797541373
10,기타손실,기타손실,15587339032,15514093507,15185503424,,,,,
11,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),87570043802,62883102497,53371251691,64456783479,96947855551,64383257051,52535734350,7031953991
12,법인세비용,법인세비용,20104467863,26909456196,12284843692,-15983351127,-26073046663,-18677993785,-16611446533,-2112000952
13,당기순이익(손실),당기순이익(손실),67465575939,35973646301,41086407999,48473432352,70874808888,45705263266,35924287817,4919953039
14,기타포괄손익,기타포괄손익,3883206767,-20300613570,-7707192394,-14140417965,4407692343,-4803554121,-18737887483,694374475
15,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-1259776923,-15889167071,-320996284,-2671573902,-1342567524,-3414506839,2389147479,-867011120
16,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),2887118387,-2464655290,-320996284,-2671573902,-1342567524,-3414506839,2389147479,-867011120
17,기타포괄손익,기타포괄손익-공정가치측정 금융자산평가손익,-4146895310,-13424511781,,,,,,
18,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),5142983690,-4411446499,-7386196110,-11468844063,5750259867,-1389047282,-21127034962,1561385595
19,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,-2653330702,-1076590943,7369314801,-710752648,-22754082000,7709565195
20,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),5142983690,-4411446499,-4732865408,-10392253120,266227070,1232856167,663107636,-6477450625
21,총포괄손익,총포괄손익,71348782706,15673032731,33379215605,34333014387,75282501231,40901709145,17186400334,5614327514
22,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),67562771234,36111718470,39591029633,49861982329,75885390435,49812745153,43561639003,8187314937
23,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),-97195295,-138072169,1495378366,-1388549977,-5010581547,-4107481887,-7637351186,-3267361898
24,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",71445978001,15811104900,31289819474,37929497107,81463208432,45051203863,24849055366,9001938688
25,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",-97195295,-138072169,2089396131,-3596482720,-6180707201,-4149494718,-7662655032,-3387611174
26,주당이익 [abstract],기본주당이익(손실),7600,4062,4454,5609,8536,5604,6662,1252
27,주당이익 [abstract],계속영업기본주당이익(손실),7600,4062,4454,,,,,
