,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1116950744221,1110961782607,1069512906257,1048340402939,959383641681,841265089675,719523707345,666156608790
1,유동자산,현금및현금성자산,274215080262,241296082668,256607486669,244854557115,221805288143,155680459216,269950544151,195002873588
2,유동자산,단기금융상품,15311509152,18311850556,35948090339,10793948161,10958967057,35024609489,33807677115,56951798311
3,유동자산,단기투자자산,119329668011,214946829482,208520251626,230785395208,247181797307,236962509351,50353056224,98845012924
4,유동자산,매출채권,397149391682,343186494375,283714873637,235586779277,214159391257,218848737881,203844477725,159811654504
5,유동자산,미수금,20676096319,12929796919,9585089594,13035911977,21224174547,20720216748,18250175836,20287875602
6,유동자산,단기대여금,200282249,267691531,260000000,,,,,
7,유동자산,재고자산,186909878134,248860494097,271183981240,310649129347,242348899669,172305189757,141440995852,133602622886
8,유동자산,선급금,29281540995,29965656461,2688094225,1190679544,824760275,910521983,1123957192,1009992706
9,유동자산,선급비용,1559528825,887793585,737178422,1198278315,862140924,755668489,654439636,559581869
10,유동자산,보증금,6096203452,309092933,267860505,245723995,18222502,57176761,98383614,85196400
11,유동자산,기타유동자산,9519815598,,,,,,,
12,유동자산,매각예정비유동자산,56701749542,,,,,,,
13,비유동자산,비유동자산,1000249513979,1062850850708,1025160517558,997600638077,920944976462,774706887985,794445231655,736927757811
14,비유동자산,장기금융상품,27000000,27000000,84500000,157000000,76000000,83500000,157500000,172230316
15,비유동자산,장기투자자산,157952374839,151593560287,145296399333,146524559462,117819971506,69586565721,143059078647,146453874235
16,비유동자산,관계기업투자 및 공동기업투자,407107995678,399737583712,372586571302,376673767642,354115528692,328304914827,283994762443,263755666673
17,비유동자산,유형자산,327499212721,343307338273,355412428909,333946657459,307828551099,236361901674,225098952149,185274489201
18,비유동자산,투자부동산,47835378426,104495766919,111070674945,111527423399,119159893139,120206927351,121514596339,124083156416
19,비유동자산,무형자산,28730704635,33783098940,25736900792,15871922111,11835717204,9714110043,9821368899,8541235473
20,비유동자산,장기보증금,12632701012,18999204018,12708639113,11360224000,8731154000,7016111000,6344161000,5805829000
21,비유동자산,기타비유동자산,9205081422,6534178421,,,,,,
22,비유동자산,기타비유동금융자산,104900000,,,,,,,
23,비유동자산,이연법인세자산,9154165246,4373120138,2264403164,1539084004,1378160822,943802028,577523150,253577593
24,자산총계,자산총계,2117200258200,2173812633315,2094673423815,2045941041016,1880328618143,1615971977660,1513968939000,1403084366601
25,유동부채,유동부채,352226653761,349712424558,276313677284,324433493084,356631230430,255146568996,228284672498,165663356264
26,유동부채,매입채무,110799419655,89984660094,97841500338,142132951200,151445207574,125678686567,111068668398,85198579234
27,유동부채,미지급금,29114187957,46630772439,37172405479,29976085562,47741566794,25907487587,30996350829,22436862743
28,유동부채,미지급비용,12261638475,1667039699,2754162441,1886521897,1314451326,1027021276,2798315074,722193415
29,유동부채,미지급법인세,5420905531,26531476312,21755548432,22693447143,20648459602,17116489578,12004083967,17258551315
30,유동부채,예수금,29548613862,26763664713,23526931546,22116097957,58488779134,28107003988,28560452355,16976789557
31,유동부채,예수보증금,8268470000,9161466000,11749186000,7824186000,11382186000,11209880000,9256300000,14970380000
32,유동부채,단기차입금,15000000000,1300000000,3186140739,51100000000,63100000000,36100000000,26100000000,8100000000
33,유동부채,선수금,93696289324,98221655239,63027802309,41454203325,10580000,,501875,
34,유동부채,유동반품충당부채,19098111489,,,,,,,
35,유동부채,유동성장기부채,24016666665,47072222220,15300000000,5250000000,2500000000,10000000000,7500000000,
36,유동부채,기타유동부채,2199369149,2379467842,,,,,,
37,유동부채,기타유동금융부채,2802981654,,,,,,,
38,비유동부채,비유동부채,114982232915,172364705165,212034751049,224955192891,159757475318,84960729018,57438566858,49203657982
39,비유동부채,순확정급여부채,11869980431,44931918559,45498941184,31635804883,32659369947,24943940395,3382380220,9417654972
40,비유동부채,반품충당부채,2128304338,14160859755,6690794941,6589571551,3114171146,3114171146,3318351003,4741000000
41,비유동부채,기타충당부채,12218028628,11406629971,9947133222,8854515596,8172774412,5359495022,,
42,비유동부채,이연법인세부채,38331637332,30689130215,33674492817,32740800861,27783159813,24776122455,29220255635,33111901998
43,비유동부채,장기예수보증금,778500000,964000000,884500000,4884500000,2028000000,2667000000,3017580000,1919000000
44,비유동부채,장기차입금,44250000000,70212166665,115338888885,140250000000,86000000000,24100000000,18500000000,
45,비유동부채,기타비유동금융부채,5405782186,,,,,,,
46,부채총계,부채총계,467208886676,522077129723,488348428333,549388685975,516388705748,340107298014,285723239356,214867014246
47,자본금,자본금,65066515000,62227710000,59510420000,56943670000,56943670000,56943670000,56943670000,56943670000
48,자본금,보통주자본금,63885575000,61046770000,58329480000,55762730000,55762730000,55762730000,55762730000,55762730000
49,자본금,우선주자본금,1180940000,1180940000,1180940000,1180940000,1180940000,1180940000,1180940000,1180940000
50,기타불입자본,기타불입자본,-61632694302,-51208871649,-35129987441,-49170207064,-48011149164,-42037090104,-22636155445,2454576688
51,이익잉여금,이익잉여금,1545396193247,1535362890260,1493282491002,1411161804670,1273577997021,1180273511142,1118487976478,1043843019018
52,기타자본구성요소,기타자본구성요소,97433091635,95276668339,82315350255,77617087435,81429394538,80684588608,75450208611,84976086649
53,비지배지분,비지배지분,3728265944,10077106642,6346721666,,,,,
54,자본총계,자본총계,1649991371524,1651735503592,1606324995482,1496552355041,1363939912395,1275864679646,1228245699644,1188217352355
55,,부채및자본총계,2117200258200,2173812633315,2094673423815,2045941041016,1880328618143,1615971977660,1513968939000,1403084366601
