,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,65985413049,93451633128,126125107517,74144086537,126234690907,94385653450,79777958879,72379345167
1,영업활동으로 인한 현금흐름,당기순이익,36612325771,58334962324,109636658758,161248743738,126046994757,90947777976,86461208090,80775748518
2,영업활동으로 인한 현금흐름,가감,68023474063,79962538118,46032289940,5471768779,14806514807,30315780211,9385894440,-11999455889
3,영업활동으로 인한 현금흐름,퇴직급여,25267995684,23082284735,19248442952,18449654500,15865723448,12403996748,14252358968,12484560891
4,영업활동으로 인한 현금흐름,감가상각비,50983469958,54024007967,49164020533,40608769799,28952841360,24587637758,16881357375,15233676286
5,영업활동으로 인한 현금흐름,투자부동산감가상각비,744235317,796992400,860972984,885877214,1047034212,1050683198,1063819507,1047551565
6,영업활동으로 인한 현금흐름,사용권자산감가상각비,2364149097,,,,,,,
7,영업활동으로 인한 현금흐름,무형자산상각비,4565699967,4178882573,2170478824,1425415588,1056512792,874571647,958187651,1150545549
8,영업활동으로 인한 현금흐름,대손상각비,351371796,811280451,-2897926667,,,1840403580,-1020810290,3358639531
9,영업활동으로 인한 현금흐름,이자수익,12364196315,13233739023,9331331517,-9567552995,-11587248359,-12197131641,-12568080851,-16108744770
10,영업활동으로 인한 현금흐름,이자비용,2892232101,3669086156,4615616080,5330001404,3131187473,2077712765,790119685,477469783
11,영업활동으로 인한 현금흐름,배당금수익,-20950150,-1263400,-1184600,-1215350,-1081850,-834850,-1177550,-1177550
12,영업활동으로 인한 현금흐름,지분법이익,47029741164,31657876968,46462722213,-65145487533,-56517980568,-45782561719,-44197642136,-48076891223
13,영업활동으로 인한 현금흐름,재고자산평가손실,2896025084,190993457,741948507,-25185500,2628782803,250841942,639705641,1259433911
14,영업활동으로 인한 현금흐름,단기투자자산처분손실,212436598,1244909568,515013227,161943347,1222005384,,8808691,6189880
15,영업활동으로 인한 현금흐름,단기투자자산평가이익,-6950200,-79166070,-956988635,-519340476,,-1693437777,,-8808691
16,영업활동으로 인한 현금흐름,장기투자자산평가이익,-1220805212,-234915800,-6588000000,-1576431905,-108984502,,-2109089427,-535823180
17,영업활동으로 인한 현금흐름,장기투자자산평가손실,21978269,3424238701,,2032531,287077350,,,221347127
18,영업활동으로 인한 현금흐름,장기투자자산처분손실,116181401,5300000,,,,,43528325,
19,영업활동으로 인한 현금흐름,장기투자자산처분이익,,,11049162277,,,,-5538172842,-10040562765
20,영업활동으로 인한 현금흐름,장기투자자산손상차손,,,4922513714,9505114,2439723241,747833812,19010560440,
21,영업활동으로 인한 현금흐름,종속기업투자주식처분이익,-7318880923,,,,,,,
22,영업활동으로 인한 현금흐름,관계기업투자주식처분손실,,98908680,,,,,,
23,영업활동으로 인한 현금흐름,관계기업투자주식손상차손,21955921461,,,,,,,
24,영업활동으로 인한 현금흐름,관계기업투자주식처분이익,-5208107389,,,,,,,
25,영업활동으로 인한 현금흐름,지분법적용투자주식처분이익,,,-1624601718,-23765739579,-20359676790,,,
26,영업활동으로 인한 현금흐름,유형자산처분이익,38623413,2164077364,100940019,-106518734,-615787740,-349904991,-271025210,-105756391
27,영업활동으로 인한 현금흐름,유형자산처분손실,42489390,4977017,6643725,334826595,9046723,556381029,2055000,22626822
28,영업활동으로 인한 현금흐름,유형자산손상차손,2234803321,,,,,,,
29,영업활동으로 인한 현금흐름,무형자산처분이익,1338800,25000000,,-461650002,,,,
30,영업활동으로 인한 현금흐름,무형자산처분손실,,257350000,,7727273,,,1278000000,
31,영업활동으로 인한 현금흐름,무형자산손상차손,2665100728,,5500000,20500000,84410000,2335800000,,
32,영업활동으로 인한 현금흐름,외화환산이익,2821503043,978063236,183391203,-2765620017,-613763215,-209780514,-85403884,-11089048
33,영업활동으로 인한 현금흐름,외화환산손실,883546637,294583269,4048777234,14946583,318889365,226244456,47548649,9016233
34,영업활동으로 인한 현금흐름,리스부채이자비용,208255663,,,,,,,
35,영업활동으로 인한 현금흐름,기타외화환산이익,-517255660,-274194738,-100888932,-1241904453,-206540089,-1767423184,-80750463,-54673040
36,영업활동으로 인한 현금흐름,기타외화환산손실,108562423,325986942,1064302723,903057194,396526963,205630847,804563856,3820428970
37,영업활동으로 인한 현금흐름,법인세비용,18305843480,31056050496,35283833053,43643658379,42302189086,25147585652,20663724169,26265586100
38,영업활동으로 인한 현금흐름,기타충당부채전입액,-7801211455,-5041393061,-2028735203,726314865,2799621754,5359495022,,
39,영업활동으로 인한 현금흐름,기타,-49683498,103609244,652628962,906625130,139923600,-163675110,21400000,477095000
40,영업활동으로 인한 현금흐름,자산·부채의 증감,-63852520795,-59141645627,-45434184153,-108786004720,-37276163429,-54441854577,-31501940845,-40666642457
41,영업활동으로 인한 현금흐름,매출채권의 증가,-55418709467,-59502568276,-55589285661,-21356405697,4718592383,-16807618063,-43060025181,4925109679
42,영업활동으로 인한 현금흐름,기타채권의 감소(증가),-8489215863,-3114961497,4443996331,7997765458,-1933608458,-2143546028,2428824421,-7570905328
43,영업활동으로 인한 현금흐름,재고자산의 감소(증가),56536977576,23413851632,40727513394,-68275044178,-72672492715,-31115035847,-8478078607,-20611120927
44,영업활동으로 인한 현금흐름,기타유동자산의 감소(증가),331434837,-28335585032,18947223,-1201190079,-143460405,-240924712,-141363032,367359514
45,영업활동으로 인한 현금흐름,기타비유동자산의 감소(증가),-5714706035,-8400083471,-872778168,-2639070000,-1678543000,-612950000,-518332000,95178400
46,영업활동으로 인한 현금흐름,매입채무의 증가(감소),21308655870,-7704597716,-45682616823,-10192879815,25575852114,14423885634,25911818557,2560798055
47,영업활동으로 인한 현금흐름,기타채무의 증가(감소),-20780863334,10192677516,3071020600,422831744,1039933311,-5959639681,10316870647,748916234
48,영업활동으로 인한 현금흐름,기타유동부채의 증가,7309274976,35781946881,34964453203,4082942148,29966708198,-2605450329,6865035525,579508243
49,영업활동으로 인한 현금흐름,기타비유동부채의 증가,734773229,192483301,386000000,241926319,53657636,1939000000,41000000,1597000000
50,영업활동으로 인한 현금흐름,퇴직금의 지급,-12144213458,-11216830214,-5615553237,-4368045627,-8302276677,-5835553221,-9157461434,-9926168267
51,영업활동으로 인한 현금흐름,사외적립자산의 증가,-53325892518,-12555560359,-20432108845,-16974235398,-13900525816,-5279842473,-14267580744,-11856738464
52,영업활동으로 인한 현금흐름,기타충당부채의 감소,-876314260,-817345999,-936117577,,,,,
53,영업활동으로 인한 현금흐름,반품충당부채의 증가,6676277652,2924927607,82345407,3475400405,,,,
54,영업활동으로 인한 현금흐름,이자수취,13083055852,15119532519,9431471883,9565683455,12745101216,12301130012,11704599737,16194823804
55,영업활동으로 인한 현금흐름,이자지급,3102770847,5951584714,5444798140,-5368919264,-2974516395,-2000056027,-384035255,-468799428
56,영업활동으로 인한 현금흐름,배당금의 수취,50810938220,42798992834,49462042310,46962838485,45035029850,40099834850,31411177550,38401177550
57,영업활동으로 인한 현금흐름,법인세의 납부,35589089215,37671162326,37558373081,-34950023936,-32148269899,-22836958995,-27298944838,-9854506931
58,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,31604784191,-58150584583,-42241166896,-77140923699,-117792543120,-192249083243,-10579413018,-46372065955
59,투자활동으로 인한 현금흐름,단기금융상품의 증가,-13850612536,-10961300422,-28746330960,-2015000000,-19065775114,-124837857024,-33726946799,-54573029174
60,투자활동으로 인한 현금흐름,단기금융상품의 감소,16373977205,28930477846,2963612038,2108000000,43224417546,123790924650,56966798311,48436024866
61,투자활동으로 인한 현금흐름,단기투자자산의 취득,-153268633721,-184161307150,-212016182969,-189148126255,-187366295622,-217382334251,-21250897200,-61122824863
62,투자활동으로 인한 현금흐름,단기투자자산의 처분,256058945624,186025809387,285176759757,217653491664,197529126802,76514946280,79792673810,112769203520
63,투자활동으로 인한 현금흐름,단기대여금의 증가,-22590718,-50691531,-85000000,,,,,
64,투자활동으로 인한 현금흐름,단기대여금의 감소,90000000,43000000,130000000,,,,,
65,투자활동으로 인한 현금흐름,장기투자자산의 취득,-23473392208,-54030052432,-44250784122,-23580521159,-71203364098,-3183366012,-37461840245,-90275248737
66,투자활동으로 인한 현금흐름,장기투자자산의 처분,17203145341,63277398828,14005237550,,,,6371629725,22404862099
67,투자활동으로 인한 현금흐름,장기금융상품의 증가,,-36000000,-111812800,-81000000,-86000000,-96000000,-81000000,-86000000
68,투자활동으로 인한 현금흐름,장기금융상품의 감소,,,245213135,,500000,,,
69,투자활동으로 인한 현금흐름,관계기업및공동기업투자주식의 취득,-26595108000,-45103528871,-5025268000,-14601760470,-27233993157,-9921750000,-2720000000,
70,투자활동으로 인한 현금흐름,관계기업및공동기업투자주식의 처분,5568284854,,3742594153,16213326208,27058556790,,,
71,투자활동으로 인한 현금흐름,유형자산의 취득,42763093594,46001314577,56772073882,-80076251469,-81261626172,-35838331757,-55760610183,-23345942278
72,투자활동으로 인한 현금흐름,유형자산의 처분,324913510,2494511818,141964219,119589882,999109998,536053754,808080640,162850681
73,투자활동으로 인한 현금흐름,무형자산의 취득,3971865642,2594295782,3138458472,-4548899829,-2013445093,-2603712372,-3773801077,-741962069
74,투자활동으로 인한 현금흐름,무형자산의 처분,813176,745968185,,816227729,,,256500000,
75,투자활동으로 인한 현금흐름,연결범위변동으로 인한 현금의 증가(감소),-69999100,3270740118,1499363457,,,,,
76,재무활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,-67011508111,-51378903961,-68172689631,23295432700,57387807290,-16390191200,5711269467,-9959828716
77,재무활동으로 인한 현금흐름,자기주식의 취득,8398746230,12327529640,1056371400,-1159057900,-5974059060,-36969332800,-31254619280,-20835701790
78,재무활동으로 인한 현금흐름,자기주식의 처분,,,20288520000,,,18108145000,6163887147,24088727724
79,재무활동으로 인한 현금흐름,배당금의 지급,22710574760,21738453600,20545509400,-20545509400,-18038133650,-15629003400,-13197998400,-13212854650
80,재무활동으로 인한 현금흐름,비지배지분에 대한 배당금 지급,-201130000,-201130000,-201130000,,,,,
81,재무활동으로 인한 현금흐름,주식발행비용,-50493260,-45475450,-40708800,,,,,
82,재무활동으로 인한 현금흐름,비지배지분과의 거래,-7500000,164093000,,,,,,
83,재무활동으로 인한 현금흐름,단기차입금의 증가,14500000000,,95626051,3000000000,27000000000,10000000000,18000000000,
84,재무활동으로 인한 현금흐름,단기차입금의 감소,-871086818,-1927908271,-51292109691,-15000000000,,,,
85,재무활동으로 인한 현금흐름,유동성장기부채의 감소,-47072222220,-15300000000,-5421006391,,-7500000000,,,
