,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1571275319376,1575742729751,1509173015709,1549923877508,1319663120763,1080709615975,,
1,유동자산,현금및현금성자산,389234185423,356950144955,330161565375,231155874852,241689362048,216912848618,,
2,유동자산,단기금융상품,211438433711,341034213147,392371208849,437454119785,344925909115,199181899798,,
3,유동자산,매출채권 및 기타채권,889920871407,816582570913,721086291180,847009342569,700760360225,624929706505,,
4,유동자산,기타금융자산,4108694263,4773569424,3274199475,3425525283,3126076232,3968439606,,
5,유동자산,당기법인세자산,4172784789,2227008051,1351887862,2068078241,2241454103,2658916503,,
6,유동자산,기타자산,72400349783,54175223261,60927862968,28810936778,26919959040,33057804945,,
7,비유동자산,비유동자산,504231774259,165199941924,117321152717,125146604413,110811861768,93489861343,,
8,비유동자산,장기금융상품,270345112,262995486,6000000,344510058,337154097,355006374,,
9,비유동자산,매도가능금융자산,,,1818239500,2144532612,2133217686,2404703787,,
10,비유동자산,기타금융자산,10387610663,7684488156,6510687250,6983035181,5095557945,4792854044,,
11,비유동자산,"종속기업, 공동기업 및 관계기업투자",14944876469,14474678798,15921364635,19171604345,14915938980,14211520465,,
12,비유동자산,유형자산,31775334810,25851936097,32564992079,31154464590,20562130054,11199776954,,
13,비유동자산,사용권자산,113389127603,,,,,,,
14,비유동자산,무형자산,323785548080,111510769899,54135246199,60205994400,63564635537,56165565401,,
15,비유동자산,이연법인세자산,9602466815,5106216748,6336503676,3893437945,3216259872,4299813938,,
16,비유동자산,기타자산,76464707,308856740,28119378,91610713,50982471,60620380,,
17,자산총계,자산총계,2075507093635,1740942671675,1626494168426,1675070481921,1430474982531,1174199477318,,
18,유동부채,유동부채,1063007777183,934039173665,891722364886,975312222558,789148336352,725409135800,,
19,유동부채,매입채무 및 기타채무,972973605642,884030855193,857953166363,931199308613,739378028575,682401196484,,
20,유동부채,기타금융부채,16643379360,23010731,11257400,1079019029,26503050,20437847,,
21,유동부채,유동성사채,10000000,,,,,,,
22,유동부채,단기차입금,2268952000,,,,,,,
23,유동부채,충당부채,5452100145,268414339,254801086,240069168,1549069880,1041841546,,
24,유동부채,당기법인세부채,5747170995,9420926514,6197098796,9591069311,8609132558,10549120189,,
25,유동부채,기타부채,59912569041,40295966888,27306041241,33202756437,39585602289,31396539734,,
26,비유동부채,비유동부채,231503794795,65057589147,49191300867,21505377794,17749859146,21451005997,,
27,비유동부채,기타채무,6535718924,16947611974,4330862489,887396391,1159609371,48278022,,
28,비유동부채,기타금융부채,164951505200,20683096076,19819219333,1079019029,26503050,20437847,,
29,비유동부채,사채,,10000000,10000000,,,,,
30,비유동부채,장기차입금,8103400000,,,,,,,
31,비유동부채,순확정급여부채,2054826368,441652678,1702487094,,,3158850516,,
32,비유동부채,이연법인세부채,43781703636,21915798283,19246042879,16787997705,13588212773,13085677027,,
33,비유동부채,충당부채,5974945906,4379509143,3464123412,3158529007,2897082323,4979271689,,
34,비유동부채,기타부채,101694761,679920993,618565660,671454691,104954679,178928743,,
35,부채총계,부채총계,1294511571978,999096762812,940913665753,996817600352,806898195498,746860141797,,
36,지배기업소유주지본,지배기업소유주지본,763684050841,727471475037,672306396556,654562909511,604916093442,415295272787,,
37,지배기업소유주지본,자본금,10000000000,10000000000,10000000000,10000000000,10000000000,9000000000,,
38,지배기업소유주지본,기타불입자본,132848563863,132848563863,132848563863,132848563863,132848563863,,,
39,지배기업소유주지본,기타자본구성요소,-34267848079,-30287470029,-30758182130,-7092615880,-10869805177,-9984797193,,
40,지배기업소유주지본,이익잉여금,655103335057,614910381203,560216014823,518806961528,472937334756,416280069980,,
41,비지배지분,비지배지분,17311470816,14374433826,13274106117,23689972058,18660693591,12044062734,,
42,자본총계,자본총계,780995521657,741845908863,685580502673,678252881569,623576787033,427339335521,,
43,,자본과부채총계,2075507093635,1740942671675,1626494168426,1675070481921,1430474982531,1174199477318,,
