,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,136368361849,4535987168,115512411296,114302421905,68288985715,109183715194,,
1,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,159941543894,23257366853,131232673230,128201723685,90386554344,114585817111,,
2,영업활동으로 인한 현금흐름,당기순이익,94564534285,92381767545,75661546395,77973082619,78036780957,83835154818,,
3,영업활동으로 인한 현금흐름,조정,58706526426,40959444273,33718005684,33214508562,22910144162,14150987834,,
4,영업활동으로 인한 현금흐름,영업활동으로 인한 자산ㆍ부채의변동,6670483183,-110083844965,21853121151,17014132504,-10560370775,16599674459,,
5,영업활동으로 인한 현금흐름,이자의 수취,13436774338,9915849052,8865638433,8587578482,8159937451,8318637816,,
6,영업활동으로 인한 현금흐름,이자의 지급,264282228,210000,25098822,-13136461,-4216242,-35212954,,
7,영업활동으로 인한 현금흐름,배당금의 수취,,,3745046299,4427534392,135003075,9158993072,,
8,영업활동으로 인한 현금흐름,법인세의 지급,36745674155,28637018737,28305847844,-26901278193,-30388292913,-22844519851,,
9,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,-51710523662,55066863220,34984649255,-105738438651,-166730081783,26285341503,,
10,투자활동으로 인한 현금흐름,단기금융상품의 순증감,-129684194520,-50799794097,-45154314870,-92689763931,-145639021695,8610032774,,
11,투자활동으로 인한 현금흐름,기타금융자산의 감소,909370308,2126985592,54463960,30797500,106560002,113520000,,
12,투자활동으로 인한 현금흐름,매도가능금융자산의 처분(취득),,,-335546515,-5146146,350000000,,,
13,투자활동으로 인한 현금흐름,유형자산의 처분,172018171,11270645040,22188529,20145735,69397466,95671354,,
14,투자활동으로 인한 현금흐름,관계기업투자주식의 감소,981818182,1200000000,,,,,,
15,투자활동으로 인한 현금흐름,정부보조금의 수령,,300000000,,,,,,
16,투자활동으로 인한 현금흐름,기타금융자산의 증가,2819618960,1459817450,818592000,-415524000,-78077000,-283530238,,
17,투자활동으로 인한 현금흐름,유형자산의 취득,8107966872,8745764931,8791816482,-11922265163,-14264103817,-2500773107,,
18,투자활동으로 인한 현금흐름,무형자산의 취득,1701726336,302777367,300363107,-1686682646,-1577474473,-33506079,,
19,투자활동으로 인한 현금흐름,사업결합으로 인한 순현금 유출,-170828612675,-122201761,,,,,,
20,재무활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,-61243442146,-33972175086,-31606435890,-25193377885,121248563863,-7005383605,,
21,재무활동으로 인한 현금흐름,리스부채의 지급,14565072928,,,,,,,
22,재무활동으로 인한 현금흐름,배당금의 지급,46678369218,33972175086,31616435890,-25193377885,-12600000000,-7200000000,,
23,재무활동으로 인한 현금흐름,사채의 발행,,,10000000,,,,,
24,현금및현금성자산의 증가(감소),현금및현금성자산의 증가(감소),23414396041,25630675302,118890624661,-16629394631,22807467795,128463673092,,
25,기초의 현금및현금성자산,기초의 현금및현금성자산,356950144955,330161565375,231155874851,241689362048,216912848618,91370483561,,
26,현금및현금성자산의 환율변동효과,현금및현금성자산의 환율변동효과,8869644427,1157904278,-19884934137,6095907435,1969045635,-2921308035,,
27,기말의 현금및현금성자산,기말의 현금및현금성자산,389234185423,356950144955,330161565375,231155874852,241689362048,216912848618,,
