,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,1274274037164,1239176790460,1138685372832,1051560761873,987924245764,744733705788,,
1,매출원가,매출원가,758277315477,767316501877,745485265126,670259188071,670260035126,486988675519,,
2,매출총이익,매출총이익,515996721687,471860288583,393200107706,381301573802,317664210638,257745030269,,
3,판매비와관리비,판매비와관리비,394144256443,353673802261,296521142732,281861616220,224736458217,174253233706,,
4,영업이익,영업이익,121852465244,118186486322,96678964974,99439957582,92927752421,83491796563,,
5,지분법손익,지분법손익,1359706289,-212273855,963347448,4738972862,4808310961,9104647894,,
6,금융수익,금융수익,16844570500,15804035890,13906338925,15714876921,14900231577,12883897446,,
7,금융비용,금융비용,10963300858,4498146661,7038397083,6974693228,6963799421,5582229854,,
8,기타수익,기타수익,992780818,2121971718,1025212486,1262542117,2394865103,11118669959,,
9,기타비용,기타비용,2020761433,2674160037,1061929561,4706345852,613150650,1797219520,,
10,법인세비용차감전순이익,법인세비용차감전순이익,128065460560,128727913377,104473537189,109475310402,107454209991,109219562488,,
11,법인세비용,법인세비용,33500926275,36346145832,28811990794,31502227783,29417429034,25384407670,,
12,당기순이익,당기순이익,94564534285,92381767545,75661546395,77973082619,78036780957,83835154818,,
13,기타포괄손익,기타포괄손익,11272096166,-1506021302,-17016321031,3350849098,-857723528,-6583160313,,
14,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,-2347203911,-2149463222,-1071931867,-1478851818,-761898407,-1038105539,,
15,기타포괄손익,확정급여제도의 재측정요소,-2347203911,-2149463222,-1071931867,-1478851818,-761898407,-1038105539,,
16,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,13619300077,643441920,-15944389164,4829700916,-95825121,-5545054774,,
17,기타포괄손익,해외사업환산손익,13526990518,677853908,-15483201441,5073785497,-125302831,-5918008807,,
18,기타포괄손익,지분법자본변동,92309559,-34411988,-468590149,-193307502,33641940,325415150,,
19,기타포괄손익,매도가능금융자산평가이익(손실),,,7402426,-50777079,-4164230,47538883,,
20,당기순이익(손실)의 귀속 [abstract],지배기업소유주지분,73626090233,76843829602,61480985162,65348478590,70019163183,81926177976,,
21,당기순이익(손실)의 귀속 [abstract],비지배지분,20938444052,15537937943,14180561233,12624604029,8017617774,1908976842,,
22,총 포괄손익의 귀속 [abstract],지배기업소유주지분,83631861160,74536613334,47124509850,67646816069,68372256792,74852743446,,
23,총 포괄손익의 귀속 [abstract],비지배지분,22204769291,16339132909,11520715514,13677115648,8806800637,2399251059,,
24,주당이익 [abstract],기본및희석주당이익,3681,3842,3074,3267,3697,4551,,
