,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,3649933836949,2285602945415,1895221761151,1740881592051,1464360332261,1304465252905,1261131716349,1202427606959
1,유동자산,현금및현금성자산,680968998661,283668035952,223205772016,65796561159,63367629919,60484107720,70082885708,53365723070
2,유동자산,매출채권 및 기타수취채권,670215140714,584958859860,459490444927,382010971340,294412513931,248115634141,275500765795,309247776381
3,유동자산,미청구공사,13816301696,11090457861,,,,,,
4,유동자산,재고자산,1279216116912,1122983111945,1011411917272,979533122977,886114365413,804450273080,744481747094,723234020344
5,유동자산,당기손익-공정가치 측정 금융자산,583871102283,,,,,,,
6,유동자산,단기파생상품자산,6143286479,327176168,253817712,6457333278,15132607455,299538067,,
7,유동자산,기타단기금융자산,328647837942,188011164754,105548597781,246222611367,126841291950,118438667007,112254335782,64337834955
8,유동자산,기타유동자산,87055052262,89064138875,68460219612,60860991930,78491923593,72677032890,58811981970,52242252209
9,유동자산,매각예정비유동자산,,5500000000,26850991831,,,,,
10,비유동자산,비유동자산,17444824942860,14468260739598,14171285835986,13689213013928,13029391505342,12522991393468,11790698114145,11051563621250
11,비유동자산,유형자산,10003686463873,10403866404946,9799864635725,9709178633329,9805409972428,9265566679212,8728025980042,8241261060884
12,비유동자산,투자부동산,1583986802032,1051641345581,1063518657038,789830412184,164116740156,167662703237,172035641346,176260272234
13,비유동자산,무형자산,1319146552096,288065471153,376713703163,400526106948,383202713984,371259295315,398808562386,380630590566
14,비유동자산,사용권자산,1780786616419,,,,,,,
15,비유동자산,관계기업 및 공동기업 투자,836340557957,718312505464,523763399906,473027258377,453702477237,131775316053,115249249082,112657769651
16,비유동자산,매도가능금융자산,,,1467321507500,1363106752277,1330069089298,1751070413737,1563085441562,1415650745619
17,비유동자산,당기손익-공정가치 측정 금융자산,62653494725,11828458682,,,,,,
18,비유동자산,기타포괄손익-공정가치 측정 금융자산,892575717900,973335367000,,,,,,
19,비유동자산,장기파생상품자산,7301177191,1559763705,200114191,32502569790,4437862714,2145459837,,
20,비유동자산,이연법인세자산,43637379585,44765991532,12810354241,4008235549,2701800538,2240743706,1318455074,
21,비유동자산,기타장기금융자산,838284623311,727235855789,677705702298,647889295289,605753505030,568813875961,539209899688,450361295265
22,비유동자산,기타비유동자산,76425557771,247649575746,249387761924,269143750185,279997343957,262456906410,272964884965,274741887031
23,자산총계,자산총계,21094758779809,16753863685013,16066507597137,15430094605979,14493751837603,13827456646373,13051829830494,12253991228209
24,유동부채,유동부채,5406253569300,4998253469170,4214042986121,4001387162185,3934538468702,3372291371506,3439240371936,3467418954352
25,유동부채,매입채무 및 기타지급채무,1996460919953,1760513647896,1600936651617,1475236609638,1426797525278,1219359883720,1180166567599,1181634457092
26,유동부채,초과청구공사,68680049771,51746990862,,,,,,
27,유동부채,단기차입금,1360794176093,1663904931774,1427455876750,1389580389319,1458666442849,1386494939075,1451742932687,1541455529004
28,유동부채,단기파생상품부채,47027326,9198417089,12443053738,,10392496117,195154177,32286738588,35462105233
29,유동부채,상품권,865780374296,741199584000,661547456000,588906207910,521888837875,462319022152,399455620045,335835328232
30,유동부채,미지급법인세,105924964614,75799728525,27023731067,85078077738,153310632199,63602518246,106502525165,85598421480
31,유동부채,기타단기금융부채,828174208991,546722689646,333981345182,360905816029,274455585053,173134793734,183858175751,214034096220
32,유동부채,기타유동부채,180391848256,149167479378,148565550808,101680061551,89026949331,67185060402,85227812101,73399017091
33,유동부채,매각예정비유동부채,,,2089320959,,,,,
34,비유동부채,비유동부채,5481764518922,2898113893103,3081062660078,3304538361000,3319850049289,3395447178021,2914661328146,2657375993152
35,비유동부채,장기차입금,2456253090496,2119822386927,2196888112143,2451589901291,2644161537098,2453203755744,2033047569201,1815087413769
36,비유동부채,장기파생상품부채,9198840486,9640516174,27918620199,1268472771,1315238210,30012520811,46840366419,30133316974
37,비유동부채,순확정급여부채,122027229279,123517246780,102824844821,99888354432,97731732049,88575095697,69151385647,95413375949
38,비유동부채,이연법인세부채,245783180578,329456602253,441249311367,389763546700,381084634941,556396719542,532244016126,486164713612
39,비유동부채,기타장기금융부채,2444074744801,142595721426,149833823677,217504549680,114300875015,195584147602,185379953956,178516741613
40,비유동부채,기타비유동부채,204427433282,173081419543,162347947871,144523536126,81256031976,71674938625,47998036797,52060431235
41,부채총계,부채총계,10888018088222,7896367362273,7295105646199,7305925523185,7254388517991,6767738549527,6353901700082,6124794947504
42,지배기업의 소유지분,지배기업의 소유지분,8808680956182,8172316367360,8241670782375,7696177411612,6986051996934,6907822221526,6567992366532,6023449514995
43,지배기업의 소유지분,납입자본,4332912902329,4332912902329,4332912902329,4332912902329,4332912902329,4332912902329,4332912902329,4332912902329
44,지배기업의 소유지분,자본금,139379095000,139379095000,139379095000,139379095000,139379095000,139379095000,139379095000,139379095000
45,지배기업의 소유지분,주식발행초과금,4193533807329,4193533807329,4193533807329,4193533807329,4193533807329,4193533807329,4193533807329,4193533807329
46,지배기업의 소유지분,신종자본증권,777718380000,378968900000,378968900000,378968900000,,,,
47,지배기업의 소유지분,이익잉여금,2794304006497,2772675687942,2464884107225,1957932161946,1653198523383,1250702106232,1025219817600,586601657789
48,지배기업의 소유지분,기타자본항목,903745667356,687758877089,1064904872821,1026363447337,999940571222,1324207212965,1209859646603,1103934954877
