,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익,당기순이익,223836243277,476179032683,627938626633,381637144670,455879563363,291918307030,476244256237,435093478206
1,기타포괄손익,기타포괄손익,,,,,124172710084,400913191184,608279609046,571341642965
2,기타포괄손익,당기손익으로 재분류되지 않는 항목,-129811138832,-456721015747,-50855462232,-21623755731,-11391035785,-23725322724,12621006783,-26188203581
3,기타포괄손익,순확정급여부채의 재측정요소,-78976118011,-97014305388,-57500996245,-21568007422,-10649829822,-27281334464,18111131821,-31098165833
4,기타포괄손익,관계기업 순확정급여부채의 재측정요소 중 지분해당액,-12592665896,-11042634921,-10916895431,-6594878376,-4342659405,-3193086232,-1664052276,-2939603080
5,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익,-80746867425,-504713431221,,,124172710084,400913191184,608279609046,571341642965
6,기타포괄손익,관련 법인세 효과,42504512500,156049355783,17562429444,6539130067,3601453442,6749097972,-3826072762,7849565332
7,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,14103156976,-614531119,56386628348,26768444613,-320315817494,132720206878,119414346026,162436368340
8,기타포괄손익,매도가능금융자산평가손익,,,141152004000,30175196979,-71501324439,187982972175,147445940943,200729324733
9,기타포괄손익,매도가능금융자산 처분으로 인한 재분류,,,-28318548777,,-348913375995,,,571341642965
10,기타포괄손익,파생상품자산ㆍ부채평가손익,-3143994886,-6600449826,3580385017,1756042747,1901690525,-6114467476,7886115766,18598175358
11,기타포괄손익,지분법자본변동,-129696237,-928649363,25234023,-537673684,-384450710,-55759797,222326064,-1490244266
12,기타포괄손익,해외사업환산손익,16513492089,5027675348,-11517094083,2950944978,-2749703054,-4910973806,1466800768,-2539510465
13,기타포괄손익,관련 법인세효과,863356010,1886892722,-48535351832,-7576066407,101331346179,-44181564218,-37606837515,-52861377020
14,당기 세후 기타포괄손익,당기 세후 기타포괄손익,-115707981856,-457335546866,5531166116,5144688882,-331706853279,108994884154,132035352809,136248164759
15,당기 총포괄이익,당기 총포괄이익,108128261421,18843485817,633469792749,386781833552,124172710084,400913191184,608279609046,571341642965
16,당기 총포괄이익의 귀속,지배기업소유주지분,121597652861,-4214499082,621788847967,382494920939,124004144674,400024455123,599896100684,559539190030
17,당기 총포괄이익의 귀속,비지배주주지분,-13469391440,23057984899,11680944782,4286912613,168565410,888736061,8383508362,11802452935
