,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,계속영업,계속영업,,,,,455879563363,291918307030,476244256237,435093478206
1,매출액,매출액,19062879818284,17049079116942,15514901652480,14615065221176,13639993101625,13153607337382,13035263107976,12685041192833
2,매출원가,매출원가,14170452435284,12452783662020,11140063168745,10506076135596,9843824663720,9480357998210,9426496977384,9199860984259
3,매출총이익,매출총이익,4892427383000,4596295454922,4374838483735,4108989085580,3796168437905,3673249339172,3608766130592,3485180208574
4,판매비와관리비,판매비와관리비,4741774874171,4133468452167,3789945675206,3540390720052,3292388436557,3090271881607,2873662142216,2750181578242
5,영업이익,영업이익,150652508829,462827002755,584892808529,568598365528,503780001348,582977457565,735103988376,734998630332
6,기타수익,기타수익,306660822594,188041642978,246354000180,31225725868,31638310573,24314260790,21137075720,26612449911
7,기타비용,기타비용,87635518695,73913427763,57934872204,43798313681,93208337089,71181773122,18978692231,31401839598
8,금융수익,금융수익,141505833753,92741887206,149903795889,104873268097,433003292399,77589220234,110649617669,212881302082
9,금융비용,금융비용,211769460874,121796506817,176853443168,172681108504,188382460300,167146248907,189269179177,253795558790
10,지분법손익,지분법손익,73843385551,48727042838,54708642468,18536660546,9220664928,19501186132,3129504992,14023832701
11,손상차손,손상차손,91154973002,11660907151,1335110353,,2296359267,42222582297,12697628806,88247442955
12,법인세비용차감전순이익,법인세비용차감전순이익,282102598156,584966734046,799735821341,506754597854,693755112592,423831520395,649074686543,615071373683
13,법인세비용,법인세비용,58266354879,126100885823,191749548974,137534547058,237875549229,131913213365,172830430306,179977895477
14,계속영업당기순이익,계속영업당기순이익,223836243277,458865848223,607986272367,369220050796,,291918307030,476244256237,435093478206
15,중단영업,중단영업,,,,,455879563363,291918307030,476244256237,435093478206
16,중단영업당기순이익,중단영업당기순이익,,17313184460,19952354266,12417093874,,291918307030,476244256237,435093478206
17,전체영업,전체영업,,,,,455879563363,291918307030,476244256237,435093478206
18,당기순이익,당기순이익,223836243277,476179032683,627938626633,381637144670,455879563363,291918307030,476244256237,435093478206
19,당기순이익의 귀속,지배기업소유주지분,233895212545,450188477615,616081272190,376226998177,454709175248,290023629601,467240778790,424073977544
20,당기순이익의 귀속,계속영업당기순이익,233895212545,432875293155,596128917924,369220050796,,291918307030,476244256237,435093478206
21,당기순이익의 귀속,중단영업당기순이익,,17313184460,19952354266,12417093874,,291918307030,476244256237,435093478206
22,당기순이익의 귀속,비지배주주지분,-10058969268,25990555068,11857354443,5410146493,1170388115,1894677429,9003477447,11019500662
23,당기순이익의 귀속,계속영업당기순이익(손실),-10058969268,25990555068,11857354443,5410146493,,291918307030,476244256237,435093478206
24,당기순이익의 귀속,중단영업당기순이익(손실),,,,12417093874,,291918307030,476244256237,435093478206
25,주당순이익,계속영업기본주당순이익,7620,15047,20905,12727,,291918307030,476244256237,435093478206
26,주당순이익,중단영업기본주당순이익,,621,716,446,,291918307030,476244256237,435093478206
27,주당순이익,계속영업희석주당순이익,7620,15047,20905,12727,,291918307030,476244256237,435093478206
28,주당순이익,중단영업희석주당순이익,,621,716,446,,291918307030,476244256237,435093478206
