,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,592714000000,357481000000,394515000000,147803909628,197532722368,219936717878,176154323965,156293332870
1,유동자산,현금및현금성자산,332997000000,53097000000,46201000000,26525819089,27871697478,22362178134,6658100386,22304430983
2,유동자산,금융기관예치금,0,22000000000,42270000000,452726517,462000000,1098947438,351863400,2900000000
3,유동자산,매출채권 및 기타채권,74162000000,69267000000,59109000000,55644876900,77112009097,89396394712,66108636121,
4,유동자산,미청구공사,18472000000,12842000000,11540000000,4050201306,9407450869,7847784365,10998492255,3294698357
5,유동자산,기타유동금융자산,67306000000,121274000000,161258000000,1206408190,1500003750,1500003750,75106428,
6,유동자산,당기법인세자산,301000000,0,2000000,572611200,30496053,716117482,586939076,164594104
7,유동자산,기타유동비금융자산,15535000000,27843000000,15603000000,,,,,
8,유동자산,재고자산,83941000000,51158000000,58532000000,51501953430,70540798547,88134363764,82475732705,79487482104
9,비유동자산,비유동자산,444215000000,334724000000,255769000000,242962843207,239175370390,376158365786,404640724927,313573520780
10,비유동자산,장기금융기관예치금,17000000,17000000,16000000,442500000,294486517,291447395,441447395,408000000
11,비유동자산,장기매출채권 및 기타채권,4500000000,3838000000,2713000000,2519423800,13050955898,11940732382,12062069238,
12,비유동자산,매도가능금융자산,47710000000,42342000000,63336000000,,33430683758,43388029141,55447848510,44097206504
13,비유동자산,이연법인세자산,10763000000,6665000000,7526000000,8478361110,3503960288,22412939462,32457667514,8259369928
14,비유동자산,유형자산,374564000000,271469000000,175752000000,176233741516,178718261675,267048693876,275395395897,222556403603
15,비유동자산,투자부동산,1008000000,1032000000,1677000000,2799552049,3113472232,4725307381,4853509639,4119084377
16,비유동자산,영업권 이외의 무형자산,5576000000,4298000000,4399000000,,,,,
17,비유동자산,기타비유동자산,77000000,5063000000,350000000,,,,,348705447
18,자산총계,자산총계,1036929000000,692205000000,650284000000,390766752835,436708092758,596095083664,580795048892,469866853650
19,유동부채,유동부채,100985000000,109017000000,89045000000,68619841955,165850910670,264827196298,255762570800,171616535054
20,유동부채,매입채무 및 기타유동채무,62424000000,64073000000,53683000000,,,,,
21,유동부채,초과청구공사,17881000000,14452000000,15069000000,13853242635,9997199538,9186576614,3839206351,1281188814
22,유동부채,단기차입금,666000000,13350000000,7543000000,10309777238,71720663747,175074131173,85364065648,46387761890
23,유동부채,유동성장기부채,1514000000,1514000000,314000000,499300000,7555785000,7984750000,12053697629,8522910175
24,유동부채,기타유동금융부채,2344000000,41000000,0,,,786187603,189444312,197472567
25,유동부채,당기법인세부채,6871000000,5334000000,260000000,128244507,1203663946,367865800,31859034594,42048636
26,유동부채,유동충당부채,3629000000,3770000000,1298000000,,,,,
27,유동부채,기타유동비금융부채,5656000000,6483000000,10878000000,,,,,
28,비유동부채,비유동부채,111733000000,54775000000,30809000000,27446084533,38016125969,38581462184,39602790530,27139014607
29,비유동부채,장기매입채무 및 기타비유동채무,153000000,153000000,203000000,,,,,
30,비유동부채,장기차입금,3776000000,5290000000,3805000000,2394880000,14769735000,15065553901,18704052812,11484542540
31,비유동부채,신주인수권부사채,47219000000,,0,,,,,
32,비유동부채,기타비유동금융부채,22543000000,18898000000,0,,,,,
33,비유동부채,이연법인세부채,2175000000,2537000000,3605000000,3200113565,,,,
34,비유동부채,순확정급여부채,27313000000,21679000000,19376000000,17621753748,18796700191,17876907923,15066812025,11011930963
35,비유동부채,비유동충당부채,2147000000,401000000,260000000,,,,,
36,비유동부채,기타비유동부채비금융부채,6407000000,5817000000,3560000000,,,,,
37,부채총계,부채총계,212718000000,163792000000,119854000000,96065926488,203867036639,303408658482,295365361330,198755549661
38,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,571320000000,528413000000,530430000000,,,,,
39,지배기업의 소유주에게 귀속되는 자본,자본금,23055000000,23055000000,23000000000,19600000000,19600000000,19600000000,19600000000,19600000000
40,지배기업의 소유주에게 귀속되는 자본,기타불입자본,385444000000,385444000000,382177000000,193189156245,193189156245,195970263958,195502310302,189532981570
41,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),8717000000,10158000000,95867000000,55786315446,16336115582,54337672584,51007258203,58230838275
42,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,154104000000,109756000000,29386000000,17775315156,3926104237,1376299417,2849795217,3747484144
43,비지배지분,비지배지분,252891000000,,0,8350039500,-210319945,21402189223,16470323840,
44,자본총계,자본총계,824211000000,528413000000,530430000000,294700826347,232841056119,292686425182,285429687562,271111303989
45,,자본과부채총계,1036929000000,692205000000,650284000000,,,,,
