,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,200015098571,224014016081,39090197987,99803601164,102393207951,55909773948,-66212477491,88505139842
1,영업활동으로 인한 현금흐름,영업에서 창출된 현금흐름,261074439129,275979495294,82889130672,157860412090,135603183961,96695980681,-20705490932,113369360084
2,영업활동으로 인한 현금흐름,당기순이익,139453304163,131868993213,128372886212,90648134120,81740960908,102022308936,102269218895,99492529257
3,영업활동으로 인한 현금흐름,조정,162198728396,106024784606,76693537488,114557638658,113389275127,71174699223,68826042877,52627048386
4,영업활동으로 인한 현금흐름,순운전자본의 변동,-40577593430,38085717475,-122177293028,-47345360688,-59527052074,-76501027478,-191800752704,-38750217559
5,영업활동으로 인한 현금흐름,이자의 수취,8814343205,7608575556,7589940948,6689174547,7600532550,5206588393,10863749667,15291946847
6,영업활동으로 인한 현금흐름,이자의 지급,5744082056,780396658,2968064519,-2201661323,-2925429339,-1733280651,-908146344,-342732869
7,영업활동으로 인한 현금흐름,배당금 수취,900000,900000,900000,12343727,230001713,626650967,1029171527,1236651520
8,영업활동으로 인한 현금흐름,법인세부담액,64130501707,58794558111,48421709114,-62556667877,-38115080934,-44886165442,-56491761409,-41050085740
9,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,-24100408089,-87538962456,-14555725050,-33025333294,98810629960,-127272312965,162282722504,80582256256
10,투자활동으로 인한 현금흐름,단기금융상품의 순증감,-1972840068,42383079466,-11351439861,-20607819876,135930569563,-127416258972,212939687743,157256722452
11,투자활동으로 인한 현금흐름,유형자산의 처분,302718808,1020503941,1507530898,11391205599,2418179761,3424309222,3870231384,2462275433
12,투자활동으로 인한 현금흐름,유형자산의 취득,23432505138,20280265843,20743857907,-23825769705,-17707007262,-39021453202,-24114667103,-44894616571
13,투자활동으로 인한 현금흐름,무형자산의 처분,414957091,531112825,554000000,96896819,766725026,334264785,331346156,1547785815
14,투자활동으로 인한 현금흐름,무형자산의 취득,2990891393,5943644781,5043284676,-3271206163,-6786065256,-5492931272,-20466883017,-10855732749
15,투자활동으로 인한 현금흐름,장기금융상품의 감소,1028042943,307147868,489459953,16883083,17903137,84855708,,1207920
16,투자활동으로 인한 현금흐름,장기금융상품의 증가,1629506196,12813848443,680762451,-241016792,-168958648,-361298386,,-94293108
