,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,1079337661993,956218889275,884362807619,831985529732,,,,
1,매출원가,매출원가,675059108495,575815576906,524706461994,-497098888575,,,,
2,매출총이익,매출총이익,404278553498,380403312369,359656345625,334886641157,,,,
3,판매비와관리비,판매비와관리비,231079291916,227628946449,216839568992,-206455398859,,,,
4,경상연구개발비,경상연구개발비,98623648822,77034471672,65051784508,-67181697578,,,,
5,영업이익,영업이익,74575612760,75739894248,77764992125,61249544720,,,,
6,금융수익,금융수익,1089801862,762621557,707657187,294451622,,,,
7,금융비용,금융비용,3928923424,3713628026,3596508716,-4174248735,,,,
8,지분법손실,지분법손실,,,646705798,-345952463,,,,
9,기타영업외수익,기타영업외수익,4627214223,3665624175,3314130566,4764639686,,,,
10,기타영업외비용,기타영업외비용,4542528396,8114164446,2944404824,-5000723065,,,,
11,법인세비용차감전순이익,법인세비용차감전순이익,71821177025,68340347508,74599160540,56787711765,,,,
12,법인세비용,법인세비용,18845891723,26635942925,20870906865,-15841608356,,,,
13,당기순이익,당기순이익,52975285302,41704404583,53728253675,40946103409,,,,
14,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주,53881645931,42398534688,53807202365,40946103409,,,,
15,당기순이익(손실)의 귀속 [abstract],비지배지분,-906360629,-694130105,-78948690,,,,,
16,주당이익 [abstract],기본및희석주당이익,5227,4112,5449,4354,,,,
