,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,618284149917,595770003667,500342580220,396245698879,256000406691,177985679556,,
1,유동자산,현금및현금성자산,76558220552,35173046889,38980207018,68330883736,17131771227,10500549716,,
2,유동자산,매출채권,299678757711,307125055137,237773758531,187129539809,141958057217,92894150589,,
3,유동자산,단기금융자산,20878475984,26815878480,18427565066,6889851863,6173510850,7338221798,,
4,유동자산,재고자산,208921488681,209397803520,184657933238,125140949576,84012343291,57690047621,,
5,유동자산,당기법인세자산,497262,3310,773916435,119585007,70072773,63170357,,
6,유동자산,기타유동자산,12246709727,17258216331,19729199932,8634888888,6654651333,9499539475,,
7,비유동자산,비유동자산,586070043059,465771152591,433676548400,269670724941,182931704856,147715877739,,
8,비유동자산,장기금융자산,18696838840,17416366975,19078651944,13545485354,3856685577,3590460648,,
9,비유동자산,종속기업및관계기업투자자산,1429986235,1037139722,994253360,1116487871,,,,
10,비유동자산,유형자산,431809273143,332554138316,307200814682,235895092240,162571029380,132356031626,,
11,비유동자산,무형자산,102896694883,95957070434,90659467784,5636794195,5399108355,3314006514,,
12,비유동자산,이연법인세자산,22198170791,9565876138,6105993563,2912054992,,,,
13,비유동자산,기타비유동자산,9039079167,9240561006,9637367067,10564810289,11104881544,8455378951,,
14,자산총계,자산총계,1204354192976,1061541156258,934019128620,665916423820,438932111547,325701557295,,
15,유동부채,유동부채,716394132114,650447545935,522064323901,383957070737,296275709163,199292836741,,
16,유동부채,매입채무,179650686240,181297749264,207611428854,125056054951,77597730562,50006669091,,
17,유동부채,단기금융부채,480671383000,435046749275,298157990608,231045542290,203848121584,136416172195,,
18,유동부채,당기법인세부채,33296588448,10945657761,3555063067,9832380793,4223013853,3396612438,,
19,유동부채,기타유동부채,22775474426,23157389635,12739841372,18023092703,10606843164,9473383017,,
20,비유동부채,비유동부채,171487482106,169247340070,183568020088,74644843718,46136666802,45874308144,,
21,비유동부채,장기금융부채,141600322479,145388921996,163217314996,59947040000,34118746978,34371239833,,
22,비유동부채,퇴직급여채무,29887159627,23858418074,20350705092,14697803718,11667974318,8941827681,,
23,부채총계,부채총계,887881614220,819694886005,705632343989,458601914455,342412375965,245167144885,,
24,지배기업주주지분,지배기업주주지분,343472082739,265413215683,218118428721,210934828335,97860817982,80790610250,,
25,지배기업주주지분,자본금,5024754500,5024754500,5024754500,5024754500,4499754500,4499754500,,
26,지배기업주주지분,자본잉여금,182032389667,128918505141,151054128791,151053433493,59804643242,59781740925,,
27,지배기업주주지분,기타자본,-233040242,-233040242,-233040242,-233040242,-233040242,-233040242,,
28,지배기업주주지분,기타포괄손익누계액,-4855243499,-3057426761,-2917469520,-2994258446,1839483918,1013763139,,
29,지배기업주주지분,이익잉여금,161503222313,134760423045,65190055192,58083939030,31949976564,15728391928,,
30,비지배지분,비지배지분,-26999503983,-23566945430,10268355910,-3620318970,-1341082400,-256197840,,
31,자본총계,자본총계,316472578756,241846270253,228386784631,207314509365,96519735582,80534412410,,
32,,자본과부채총계,1204354192976,1061541156258,934019128620,665916423820,438932111547,325701557295,,
