,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,74567223707,-54592032652,-6616556836,23468728135,-6503440453,,,
1,영업활동현금흐름,당기순이익,18319679109,21062588320,15520150514,31440053248,18885577415,,,
2,영업활동현금흐름,당기순이익조정을 위한 가감,103292634100,66460864561,44629473589,,,,,
3,영업활동현금흐름,퇴직급여,9542707528,5663639972,4728298792,3463737693,2858750742,,,
4,영업활동현금흐름,감가상각비,36334664210,24049472026,19504895946,12020773063,8715046141,,,
5,영업활동현금흐름,무형자산상각비,1658355619,1234432781,729723676,524237837,409926912,,,
6,영업활동현금흐름,무형자산손상차손,191757690,,,5000000,27000000,,,
7,영업활동현금흐름,대손상각비,17303120124,1997233334,598072026,2206676071,801915361,,,
8,영업활동현금흐름,유형자산처분손실,418013914,53085816,104000,57235996,4081750,,,
9,영업활동현금흐름,지분법손실,57153487,,,,,,,
10,영업활동현금흐름,무형자산처분손실,5727273,2053117,,,,,,
11,영업활동현금흐름,투자자산처분손실,1540896,768311,5556675,108889,236246,,,
12,영업활동현금흐름,외화환산손실,1986463664,1411143684,2273678450,2116709826,2314546884,,,
13,영업활동현금흐름,이자비용,22639522662,18502409249,9326981616,6886831097,5693563246,,,
14,영업활동현금흐름,법인세비용,17607324519,15172768823,9744758596,15045032374,10605198840,,,
15,영업활동현금흐름,리스변경효과,650250820,,,,,,,
16,영업활동현금흐름,이자수익,730967853,266760681,237464957,203682106,215696442,,,
17,영업활동현금흐름,배당금수익,,9000000,0,,,,,
18,영업활동현금흐름,지분법이익,,42886362,16232187,28487871,,,,
19,영업활동현금흐름,외화환산이익,3444216172,1178725617,1972553995,3573791936,933656265,,,
20,영업활동현금흐름,유형자산처분이익,126474006,82269892,33345049,208737209,13997000,,,
21,영업활동현금흐름,무형자산처분이익,44198919,,,,,,,
22,영업활동현금흐름,위험회피파생상품평가이익,595500000,46500000,,,,,,
23,영업활동현금흐름,무형자산손상차손환입,161452110,,23000000,,,,,
24,영업활동현금흐름,리스변경이익,1159246,,,,,,,
25,영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,882583981,-114432273272,-40787784452,-26465271714,-40177284267,,,
26,영업활동현금흐름,매출채권의 감소(증가),2305787235,-78066748481,-47547321493,-47825103656,-49705271470,,,
27,영업활동현금흐름,미수금의 감소(증가),-908454608,-1469050855,-9086461860,360399773,471475774,,,
28,영업활동현금흐름,미수수익의 감소(증가),1799714731,-441876227,-790566086,-57894120,-44189728,,,
29,영업활동현금흐름,선급금의 감소(증가),5542970284,2897670202,-10218582667,-2127529203,8839191524,,,
30,영업활동현금흐름,선급비용의 감소(증가),-436379770,-482029265,-1066501673,227218281,-329417418,,,
31,영업활동현금흐름,장기선급비용의 감소(증가),405775174,,,,,,,
32,영업활동현금흐름,부가세대급금의 감소(증가),475560869,-445207336,190773296,-79469534,519319211,,,
33,영업활동현금흐름,재고자산의 감소(증가),6263435978,-24739870282,-59516983662,-41128606284,-28365029144,,,
34,영업활동현금흐름,매입채무의 증가(감소),-11150651557,-26510993635,82256450435,47084784777,27220229904,,,
35,영업활동현금흐름,미지급금의 증가(감소),-10057488451,873380412,11633968710,9006591654,26523431,,,
36,영업활동현금흐름,미지급비용의 증가(감소),9095920235,6942046934,953945881,2923324923,1454496891,,,
37,영업활동현금흐름,선수금의 증가(감소),-6348106117,10582243325,-2559094449,3079147754,-367895073,,,
38,영업활동현금흐름,선수수익의 증가(감소),,9814200,0,,,,,
39,영업활동현금흐름,예수금의 증가(감소),4148324407,-1052297377,1546927197,54079469,18338091,,,
40,영업활동현금흐름,부가세예수금의 증가(감소),2127848932,877788115,-4271084079,4257396568,1483933710,,,
41,영업활동현금흐름,퇴직금의 지급 등,-1681673361,-2707143002,-1853213252,-1313387586,-1757460110,,,
42,영업활동현금흐름,사외적립자산의 감소(증가),-700000000,-700000000,-460040750,-926224530,358470140,,,
43,영업활동현금흐름,이자수취(영업),595938968,824714391,714272085,259842124,251206176,,,
44,영업활동현금흐름,이자지급(영업),24223828634,18560754186,6903666177,-7550648085,-5892618153,,,
45,영업활동현금흐름,법인세납부,24299783817,9956172466,19843002395,-12526891162,-11894614955,,,
46,영업활동현금흐름,배당금수취,,9000000,54000000,,,,,
47,투자활동현금흐름,투자활동현금흐름,-95886163554,-56703052782,-172679491025,-97543775043,-47068680767,,,
48,투자활동현금흐름,단기대여금의 감소,400000000,,,3877000000,1500000000,,,
49,투자활동현금흐름,당기손익공정가치측정금융자산의 감소,193259104,,1690023,2471111,11108754,,,
50,투자활동현금흐름,단기금융상품의 감소,27900973383,,,4247480,698220,,,
51,투자활동현금흐름,관계기업투자자산의 처분,,,133000000,,,,,
52,투자활동현금흐름,장기대여금의 감소,31833004,200000000,,,,,,
53,투자활동현금흐름,장기금융상품의 감소,99690783,,285494108,,,,,
54,투자활동현금흐름,건물의 처분,,1894921,,,,,,
55,투자활동현금흐름,구축물의 처분,219621737,11090560,,,,,,
56,투자활동현금흐름,기계장치의 처분,1548685110,329738193,444022809,599356459,241445440,,,
57,투자활동현금흐름,차량운반구의 처분,48990623,100617571,36700000,27090909,22622911,,,
58,투자활동현금흐름,공구기구와비품의 처분,13109000,579731197,123307734,200199595,27969956,,,
59,투자활동현금흐름,시설장치의 처분,,,8500000,,,,,
60,투자활동현금흐름,건설중인자산의 처분,4719539,79538000,,,,,,
61,투자활동현금흐름,무형자산의 처분,377974347,68181818,,,,,,
62,투자활동현금흐름,임차보증금 등의 감소,192177218,1042500309,86842220,,191738802,,,
63,투자활동현금흐름,정부보조금의 수취,180435037,114709003,528110729,456674653,815029939,,,
64,투자활동현금흐름,기타비유동자산의 감소,,396806061,927443222,696571255,,,,
65,투자활동현금흐름,단기대여금의 증가,974271886,,690035138,1427550000,750000000,,,
66,투자활동현금흐름,단기금융상품의 증가,18014809113,7119620477,1725466774,383874,3961226,,,
67,투자활동현금흐름,당기손익공정가치측정금융자산의 증가,-194800000,,-1780000,,,,,
68,투자활동현금흐름,장기대여금의 증가,,,-200000000,,,,,
69,투자활동현금흐름,장기금융상품의 증가,486567510,451008100,456152185,14954388,35276370,,,
70,투자활동현금흐름,관계기업투자자산의 증가,450000000,,,,,,,
71,투자활동현금흐름,장기기타포괄손익-공정가치측정금융자산의 증가,-100000000,,-4569876539,,,,,
72,투자활동현금흐름,토지의 취득,22884849997,74950800,996764724,931592298,1035981059,,,
73,투자활동현금흐름,건물의 취득,25338578789,6711413382,2799612036,5128602730,7319786446,,,
74,투자활동현금흐름,구축물의 취득,2497378873,2357163900,968490821,304931213,651987340,,,
75,투자활동현금흐름,기계장치의 취득,9990024057,13431942746,3727508812,9469659073,11867741839,,,
76,투자활동현금흐름,차량운반구의 취득,385030467,326222031,214112317,725832361,386719248,,,
77,투자활동현금흐름,공구기구와비품의 취득,4388984205,3705277890,3213650127,3753272656,3182110892,,,
78,투자활동현금흐름,시설장치의 취득,886644094,555097000,628169642,1936300000,,,,
79,투자활동현금흐름,금형의 취득,182860000,98000000,0,,,,,
80,투자활동현금흐름,건설중인자산의 취득,38261356133,21760067122,68672152050,67365804335,19038968546,,,
81,투자활동현금흐름,무형자산의 취득,1306902006,2497668327,85089305012,679658750,1878790284,,,
82,투자활동현금흐름,임차보증금 등의 증가,559631419,378783128,894134145,1421256449,422687361,,,
83,투자활동현금흐름,정부보조금의 사용,194943890,160645512,407391548,411907178,644436585,,,
84,재무활동현금흐름,재무활동현금흐름,62939790379,107492668616,150097148617,124923103829,60186480654,,,
85,재무활동현금흐름,단기차입금의 증가,607318717873,93314504104,52931564342,416508463451,222742836602,,,
86,재무활동현금흐름,보증금의 증가,319568752,,,1421256449,422687361,,,
87,재무활동현금흐름,장기차입금의 증가,43507994577,39241580782,106819342798,43675420684,42003122242,,,
88,재무활동현금흐름,주식발행초과금의 증가,,,695298,,,,,
89,재무활동현금흐름,유동성리스부채의 증가,,,83355681,,,,,
90,재무활동현금흐름,리스부채의 증가,,6900092,342522198,,,,,
91,재무활동현금흐름,단기차입금의 감소,573630820567,,,379520701269,154400000000,,,
92,재무활동현금흐름,장기차입금의 감소,82205437793,,,,,,,
93,재무활동현금흐름,유동성장기차입금의 감소,,-22038084062,-28030700,42022159577,45684278190,,,
94,재무활동현금흐름,보증금의 감소,1600000,18420000,6260000,84380000,48000000,,,
95,재무활동현금흐름,리스부채의 감소,9171860743,,,,,,,
96,재무활동현금흐름,배당금지급,6027624600,3013812300,10046041000,6297228700,4491400000,,,
97,재무활동현금흐름,자본잉여금의 변동,82830852880,,,,,,,
98,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,-250185722,-50679820,-90358293,230936911,-11186842,,,
99,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),41370664810,-3853096638,-29289257537,51078993832,6603172592,,,
100,기초현금및현금성자산,기초현금및현금성자산,35194869808,39047966446,68337223983,17258230151,10655057559,,,
101,기말현금및현금성자산,기말현금및현금성자산,76565534618,35194869808,39047966446,68337223983,17258230151,,,
