,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,2079125527604,1955216348712,2094598958700,2067576345895,1944717831697,1938107632018,1938212872286,2019430839457
1,유동자산,현금및현금성자산,115963486540,86590765295,77006921426,147159111499,93547199130,62081181467,123703399962,244899598537
2,유동자산,단기금융상품,67667963672,78635755970,90759105335,58800323500,111378214596,46666109525,59089758100,58900556832
3,유동자산,매출채권 및 기타유동채권,851593739607,829149911494,968589693044,928737097934,835260676783,895732383087,817542806453,827945715291
4,유동자산,유동 당기손익-공정가치 측정 지정 금융자산,11636268624,16908832149,,,,,,
5,유동자산,유동 기타포괄손익-공정가치 측정 금융자산,,1000000000,,,,,,
6,유동자산,유동매도가능금융자산,,,2905027834,6602291279,2841332500,5208121400,130308129859,175452285426
7,유동자산,재고자산,877647303282,875782136059,799155544561,794842407814,852745067773,846842824601,858016020195,815973505195
8,유동자산,당기법인세자산,1531252423,2521389978,74971034246,74542190085,3771685512,8533667011,3232482999,3218995473
9,유동자산,기타유동자산,56855446350,64627557767,81211632254,56892923784,45173655403,73043344927,67486095450,59462357377
10,유동자산,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,96230067106,,,,,,,
11,비유동자산,비유동자산,3213977388158,3617643868247,3567349681215,3181569706854,3041353916397,2811109619473,2781674585173,2608911259362
12,비유동자산,장기금융상품,2398439750,16114486161,6706640807,3479119534,8027961545,7502160000,6499830000,58500000
13,비유동자산,장기매출채권 및 기타비유동채권,43541688123,106547555988,45898790798,80469278926,115381816653,68790898977,64286572839,59275329893
14,비유동자산,비유동 당기손익-공정가치 측정 지정 금융자산,29268008347,30531137931,,,,,,
15,비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,300281402617,440648533994,,,,,,
16,비유동자산,비유동매도가능금융자산,,,353901934037,212735428958,138430383841,106852114306,130308129859,1260000
17,비유동자산,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",106629440004,173037654743,448222573614,380627518028,277535437192,224604602119,259779797113,206624914441
18,비유동자산,유형자산,2459266123496,2573522427016,2444298365678,2202251402380,2152942554001,2151009714015,2113644220164,1952678221909
19,비유동자산,투자부동산,64912924663,62710140325,63353143214,68504365135,89897317230,64003344033,64951555109,65871733839
20,비유동자산,영업권 이외의 무형자산,181526715100,187771260229,177197556917,191849731116,197003580821,160085288183,124864772768,127378860711
21,비유동자산,이연법인세자산,16292231324,12534160852,12448223261,15814852175,41368567868,15210915669,3043704157,7502543142
22,비유동자산,기타비유동자산,9860414734,14226511008,15322452889,25838010602,20766297246,13050582171,14296003164,14068870001
23,자산총계,자산총계,5293102915762,5572860216959,5661948639915,5249146052749,4986071748094,4749217251491,4719887457459,4628342098819
24,유동부채,유동부채,2245001139302,2324354962195,2126148761464,1964924914859,1828413503216,1791567559322,1685964950666,1657569190177
25,유동부채,매입채무 및 기타유동채무,560686678539,721497822007,774114509559,713674859512,673188106743,666490073811,631935457152,646577693980
26,유동부채,단기차입금및사채,1549344607503,1431940970538,1216978195455,1136768807070,1064463953036,1078798141426,979300745530,931426252834
27,유동부채,기타유동금융부채,20072266223,5609138962,,,,,,
28,유동부채,기타유동부채,69225468701,84609948223,106902373282,104866126471,86449219885,42625440250,53658299848,65078877934
29,유동부채,유동충당부채,22238445552,11383103155,2386843331,,,,,
30,유동부채,매각예정으로 분류된 처분자산집단에 포함된 부채,4796273293,,,,,,,
31,유동부채,당기법인세부채,18637399491,69313979310,25766839837,9615121806,4312223552,3653903835,21070448136,14486365429
32,비유동부채,비유동부채,921765333286,1039971008823,1213352396062,1158945204246,1193276065490,948542409897,1088338535200,1088142179049
33,비유동부채,장기매입채무 및 기타비유동채무,27965481222,30516701065,118573946553,191835798843,229106348272,60303697258,106760008307,106380243200
34,비유동부채,장기차입금및사채,750938949697,814535883050,885253002800,782387548773,819820788047,765440933231,852188901327,831746751731
35,비유동부채,퇴직급여부채,32546875807,57849052881,52006321332,75546210321,60104018252,61524173792,61351908177,62821520172
36,비유동부채,이연법인세부채,62625147031,110615380395,140347688999,83354262929,65809005432,39051150412,42963621245,64521470534
37,비유동부채,기타비유동금융부채,26386878753,15145428640,231908153,34383127,,,23079288,147693288
38,비유동부채,기타비유동부채,20584030661,10231607620,15579023117,25787000253,18435905487,22222455204,25051016856,22524500124
39,비유동부채,비유동충당부채,717970115,1076955172,1360505108,,,,,
40,부채총계,부채총계,3166766472588,3364325971018,3339501157526,3123870119105,3021689568706,2740109969219,2774303485866,2745711369226
41,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,2015844150437,2096547027023,2183300782354,1980981251157,1832001523390,1884385880975,1817502661124,1753407323178
42,지배기업의 소유주에게 귀속되는 자본,자본금,148733500000,148733500000,142097940000,139596725000,139435390000,139359055000,139287350000,139118490000
43,지배기업의 소유주에게 귀속되는 자본,자본잉여금,982379101686,990452192110,929581779225,911832869949,907172378821,906459429331,906035547891,897333289731
44,지배기업의 소유주에게 귀속되는 자본,신종자본증권,,,102453100000,102453100000,102453100000,,,
45,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),1013056072605,988760550213,975511586146,878836004275,742081891587,890940982770,876031693407,786771215700
46,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-128324523854,-31399215300,33656376983,-51737448067,-59141237018,-52373586126,34448716435,68484974356
47,비지배지분,비지배지분,110492292737,111987218918,139146700035,144294682487,132380655998,124721401297,128081310469,129223406415
48,자본총계,자본총계,2126336443174,2208534245941,2322447482389,2125275933644,1964382179388,2009107282272,1945583971593,1882630729593
49,,자본과부채총계,5293102915762,5572860216959,5661948639915,5249146052749,4986071748094,4749217251491,4719887457459,4628342098819
