,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),4407190443679,4459801683824,4342125144942,,,,,
1,매출원가,매출원가,3276089081362,3336547075666,3150518374290,3281693099731,3574543128051,4104025310385,3973906451735,4010600197133
2,매출총이익,매출총이익,1131101362317,1123254608158,1191606770652,1280535387316,1281985645632,1233626603112,1287556414139,1302351248289
3,판매비와관리비,판매비와관리비,958153640471,956324149595,968048474184,1003803741820,1001533825353,1064810885130,1055917717243,1008398751164
4,영업이익(손실),영업이익(손실),172947721846,166930458563,223558296468,276731645496,280451820279,168815717982,231638696896,293952497125
5,기타이익,기타이익,96688921232,163997936643,142953700650,,,,,
6,기타손실,기타손실,127958642631,172350716268,151942585068,,,,,
7,금융수익,금융수익,22498824832,20064950970,8500107902,26664677508,9762725192,7556824019,12143765363,25819864207
8,금융원가,금융원가,85066713019,70733263580,64135389788,,,,,
9,관계기업및공동지배기업투자손익,관계기업및공동지배기업투자손익,4410147787,3453330109,50765857978,,28783742246,31815220871,30796007229,16901784110
10,관계기업및공동지배기업투자처분손익,관계기업및공동지배기업투자처분손익,-85246103,18541073180,1057724327,320875,41707443,7799287188,-4006887,1931143573
11,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),83435013944,129903769617,210757712469,238876031993,-137652139812,102515004965,157730287340,213787031317
12,법인세비용,법인세비용,24076275532,46125957909,56742971959,62909875730,7474674672,62874449876,44058099251,42638417731
13,계속영업이익(손실),계속영업이익(손실),59358738412,83777811708,154014740510,,,,,
14,중단영업이익(손실),중단영업이익(손실),-37236929949,-40852702811,-31278930793,,,,,
15,당기순이익(손실),당기순이익(손실),22121808463,42925108897,122735809717,175966156263,-145126814484,39640555089,113672188089,171148613586
16,기타포괄손익,기타포괄손익,-74423128831,-80464416336,86388907704,-9166990135,2452625782,-15997119148,-27838923227,-82548800798
17,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-87325045965,-77497296932,-2363174202,-14238133799,9174696960,-10472695870,2520046684,-16294959297
18,기타포괄손익,기타포괄손익-공정가치측정금융자산 평가손익,-81930258448,-60478735857,,,,,,
19,기타포괄손익,기타포괄손익-공정가치측정금융자산 처분손익,,49000000,,,,,,
20,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-5394787517,-17067561075,-2350367923,-14305747150,9187525489,-10059790251,2520046684,-16294959297
21,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),,,-12806279,67613351,-12828529,-412905619,,
22,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),12901917134,-2967119404,88752081906,5071143664,-6722071178,-5524423278,-30358969911,-66253841501
23,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,106161508398,17966445822,-10800104114,-8809257199,-37298141420,-51339448153
24,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),652875702,-2336321958,-752222486,-3939800769,3140327507,-1473996540,-933746981,-3254899057
25,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),12013835698,2952452938,-24901419343,-5767816594,937705429,4758830461,7872918490,-11696814284
26,기타포괄손익,파생상품평가손익,235205734,-3583250384,8244215337,-3187684795,,,,
27,총포괄손익,총포괄손익,-52301320368,-37539307439,209124717421,166799166128,-142674188702,23643435941,85833264862,88599812788
28,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),32486405898,65029358027,135069711991,170228942886,-144336990437,42274728750,111531731044,167207089202
29,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),-10364597435,-22104249130,-12333902274,5737213377,-789824047,-2634173661,2140457045,3941524384
30,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",-44252503762,-13003978250,218707764715,163595833639,-141552443575,26213479951,79868910736,87192271362
31,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",-8048816606,-24535329189,-9583047294,3203332489,-1121745127,-2570044010,5964354126,1407541426
32,주당이익 [abstract],보통주기본주당이익(손실),1087,2252,4830,6098,-5182,1548,,
33,주당이익 [abstract],계속영업기본주당이익(손실),2051,3197,5577,,,,,
34,주당이익 [abstract],중단영업기본주당이익(손실),-964,-945,-747,,,,,
35,주당이익 [abstract],보통주희석주당이익(손실),1087,2236,4731,5964,-5182,1533,,
36,주당이익 [abstract],계속영업희석주당이익(손실),2051,3175,5463,,,,,
37,주당이익 [abstract],중단영업희석주당이익(손실),-964,-939,-732,,,,,
38,주당이익 [abstract],우선주기본주당이익(손실),1137,2232,4817,6142,-5131,1562,,
39,주당이익 [abstract],계속영업기본주당이익(손실),2101,3147,5551,,,,,
40,주당이익 [abstract],중단영업기본주당이익(손실),-964,-915,-734,,,,,
41,주당이익 [abstract],우선주희석주당이익(손실),1137,2232,4817,6142,-5131,1562,,
42,주당이익 [abstract],계속영업희석주당이익(손실),2101,3147,5551,,,,,
43,주당이익 [abstract],중단영업희석주당이익(손실),-964,-915,-734,,,,,
