,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,766943433301,843718066082,791471166861,733134075994,653318017710,596810515755,691414546521,779164517926
1,유동자산,현금및현금성자산,60540530995,69353967482,110298033482,66306978853,116307900077,147363023267,238665064539,152411776291
2,유동자산,매출채권,310190424300,301799501321,314571050598,292776988529,256015919789,208800400593,212606268280,233010795961
3,유동자산,금융리스채권,180165616755,106740631742,60030919073,33338985763,8955735351,,,
4,유동자산,기타단기금융자산,60739871422,14305186712,16840899860,62705776963,15398218520,22201169000,43396429084,32444580609
5,유동자산,기타유동자산,42280868182,240341971050,213338468835,206331822032,185690969694,156530582657,130980632688,126217162985
6,유동자산,재고자산,112845477767,102919052058,74861005631,70194665124,69820809255,61909650008,65766151930,71687168456
7,유동자산,당기법인세자산,180643880,35658460,1530789382,1478858730,1128465024,5690230,,
8,유동자산,매각예정자산,,8222097257,,,,,,163393033624
9,비유동자산,비유동자산,2088011360579,1535185010977,1367401907951,1234573817352,1122079124795,1024838930313,976444176927,975943842458
10,비유동자산,장기매출채권,21594721694,28401949423,36497327105,23612266326,,,,
11,비유동자산,장기금융리스채권,487364051476,293507930785,169862438005,104994759658,28144341859,,,
12,비유동자산,기타장기금융자산,20937293114,56214221629,53770238000,52840420301,52068160276,52584883310,52525362251,51369795981
13,비유동자산,기타비유동자산,21724521450,184470022877,167521885149,157297276528,147080589614,96731719306,79274117837,80402480943
14,비유동자산,매도가능금융자산,,,2465025047,2464020122,2430095830,2417367997,2467078452,2461264045
15,비유동자산,당기손익-공정가치측정금융자산,1232702566,1218198390,,,,,,
16,비유동자산,기타포괄손익-공정가치측정금융자산,365501064,365431064,,,,,,
17,비유동자산,유형자산,1270778209455,781012733072,712397814104,669403179590,699511862474,675187865092,638306128525,630421982938
18,비유동자산,무형자산,168401886170,160292435000,183920093694,182993861968,168786681111,170626319462,176847558202,183665072523
19,비유동자산,투자부동산,24009598321,24456283276,33136139974,33593899415,23173559415,26410249817,26759679354,27109108890
20,비유동자산,순확정급여자산,,,7353053942,5851871708,,,,
21,비유동자산,이연법인세자산,71602875269,5245805461,477892931,1522261736,883834216,880525329,264252306,514137138
22,자산총계,자산총계,2854954793880,2378903077059,2158873074812,1967707893346,1775397142505,1621649446068,1667858723448,1755108360384
23,유동부채,유동부채,1586823434426,1234310147963,1124750166848,735390765837,472882081155,526041231841,676732637662,759158934502
24,유동부채,매입채무,57967769416,62483455345,54187945950,58724468626,59799440753,59047506667,36662813832,46264932534
25,유동부채,유동리스부채,14981011978,,,,,,,
26,유동부채,기타단기금융부채,212388285386,189043248063,196387097171,181218578877,183985891177,176409758706,174993747880,175482239034
27,유동부채,기타유동부채,220359071696,118877087416,102109904700,87817269128,77255325642,79821288251,64795450451,72298027149
28,유동부채,단기차입금,860550000000,731112000000,670000000000,340000000000,80040718867,164403282571,181773836079,330095354639
29,유동부채,유동성장기차입금,536000000,536000000,0,,,,,
30,유동부채,당기법인세부채,97119200461,73247259989,62311427327,47867955165,70198265550,44933779395,61240942890,18302722292
31,유동부채,충당부채,2751180293,,,19762494041,1602439166,1425616251,4234297241,6276665699
32,유동부채,환불부채,120170915196,59011097150,39753791700,19762494041,1602439166,1425616251,4234297241,6276665699
33,비유동부채,비유동부채,190935774920,56894696679,51866378423,48973368952,64287230555,56173184972,50237576867,210864604564
34,비유동부채,비유동리스부채,16300850883,,,,,,,
35,비유동부채,기타장기금융부채,1646843899,1609547985,2068602932,2664966182,2203221407,2573262777,9348534248,9023429296
36,비유동부채,기타비유동부채,40854714125,34567000308,24433326210,24561839617,16477557461,15968562343,10416401962,8710983066
37,비유동부채,장기차입금,9449000000,9985000000,12303000000,11812000000,7951000000,932000000,,30083333000
38,비유동부채,순확정급여부채,15604406200,8404847680,1334678191,,12373703182,15951403224,8421167314,12819014249
39,비유동부채,충당부채,107079959813,2328300706,1731867941,1968932684,2135329680,650689840,648726206,623085957
40,비유동부채,이연법인세부채,,,9994903149,7965630469,23146418825,20097266788,21402747137,25916143165
41,부채총계,부채총계,1777759209346,1291204844642,1176616545271,784364134789,537169311710,582214416813,726970214529,970023539066
42,지배기업의 소유주 지분,지배기업의 소유주 지분,1078307584664,1088075741812,982204321431,1182815030247,1237363218374,1038542743921,940888508919,785084821318
43,지배기업의 소유주 지분,납입자본,40662398000,40662398000,40662398000,40662398000,40662398000,40662398000,40662398000,40662398000
44,지배기업의 소유주 지분,주식발행초과금,97773449148,97773449148,97773449148,97773449148,97773449148,97773449148,97773449148,97773449148
45,지배기업의 소유주 지분,이익잉여금,953976131459,966816786565,963027305560,1179735672647,1177049753285,985875249525,867992459258,700852885725
46,지배기업의 소유주 지분,기타자본항목,-14104393943,-17176891901,-119258831277,-135356489548,-78122382059,-85768352752,-65539797487,-54203911555
47,비지배지분,비지배지분,-1112000130,-377509395,52208110,528728310,864612421,892285334,,
48,자본총계,자본총계,1077195584534,1087698232417,982256529541,1183343758557,1238227830795,1039435029255,940888508919,785084821318
49,,부채와 자본 총계,2854954793880,2378903077059,2158873074812,1967707893346,1775397142505,1621649446068,1667858723448,1755108360384
