,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,266983192496,247422137713,173538802795,337063654667,320504576566,297694023312,266057492456,
1,유동자산,현금및현금성자산,7849959557,22601269586,18114242411,48151094772,50741239202,48895587552,47903752883,
2,유동자산,단기금융상품,69186487202,73338364822,6477775671,25727228048,29791555992,78825734209,90298500056,
3,유동자산,매출채권,63708014464,49527247743,58721007061,73604416415,63790172334,52861096766,46768642251,
4,유동자산,기타유동채권,38409762423,36461321873,17256735704,4322862914,1821484147,3729428034,1552937870,
5,유동자산,유동당기손익인식지정금융자산,,,16670390423,24698030882,15813782329,483859800,533322000,
6,유동자산,유동 당기손익-공정가치 측정 지정 금융자산,19333339841,11220313792,,,,,,
7,유동자산,유동매도가능금융자산,,,19018587731,56025240069,70336071458,10101415693,5832059597,
8,유동자산,유동 기타포괄손익-공정가치 측정 금융자산,14021555044,2922923640,,,,,,
9,유동자산,유동만기보유금융자산,,,525000,4007271796,12170587170,32632819671,9113746299,
10,유동자산,유동 상각후원가 측정 금융자산,245000,750000,,,,,,
11,유동자산,기타유동자산,4891400195,3184883811,3772773060,29865771668,20162685957,15048368716,11850985557,
12,유동자산,재고자산,44416754513,44051387744,33506765734,69861921463,55876997977,55115712871,52203545943,
13,유동자산,반환재고회수권,5165674257,4113674702,,,,,,
14,비유동자산,비유동자산,545594404297,499614720891,316109716910,377730752087,300475986324,255652379832,189843034617,
15,비유동자산,장기금융상품,2775580592,2715198141,5158833370,3852370979,3832969026,3611933138,3400087636,
16,비유동자산,기타비유동채권,2868655310,2475356012,4054576361,9695335561,8273941751,7692767426,6295439124,
17,비유동자산,유형자산,35788031151,58905791651,58567428203,192159244556,153133378248,119926980621,89681424631,
18,비유동자산,무형자산,1242349030,1403528719,1503038195,4407056452,4539061292,3796488822,2868420855,
19,비유동자산,투자부동산,62762923354,20223840606,20461339372,19723935953,19934020128,20260670420,20549395535,
20,비유동자산,종속기업 및 관계기업에 대한 투자자산,388418004152,368402121846,35860251052,39644025049,41123778095,55671599827,37879837044,
21,비유동자산,비유동 당기손익-공정가치 측정 지정 금융자산,31341912343,21861833353,,,,,,
22,비유동자산,비유동매도가능금융자산,,,186553617665,69906830999,44891161691,34695153000,20201156233,
23,비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,14517842012,19139508219,,,,,,
24,비유동자산,비유동만기보유금융자산,,,470000,3180000,4033511893,90345000,97895000,
25,비유동자산,비유동 상각후원가 측정 금융자산,,245000,,,,,,
26,비유동자산,확정급여자산,2382140233,,,,,,,
27,비유동자산,기타비유동자산,31113249,99638092,,38338772538,20714164200,9906441578,8869378559,
28,비유동자산,이연법인세자산,3465852871,4387659252,3950162692,,,,,
29,자산총계,자산총계,812577596793,747036858604,489648519705,714794406754,620980562890,553346403144,455900527073,
30,유동부채,유동부채,94840122250,90079359689,85748747117,115344994297,88319884182,84455429246,74480402875,
31,유동부채,매입채무,25461169532,23887834040,24677829958,38094057891,33742604704,28280900674,28148197891,
32,유동부채,기타유동채무,29439860723,34073405152,40337598388,52535666138,29141502077,25284526749,20917577800,
33,유동부채,단기차입금,386522129,,,,,,,
34,유동부채,기타유동부채,2259688738,3054484225,2747477702,2398098564,2492778193,2974324525,1924537483,
35,유동부채,유동리스부채,881946800,,,,,,,
36,유동부채,당기법인세부채,23738074245,15113038709,9221724279,13364596696,13897795504,14691747399,11119592107,
37,유동부채,유동충당부채,3179506639,6762109987,8764116790,8952575008,9045203704,10072483268,10437449137,
38,유동부채,환불부채,9493353444,7188487576,,,,,,
39,비유동부채,비유동부채,44052241219,47497083998,46080231893,32107274536,26480461955,27924492162,22216614633,
40,비유동부채,기타비유동채무,1041380000,1041380000,1041380000,3828449644,3223938593,2359976290,2850122778,
41,비유동부채,비유동리스부채,888475765,,,,,,,
42,비유동부채,이연법인세부채,42122385454,40959919799,42370040771,23657178190,17873184025,19788093864,17461182796,
43,비유동부채,퇴직급여부채,,5495784199,2668811122,4561612244,5326068104,5776422008,1905309059,
44,부채총계,부채총계,138892363469,137576443687,131828979010,147452268833,114800346137,112379921408,96697017508,
45,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,673685233324,609460414917,357819540695,564144255061,505256452828,440966481736,359203509565,
46,지배기업의 소유주에게 귀속되는 자본,자본금,3556218500,3556218500,2657947000,4901680000,4901680000,4901680000,4901680000,
47,지배기업의 소유주에게 귀속되는 자본,자본잉여금,223921570995,223921570995,34729424208,62430520444,62430520444,62430520444,60516066349,
48,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,1509881559,-808183259,961977024,416204589,-420666008,-1757179191,-1613738832,
49,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-676340615979,-678338584162,-678046454320,-79296489637,-73606262137,-73606262137,-75685204054,
50,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),1121038178249,1061129392843,997516646783,575692339665,511951180529,448997722620,371084706102,
51,비지배지분,비지배지분,,,,3197882860,923763925,,,
52,자본총계,자본총계,673685233324,609460414917,357819540695,567342137921,506180216753,440966481736,359203509565,
53,,자본과부채총계,812577596793,747036858604,489648519705,714794406754,620980562890,553346403144,455900527073,
