,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),528311146326,493296253457,450167573107,483807069550,667533186658,566702029217,508757942061,
1,매출원가,매출원가,309387207661,294626512274,272588953421,303442054452,376376246088,326611748822,302355978293,
2,매출총이익,매출총이익,218923938665,198669741183,177578619686,180365015098,291156940570,240090280395,206401963768,
3,판매비와관리비,판매비와관리비,144409061956,130781225246,112881559698,116521794050,199515785662,161510195090,137938571160,
4,영업이익(손실),영업이익(손실),74514876709,67888515937,64697059988,63843221048,91641154908,78580085305,68463392608,
5,기타이익,기타이익,2731150500,6095336781,3248189586,11094747338,6288047667,4333652824,2896978984,
6,기타손실,기타손실,1486230343,1428321088,2006831800,12528633365,10541736882,9879015537,7062409894,
7,금융수익,금융수익,8988934650,34299390590,9896802263,11601152860,10223096815,6246956293,5720021882,
8,금융원가,금융원가,3319925801,6243814072,5295542951,2109541350,6265733445,310505609,1136083056,
9,지분법손익,지분법손익,22384081479,3932300804,4331252027,7190541582,6551559175,39045107533,5149722220,
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),103812887194,104543408952,74870929113,79091488113,97896388238,118016280809,74031622744,
11,법인세비용,법인세비용,24379785129,19970786076,21197284057,16511808005,23342903449,27283791159,16591863071,
12,계속영업이익(손실),계속영업이익(손실),79433102065,84572622876,53673645056,62579680108,,,,
13,중단영업이익(손실),중단영업이익(손실),,,398301779806,17511884202,,,,
14,당기순이익(손실),당기순이익(손실),79433102065,84572622876,451975424862,80091564310,74553484789,90732489650,57439759673,
15,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),79433102065,84572622876,446955167645,,,,,
16,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),,,5020257217,-1000139822,-62085525,,,
17,기타포괄손익,기타포괄손익,1440779159,-2154881256,708625111,707927473,1796794288,-3179901491,230602431,
18,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),10749635,-1975281678,652592178,,,,,
19,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-877285659,-1553850976,652592178,,,,,
20,기타포괄손익,지분상품에 대한 투자자산의 세후기타포괄손익,888035294,-421430702,,,,,,
21,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),1430029524,-179599578,56032933,,,,,
22,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,893320048,1692287895,1500706543,-303897966,-1453602740,
23,기타포괄손익,매도가능금융자산평가손익의 세후재분류조정,,,106950079,,,,,
24,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익(세후기타포괄손익),226350960,-58630575,,,,,,
25,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가손익의 세후재분류조정,33652287,-93856367,,,,,,
26,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),497432939,-58647685,-730337036,-949767360,-89030707,147758885,4303506,
27,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),739897912,-156177685,,,,,,
28,총포괄손익,총포괄손익,80873881224,82417741620,452684049973,80799491783,,,,
29,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",80873881224,82417741620,447664327399,81847867996,76586755092,87552588159,57670362104,
30,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",,,5019722574,-1048376213,-236476015,,,
31,주당이익 [abstract],기본주당이익(손실),,,,,,,,
32,주당이익 [abstract],계속영업기본주당이익(손실),12779,15206,6126,7639,,,,
33,주당이익 [abstract],중단영업기본주당이익(손실),,,50900,2260,,,,
