,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1945845489928,2072441400495,1661379108251,1374955883201,1280132330611,1280790494456,1471623764070,1389593386102
1,유동자산,현금및현금성자산,465859671362,295717904423,353859554202,322119127860,379115415201,367332557857,530661072801,305528292361
2,유동자산,단기금융상품,11526566965,102387475890,142252447995,477380197920,309626342796,223535714025,121626812125,339238982125
3,유동자산,당기손익-공정가치금융자산,851314472919,954961531724,521052814790,,,,,
4,유동자산,매출채권,364794494264,444441718142,419692065932,377365831534,373765463711,429934211366,518523875758,474025676892
5,유동자산,대여금및기타채권,5796487811,10172989082,5611342089,6962387177,9867146778,20815481971,35460699344,25729515801
6,유동자산,재고자산,179174956115,198826284634,178788302499,156166904094,172090015930,199211900457,232068894473,212780612910
7,유동자산,기타유동자산,67377486948,65933496600,40092509768,34828455633,35424566513,39628618780,32973834569,32189941013
8,유동자산,미수법인세,1353544,0,30070976,132728983,56835882,,,
9,비유동자산,비유동자산,2411279992070,2430215101203,2448137025667,2447340515592,2544719198692,2598856534489,2523368788680,2490672431475
10,비유동자산,기타포괄손익-공정가치금융자산,196686632677,250392502515,0,,,,,
11,비유동자산,매도가능금융자산,0,0,214135908947,168518601045,174537737303,183949770445,166068437345,156467885861
12,비유동자산,당기손익-공정가치금융자산,27553000000,25441900000,24874675000,,,,,
13,비유동자산,만기보유금융자산,15000000000,15000000000,15000000000,,,,,390000
14,비유동자산,관계기업및공동기업투자,559409232498,504113882469,387291504282,350730958065,348839417545,330182758516,274921732654,233336222970
15,비유동자산,유형자산,648923418189,713518229902,814421620070,1022654663335,1201641881947,1243927919653,1271859131523,1348308486503
16,비유동자산,사용권자산,18111867882,0,0,,,,,
17,비유동자산,투자부동산,197095941373,201613651503,196441727905,94190568950,93430511299,100250028686,101052194652,96520781280
18,비유동자산,무형자산,655548166218,655595940957,657842110070,659535531520,658096025360,660042911369,662714881729,601186447670
19,비유동자산,장기매출채권,8799415508,8679236027,6637511428,7827089642,8130846236,7488463696,3539558700,1903304588
20,비유동자산,장기대여금및기타채권,13010834081,16680314261,90666712250,86343457978,19995196523,27619865331,17821976579,12329404209
21,비유동자산,기타비유동자산,12571104472,18401854765,13063645201,15395217290,19148888174,18361913517,11196250748,10347704322
22,비유동자산,이연법인세자산,58570379172,20777588804,27761610514,42144427767,20898694305,19828542276,14194624750,10211014072
23,자산총계,자산총계,4357125481998,4502656501698,4109516133918,3822296398793,3824851529303,3879647028945,3994992552750,3880265817577
24,유동부채,유동부채,562585719862,768528979692,710502414716,654231140141,596882573131,746249868444,1091786477271,943316433079
25,유동부채,매입채무,202711950408,259731120686,248662640088,226684329113,212151470444,257417269493,384897404063,404770991508
26,유동부채,단기차입금,95829263111,97022712846,100524456797,109290688449,177251691558,280180492041,518524264522,346605233041
27,유동부채,미지급금및기타채무,74817832154,193468378372,172418344605,176861732331,94970342253,79929494271,96020022263,87947760734
28,유동부채,유동성리스부채,11568877609,0,0,,,,,
29,유동부채,기타유동부채,114372103178,103431493315,107357180887,80735379398,85268762994,101610853388,81730693213,96032427796
30,유동부채,미지급법인세,63285693402,114875274473,81539792339,48639964650,15516111082,,,
31,비유동부채,비유동부채,310724291462,229138784202,224746006062,190834227272,277870565004,280273506885,199375244406,353478420625
32,비유동부채,장기미지급금및기타채무,10551499190,11159554612,10287699072,8414574230,101801155413,98030153689,7914459819,6720284025
33,비유동부채,비유동성리스부채,30505106329,0,0,,,,,
34,비유동부채,확정급여부채,3654915125,4471642030,11875411892,9643465312,10186523593,10798182792,6789105993,4333641988
35,비유동부채,기타비유동부채,168229783577,131729709670,128529488424,109600355113,83417172549,83421323445,80015434870,51575032651
36,비유동부채,이연법인세부채,97782987241,81777877890,74053406674,63175832617,58284561674,54504942803,33664637859,29240998208
37,부채총계,부채총계,873310011324,997667763894,935248420778,845065367413,874753138135,1026523375329,1291161721677,1296794853704
38,지배기업의 소유주에게 귀속되는 지분,지배기업의 소유주에게 귀속되는 지분,3178962771377,3086300764119,2706317137882,2542652480292,2539599722298,2482316596567,2454768880128,2320926077895
39,지배기업의 소유주에게 귀속되는 지분,자본금,5567000000,5567000000,5567000000,5567000000,5567000000,5567000000,5567000000,5567000000
40,지배기업의 소유주에게 귀속되는 지분,자본잉여금,131830288743,133338404043,65177620499,66551594037,66532122256,61223185996,40198805828,28838476234
41,지배기업의 소유주에게 귀속되는 지분,자본조정,-211587172770,-195550127818,-268454344222,-265023938654,-261703342728,-270029555274,-179966993236,-174766369098
42,지배기업의 소유주에게 귀속되는 지분,기타포괄손익누계액,109641072483,131066571331,142874080744,110376379752,116079558453,114748821594,88297501360,49342016787
43,지배기업의 소유주에게 귀속되는 지분,이익잉여금,3143511582921,3011878916563,2761152780861,2625181445157,2613124384317,2570807144251,2500672566176,2411944953972
44,비지배지분,비지배지분,304852699297,418687973685,467950575258,434578551088,410498668870,370807057049,249061950945,262544885978
45,자본총계,자본총계,3483815470674,3504988737804,3174267713140,2977231031380,2950098391168,2853123653616,2703830831073,2583470963873
46,,부채와자본총계,4357125481998,4502656501698,4109516133918,3822296398793,3824851529303,3879647028945,3994992552750,3880265817577
