,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,371382601219,358080440957,346738032566,348700367089,373414160366,311901561396,233804462887,339779627560
1,영업활동으로 인한 현금흐름,당기순이익,167539648105,249125392132,179184350375,44525680866,104614215179,122820168364,113939553791,
2,영업활동으로 인한 현금흐름,조정,270044246176,214559468954,228464621045,305617628045,268195651696,221072700251,278024402712,
3,영업활동으로 인한 현금흐름,외화환산손실,4693847379,6981911281,7638260310,11341655196,11216617709,2670735234,10723522633,
4,영업활동으로 인한 현금흐름,대손상각비,2120863060,-82161962,-221729888,4250055838,2801227682,3419530018,3836321680,
5,영업활동으로 인한 현금흐름,기타의 대손상각비,11852041,651074,273920,543500854,149237785,1418826920,30410237,
6,영업활동으로 인한 현금흐름,충당부채전입액,33496113119,1245000000,10761000351,22493777011,-3101761116,,25783868875,
7,영업활동으로 인한 현금흐름,당기손익-공정가치금융자산평가손실,21598768,408918724,125325000,,,,,
8,영업활동으로 인한 현금흐름,당기손익-공정가치금융자산처분손실,578489459,0,0,,,,,
9,영업활동으로 인한 현금흐름,지분법손실,2214081282,594000000,0,454511237,339041809,180919567,509424748,
10,영업활동으로 인한 현금흐름,관계기업투자주식처분손실,0,430482095,0,,,,,
11,영업활동으로 인한 현금흐름,장기금융상품처분손실,59428904,0,0,,,,,
12,영업활동으로 인한 현금흐름,투자부동산손상차손,2414390928,0,0,,,,,
13,영업활동으로 인한 현금흐름,투자부동산폐기손실,0,23373180,0,,,,,
14,영업활동으로 인한 현금흐름,유형자산처분손실,965443819,2998337343,134735490,3238367025,1327570393,3810333259,3743030193,
15,영업활동으로 인한 현금흐름,유형자산폐기손실,90254291,190952933,37294386,11988573,759663,502684799,8846146,
16,영업활동으로 인한 현금흐름,유형자산손상차손,33104302903,19111553944,-1928256,48639721205,,,,
17,영업활동으로 인한 현금흐름,감가상각비,114886567515,142658848400,162983230122,187294670379,190189070314,181496295420,209869387806,
18,영업활동으로 인한 현금흐름,사용권자산감가상각비,14664096746,0,0,,,,,
19,영업활동으로 인한 현금흐름,사용권자산손상차손,25225388221,0,0,,,,,
20,영업활동으로 인한 현금흐름,무형자산상각비,432113053,549440758,718885476,523383457,2287566309,2289201939,2516495863,
21,영업활동으로 인한 현금흐름,무형자산손상차손,0,70000000,2800000000,,,91980000,30468239610,
22,영업활동으로 인한 현금흐름,무형자산처분손실,0,550000,0,,,,,
23,영업활동으로 인한 현금흐름,이자비용,9196884712,16522497878,16024744650,16750509084,26829241391,17856398243,26526893280,
24,영업활동으로 인한 현금흐름,퇴직급여,4859221824,6298353480,5689649459,5227945792,6037737167,6047209842,5573484086,
25,영업활동으로 인한 현금흐름,금융부채평가손실,23590110240,0,0,,,,,
26,영업활동으로 인한 현금흐름,법인세비용,92300534103,94642044153,96599476836,40393785101,50922115773,44325039113,32929728925,
27,영업활동으로 인한 현금흐름,리스해지손실,2515507,0,0,,,,,
28,영업활동으로 인한 현금흐름,외화환산이익,1728060086,1619131143,8937099616,-5594046522,-6044997719,-4452449728,-13541038042,
29,영업활동으로 인한 현금흐름,기타의대손충당금환입,432502,1361489,201277054,,,,,
30,영업활동으로 인한 현금흐름,당기손익-공정가치금융자산평가이익,8854616885,1482715236,0,,,,,
31,영업활동으로 인한 현금흐름,당기손익-공정가치금융자산처분이익,18567287026,0,0,,,,,
32,영업활동으로 인한 현금흐름,이자수익,8544044623,31183192517,21647341985,-14203132303,-12695238589,-17370038150,-19022829331,
33,영업활동으로 인한 현금흐름,배당금수익,-4139541510,-4072733800,-3613682750,-3226385234,-2510891695,-2221360940,-711292945,
34,영업활동으로 인한 현금흐름,지분법이익,51202004024,37563496597,40131689285,-21157083831,-13331315796,-30322898292,-25656992234,
35,영업활동으로 인한 현금흐름,종속기업투자처분이익,0,1129036647,0,,,,,
36,영업활동으로 인한 현금흐름,투자부동산처분이익,0,417793913,0,,-151449752,-49262500,,
37,영업활동으로 인한 현금흐름,유형자산처분이익,1722795092,615822985,293506121,-4768048467,-1491959774,-2115468082,-1211049345,
38,영업활동으로 인한 현금흐름,무형자산처분이익,53428893,0,0,,,,,
39,영업활동으로 인한 현금흐름,무형자산손상차손환입,70000000,0,0,,,,,
40,영업활동으로 인한 현금흐름,리스해지이익,-1641057,0,0,,,,,
41,영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,64615514110,-58506541923,-28003307044,5934897944,54605872268,-22601297189,-103064838799,
42,영업활동으로 인한 현금흐름,매출채권의 감소(증가),79187942180,-34467209810,-47437042205,-5711902073,56071741135,90464936794,-48322233645,
43,영업활동으로 인한 현금흐름,기타유동채권의 감소(증가),4486236006,-5657723277,1518018129,2587065528,10759259185,6967836900,-2554304973,
44,영업활동으로 인한 현금흐름,기타유동자산의 감소(증가),-1756044797,1243915434,4607972636,9196353591,12893115500,721917623,8006551626,
45,영업활동으로 인한 현금흐름,재고자산의 감소(증가),20439520800,-20363221485,-22707731103,9253584880,23235727471,29610564489,-19026871518,
46,영업활동으로 인한 현금흐름,장기매출채권의 감소(증가),-3534958067,2381375613,805787873,1436568555,-446036653,-6412360909,-1636254112,
47,영업활동으로 인한 현금흐름,기타비유동자산의 감소(증가),3542714530,1086715120,-180726655,84046561,917812395,-9745535618,1635797345,
48,영업활동으로 인한 현금흐름,매입채무의 증가(감소),-55828141991,12000505976,24878159031,10861703326,-46194105265,-127708104156,-20766750783,
49,영업활동으로 인한 현금흐름,미지급금및기타채무의 증가(감소),1594029539,769022619,2992528248,-9617590627,242300065,-4325923256,-16068434674,
50,영업활동으로 인한 현금흐름,기타유동부채의 증가(감소),25497349895,-4167688032,11079053804,-6084812707,3096725469,2006969679,-105777118,
51,영업활동으로 인한 현금흐름,기타비유동부채의 증가(감소),-64403921,307265003,4564546564,746969470,,,,
52,영업활동으로 인한 현금흐름,장기미지급금및기타채무의 증가(감소),-15014714,-10459805,-264779406,378500212,-435675149,21275915,,
53,영업활동으로 인한 현금흐름,퇴직금의 지급,-1592019524,-3022819539,-53784793,-300340773,-1283214177,-983994705,-298134319,
54,영업활동으로 인한 현금흐름,관계사간전출입,0,24919343,-19497252,165047800,169957560,44380485,303483234,
55,영업활동으로 인한 현금흐름,사외적립자산의 증가,-7341695826,-8631139083,-7785811915,-7079042799,-4264090821,-3751571930,-4231909862,
56,영업활동으로 인한 현금흐름,이자수취,9398995100,35676108159,18863236398,12712823985,12300604101,18435983928,22188413437,20413484156
57,영업활동으로 인한 현금흐름,배당금수취,18878186510,20158078800,14288202750,12410859534,8683266695,8890802446,5761418945,8980437744
58,영업활동으로 인한 현금흐름,이자지급,3739147053,12270730206,11930435257,-12832545153,-15307755878,-12218110053,-23979164726,-25300859954
59,영업활동으로 인한 현금흐름,법인세납부,155354841729,90661334959,54128635701,-19668978132,-59677693695,-24498686351,-59065322473,-55900925679
60,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,146781038443,-386988145202,-305418888083,-309054777061,-221563642828,-302000521990,31609307688,-92175831677
61,투자활동으로 인한 현금흐름,단기금융상품의 감소,94028951076,132426000000,962224144493,563215000000,571981901900,397826000000,393395999642,702356763177
62,투자활동으로 인한 현금흐름,당기손익-공정가치금융자산의 감소(증가),128539729406,-413865545422,-546052814790,,,,,
63,투자활동으로 인한 현금흐름,매도가능금융자산의 처분,0,0,250000,22230743746,1612733519,810220000,10298485612,
