,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,2918003265397,3108761624314,2915823076742,2671107287343,2804357944386,3162246019606,3513353200588,3715181735340
1,매출원가,매출원가,1899615932591,2031971720151,1881241625850,1696258781969,1832396904715,2211501439872,2542730076448,2811034873456
2,매출총이익,매출총이익,1018387332806,1076789904163,1034581450892,974848505374,971961039671,950744579734,970623124140,904146861884
3,판매비와관리비,판매비와관리비,726962462683,745280964911,793387325722,814729945908,812159941599,801235030146,802022610523,728776362051
4,영업이익,영업이익,291424870123,331508939252,241194125170,160118559466,159801098072,149509549588,168600513617,175370499833
5,기타수익,기타수익,51971797238,34590466083,40770816286,51374549815,40975895440,35139465936,50266332752,65548304718
6,기타비용,기타비용,142843000091,80540181095,53004179134,128055806413,45393885178,39490583993,102049896188,55692684058
7,금융수익,금융수익,54449567820,46584629173,36915810921,40562887411,37443886780,34932021736,36114365206,26506446718
8,금융비용,금융비용,44150975624,24915431630,30224435317,59783296906,50282938149,43087224515,45433317548,42062034312
9,관계기업및공동기업투자의 손익에 대한 지분,관계기업및공동기업투자의 손익에 대한 지분,48987922742,36539014502,40131689285,20702572594,12992273987,30141978725,39371284877,24535747752
10,관계기업및공동기업투자의 손익에 대한 지분,지분법이익,51202004024,37563496597,40131689285,21157083831,13331315796,30322898292,25656992234,25135746752
11,관계기업및공동기업투자의 손익에 대한 지분,지분법손실,2214081282,594000000,0,-454511237,-339041809,-180919567,-509424748,
12,관계기업및공동기업투자의 손익에 대한 지분,관계기업투자주식처분손실,0,-430482095,0,,,,,
13,법인세비용차감전순이익,법인세비용차감전순이익,259840182208,343767436285,275783827211,84919465967,155536330952,167145207477,146869282716,194206280651
14,법인세비용,법인세비용,92300534103,94642044153,96599476836,40393785101,50922115773,44325039113,32929728925,78707676837
15,당기순이익,당기순이익,167539648105,249125392132,179184350375,44525680866,104614215179,122820168364,113939553791,115498603814
16,기타포괄이익(손실),기타포괄이익(손실),-23645934984,19350837711,31094913461,-7359173862,2242457590,24947148965,37663958906,-4589982699
17,기타포괄이익(손실),후속적으로 당기손익으로 재분류되지 않는 항목,-43099089435,20998780490,-3306647591,-690096931,803599428,-1952253215,-847722016,185551671
18,기타포괄이익(손실),확정급여제도의 재측정요소,-2473768857,1518987195,-3306647591,-690096931,803599428,-1952253215,-847722016,185551671
19,기타포괄이익(손실),기타포괄손익-공정가치금융자산 평가이익(손실),-40625320578,19479793295,0,,,,,
20,기타포괄이익(손실),후속적으로 당기손익으로 재분류되는 항목,19453154451,-1647942779,34401561052,,,,,
21,기타포괄이익(손실),매도가능금융자산평가이익,0,0,34581747635,7377276383,6627252901,3134297053,14603484918,-4031127862
22,기타포괄이익(손실),지분법자본변동,16830427150,3217651259,3948802239,-7797715718,-7798302442,20997140617,23080517329,6149953007
23,기타포괄이익(손실),부의지분법자본변동,105895605,48457607,12134751,-103051261,3050069,204466394,-5711303,175211251
24,기타포괄이익(손실),지분법이익잉여금변동,555131841,-4749313459,1938075111,-104979563,124561736,13004055,-139788896,58049866
25,기타포괄이익(손실),해외사업환산이익(손실),1961699855,-164738186,-6079198684,-6040606772,2482295898,2550494061,973178874,-7127620632
26,총포괄이익,총포괄이익,143893713121,268476229843,210279263836,37166507004,106856672769,147767317329,151603512697,110908621115
27,당기순이익의 귀속,지배기업의 소유주 지분,136056980106,214106303545,138798950693,14296723833,75037694215,73635357909,76396663143,33166907684
28,당기순이익의 귀속,비지배지분,31482667999,35019088587,40385399682,30228957033,29576520964,49184810455,37542890648,82331696130
29,총포괄이익의 귀속,지배기업의 소유주 지분,112732060510,233225980402,169941890946,7826736389,77107940157,98058752559,114277748739,28470157546
30,총포괄이익의 귀속,비지배지분,31161652611,35250249441,40337372890,29339770615,29748732612,49708564770,37325763958,82438463569
31,지배기업의 소유주 지분에 대한 주당이익,주당이익,161659,254395,164917,16987,89157,87491,90772,39408
