,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,5032320679000,5980170931000,5047538493000,4680973413000,4346329921000,5651951127000,4632329441000,4306014661000
1,유동자산,현금및현금성자산,236088955000,201467875000,178489883000,173708876000,224657843000,250455350000,166687175000,281936337000
2,유동자산,매출채권 및 기타유동채권,3437125452000,4229168305000,3533602397000,3483691749000,3156256548000,4058587853000,3477464964000,2985812147000
3,유동자산,기타유동금융자산,22892162000,14837507000,6637683000,32534445000,23629153000,16417357000,32441837000,38477278000
4,유동자산,유동파생상품자산,42073964000,53268235000,51066829000,41067139000,68874128000,73597653000,24388330000,50708467000
5,유동자산,기타유동자산,182281463000,150764588000,168908569000,177675225000,99666205000,111791383000,130520126000,181293050000
6,유동자산,재고자산,1111858683000,1330664421000,1108833132000,766575445000,770544072000,1037054579000,799901397000,766844977000
7,비유동자산,비유동자산,3927094409000,3900849402000,4122447491000,3607809019000,3696973849000,3688916097000,3636292486000,3159622885000
8,비유동자산,장기매출채권 및 기타비유동채권,441664877000,368001611000,357315078000,407473759000,494035861000,555329826000,463229337000,432922396000
9,비유동자산,기타비유동금융자산,33505850000,37542836000,94316116000,108692128000,105605803000,105234300000,328527595000,255205173000
10,비유동자산,지분법적용 투자지분,367793878000,347695881000,372978723000,446992207000,435058109000,453470114000,419248924000,392471302000
11,비유동자산,유형자산,1380434600000,1294344955000,1324845720000,666087190000,625613191000,582513178000,638256260000,613682784000
12,비유동자산,사용권자산,75273352000,,,,,,,
13,비유동자산,무형자산,1249794886000,1445593033000,1625226269000,1662855502000,1744627378000,1728058469000,1639806782000,1366251457000
14,비유동자산,투자부동산,152168301000,154735824000,157630624000,161003948000,163912188000,166742455000,45725923000,25324637000
15,비유동자산,순확정급여자산,9100000,969811000,8224146000,,,,,
16,비유동자산,기타비유동자산,183462000,3696715000,3529515000,7082000,577289000,581126000,830978000,1304338000
17,비유동자산,이연법인세자산,221083487000,243086120000,178381300000,151550882000,124748545000,89856530000,100666687000,72460798000
18,비유동자산,당기법인세자산,5182616000,5182616000,,5720534000,2701972000,1131629000,925612000,942405000
19,자산총계,자산총계,8959415088000,9881020333000,9169985984000,8288782432000,8043303770000,9340867224000,8268621927000,7465637546000
20,유동부채,유동부채,3561239530000,5421081019000,4937907785000,4304684952000,3918406515000,5436558548000,4529676515000,3849614993000
21,유동부채,매입채무 및 기타유동채무,2091526195000,2057123487000,1870529782000,1808415857000,1252099870000,1580757939000,1773164090000,1257881507000
22,유동부채,단기차입금,1024700968000,2427424586000,2333423613000,1879023385000,2097121733000,3296577608000,2337923446000,2120067983000
23,유동부채,유동성사채,130042420000,538509110000,463736392000,294732832000,349799067000,303733150000,210476368000,
24,유동부채,유동파생상품부채,33202602000,44240137000,43454281000,71803610000,72559984000,61297691000,34500229000,54260781000
25,유동부채,유동충당부채,19704862000,,,,,,,
26,유동부채,기타유동부채,253449639000,284635562000,178843526000,203652898000,94884734000,123492808000,139448547000,171333177000
27,유동부채,당기법인세부채,8612844000,69148137000,47920191000,47056370000,51941127000,46684029000,34163835000,246071545000
28,비유동부채,비유동부채,2350114722000,1570400776000,1379602118000,1480445210000,1703708065000,1529578184000,1508696444000,1426916132000
29,비유동부채,장기매입채무 및 기타비유동채무,223349138000,13407511000,22032310000,28313177000,32465435000,14119298000,23447520000,16990651000
30,비유동부채,장기차입금,734572710000,652936218000,501433623000,592243344000,696410979000,533720525000,625667914000,620188799000
31,비유동부채,사채,1243688371000,770515080000,734200282000,759477309000,894963169000,897913045000,802181428000,718534932000
32,비유동부채,기타비유동부채,32555975000,44358927000,45049205000,1634714000,583628000,3593136000,3593136000,19940459000
33,비유동부채,순확정급여부채,9342466000,3396635000,3290331000,6012348000,16267087000,21929902000,17550544000,15081537000
34,비유동부채,비유동충당부채,84462885000,71879981000,63961914000,88457816000,59903433000,55354934000,35060298000,35631328000
35,비유동부채,이연법인세부채,22143177000,13906424000,9634453000,4306502000,3114334000,2947344000,1195604000,548426000
36,부채총계,부채총계,5911354252000,6991481795000,6317509903000,5785130162000,5622114580000,6966136732000,6038372959000,5276531125000
37,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,3047729156000,2887254170000,2809757886000,2515836119000,2441742688000,2378480786000,2227524123000,2187870299000
38,지배기업의 소유주에게 귀속되는 자본,자본금,616875745000,616875745000,616875745000,569381455000,569381455000,569381455000,569381455000,569381455000
39,지배기업의 소유주에게 귀속되는 자본,자본잉여금,557760234000,553976070000,553438881000,333160807000,333160807000,333160807000,333160807000,333160807000
40,지배기업의 소유주에게 귀속되는 자본,기타자본항목,-7762000,-7762000,-6115000,,,,,
41,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,15595147000,-15867119000,-4936011000,88463154000,67847609000,76795143000,69832009000,129422034000
42,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),1857505792000,1732277236000,1644385386000,1524830703000,1472016629000,1399807193000,1255813664000,1156569815000
43,비지배지분,비지배지분,331680000,2284368000,42718195000,-12183849000,-20553498000,-3750294000,2724845000,1236122000
44,자본총계,자본총계,3048060836000,2889538538000,2852476081000,2503652270000,2421189190000,2374730492000,2230248968000,2189106421000
45,,자본과부채총계,8959415088000,9881020333000,9169985984000,8288782432000,8043303770000,9340867224000,8268621927000,7465637546000
