,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,1608967559000,-146126015000,382240120000,792824746000,1267623361000,-437624644000,-320075762000,524352944000
1,영업활동현금흐름,당기순이익(손실),202398051000,115741119000,166818739000,122212627000,108577876000,176385469000,132993497000,215501918000
2,영업활동현금흐름,당기순이익조정을 위한 가감,705120979000,561241252000,554910044000,391831802000,437412514000,271313270000,94168658000,56528721000
3,영업활동현금흐름,유형자산감가상각비,80059496000,93971355000,62043157000,30751780000,39284825000,27499424000,30457054000,29246114000
4,영업활동현금흐름,무형자산상각비,186818142000,129140137000,150222284000,132734312000,129249177000,83472637000,13596408000,4071994000
5,영업활동현금흐름,사용권자산감가상각비,16513390000,,,,,,,
6,영업활동현금흐름,투자부동산감가상각비,2898923000,2894800000,2919780000,2908240000,2908029000,1741255000,532159000,533825000
7,영업활동현금흐름,퇴직급여,19819812000,16758949000,17353365000,14944267000,12732748000,10870784000,13440822000,14252095000
8,영업활동현금흐름,대손상각비(환입),22949620000,27990137000,77034956000,31793289000,38032133000,11435335000,7366015000,-874391000
9,영업활동현금흐름,이자비용,141243615000,146163650000,87983245000,49523583000,58627519000,77368222000,59405032000,148819599000
10,영업활동현금흐름,관계기업투자손실,29030351000,28609829000,28925342000,22281600000,130560122000,30538992000,8137690000,14622336000
11,영업활동현금흐름,종속기업/관계기업/공동기업투자처분손실,4775738000,379065000,67225000,13854785000,,,,
12,영업활동현금흐름,종속기업/관계기업/공동기업투자손상차손,22598804000,43359415000,2791448000,,,,,
13,영업활동현금흐름,차입금(사채)상환손실,2237450000,,,,,,1759097000,30362929000
14,영업활동현금흐름,유형자산처분손실,323769000,505895000,542552000,180735000,243839000,148512000,80410000,225687000
15,영업활동현금흐름,유형자산손상차손,1383875000,34339076000,1129858000,26794100000,,,,
16,영업활동현금흐름,유형자산손상차손환입,220956000,,,,,,,
