,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,24422574846000,25173939721000,22571653747000,16492090197000,17526906326000,20407753120000,17108578034000,17320124605000
1,매출원가,매출원가,23297980546000,24199883770000,21263108998000,-15356214659000,-16237950430000,-19169548022000,-16164217603000,-16362544818000
2,매출총이익,매출총이익,1124594300000,974055951000,1308544749000,1135875538000,1288955896000,1238205098000,944360431000,957579787000
3,판매비와관리비,판매비와관리비,519276554000,501432847000,907230886000,-817736458000,-920151638000,-862138239000,-785488560000,-817831196000
4,영업이익(손실),영업이익(손실),605317746000,472623104000,401313863000,318139080000,368804258000,376066859000,158871871000,139748591000
5,관계기업투자이익,관계기업투자이익,84132543000,44703184000,60384368000,60212160000,77465750000,50075869000,32153215000,76080068000
6,관계기업투자손실,관계기업투자손실,29030351000,28609829000,28925342000,-22281600000,-130560122000,-30538992000,-8137691000,-14622336000
7,금융수익,금융수익,797316170000,759797926000,892930447000,1084379319000,1313855032000,1214670119000,887424883000,1151257411000
8,금융비용,금융비용,922521959000,919294064000,1003417545000,-1121308080000,-1397450279000,-1281764350000,-889394659000,-1073319172000
9,기타영업외수익,기타영업외수익,48094422000,24546572000,50321262000,21030447000,28910962000,26661103000,15340866000,49015224000
10,기타영업외비용,기타영업외비용,253330465000,177681741000,124645899000,-165538039000,-127484248000,-68014041000,-18385490000,-48653244000
11,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),329978106000,176085152000,247961154000,174633287000,133541353000,287156567000,177872995000,279506542000
12,법인세비용,법인세비용,127580055000,60344033000,81142415000,-52420660000,-24963477000,-110771098000,-29473591000,-107234844000
13,당기순이익(손실),당기순이익(손실),202398051000,115741119000,166818739000,122212627000,108577876000,176385469000,148399404000,172271698000
14,기타포괄손익,기타포괄손익,21804823000,-5951074000,-93312775000,17065600000,-6055683000,659744000,-65010952000,-224476848000
15,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),26776075000,1606812000,-93925244000,,,,,
16,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,-7746136000,-1292752000,-2096160000,-4618085000,-810851000,518659000
17,기타포괄손익,지분법자본변동,9370793000,12596379000,10426629000,5810189000,-22521624000,14174613000,-30997000,-186706897000
18,기타포괄손익,부의지분법자본변동,-947176000,-14467791000,-65238720000,-694236000,3719597000,-2469618000,-42240558000,-27935245000
19,기타포괄손익,해외사업장환산외환차이,18352458000,3478224000,-31367017000,14744366000,14635021000,-57792000,-17110320000,-15644510000
20,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-4971252000,-7557886000,612469000,-1501967000,207483000,-6369374000,-4818226000,5291145000
21,기타포괄손익,기타포괄손익-공정가치 측정 지분상품 평가손익,-398478000,-7870791000,,,,,,
22,기타포괄손익,지분법자본변동,2202166000,5851637000,,5810189000,-22521624000,14174613000,-30997000,-186706897000
23,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-7267686000,-5538732000,612469000,,,,,
24,기타포괄손익,해외사업장환산외환차이,492746000,,,,,,,
25,총포괄손익,총포괄손익,224202874000,109790045000,73505964000,139278227000,102522193000,177045213000,67982545000,-8974930000
26,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),209403680000,155174308000,175880360000,111254187000,128940098000,184525790000,138224962000,211855589000
27,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),-7005629000,-39433189000,-9061621000,10958440000,-20362222000,-8140321000,-5231465000,3646329000
28,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",230715757000,147098408000,83093664000,130367765000,120200047000,185119550000,73816711000,-9762196000
29,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",-6512883000,-37308363000,-9587700000,8910462000,-17677854000,-8074337000,-5834166000,787266000
30,주당이익 [abstract],기본주당이익(손실),1697,1258,1444,977,1132,1620,1349,1549
31,주당이익 [abstract],계속영업기본주당이익(손실),1697,1258,1444,977,1132,1620,1349,1404
32,주당이익 [abstract],희석주당이익(손실),1697,1258,1444,977,1132,1620,1214,1946
33,주당이익 [abstract],계속영업희석주당이익(손실),1697,1258,1444,,,,,
