,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,2451305535330,2774499774993,2944963083170,2831770051549,2819677315024,3000256079591,3022001154974,2900282173272
1,매출액,제품매출액,2247139105960,2524000247948,2584206601199,2504081840752,2545738846153,2746174138546,2906855706073,2813030348609
2,매출액,상품매출액,195309094623,241566520856,352046155761,313518859195,265903819640,247054628590,115145448901,87251824663
3,매출액,용역매출액,8857334747,8933006189,8710326210,14169351602,8034649231,7027312455,,
4,매출원가,매출원가,2263690812784,2507344412499,2536521507943,2460679667725,2579417194046,2751137029455,2762447188646,2661891752400
5,매출원가,제품매출원가,2081967464022,2294057003394,2252530134873,2182637545313,2336383162404,2524990892364,2687302083408,2587160247275
6,매출원가,상품매출원가,178293041882,209966167204,279761389102,270269255097,239674908188,223164965567,75145105238,74731505125
7,매출원가,용역매출원가,3430306880,3321241901,4229983968,7772867315,3359123454,2981171524,,
8,매출총이익,매출총이익,187614722546,267155362494,408441575227,371090383824,240260120978,249119050136,259553966328,238390420872
9,판매비와관리비,판매비와관리비,146472059268,159654225786,167373351081,153289619674,129205867414,121526659020,126441493609,110584849488
10,영업이익(손실),영업이익(손실),41142663278,107501136708,241068224146,217800764150,111054253564,127592391116,133112472719,127805571384
11,기타이익,기타이익,65315377305,72541392967,80993234706,80596819178,85143051164,87945038597,94331760335,87884444235
12,기타이익,수입배당금,92129200,13129200,13129200,5129200,17129200,5140150,18715525,24136620
13,기타이익,수입임대료,1027706004,943963157,821014889,816141748,886441816,1548564483,8072896106,4414680922
14,기타이익,당기손익 -  공정가치 측정 금융자산 평가이익,158039657,328844980,0,,,,,
15,기타이익,외환차익,24132928658,27885761002,31942048688,31082992927,30192271197,32356609706,39779030618,33841356009
16,기타이익,외화환산이익,8564955111,10561671968,10171397612,16532056524,8489536513,9859474820,6627746782,10918659164
17,기타이익,매각예정비유동자산처분이익,828000712,0,0,,,,,
18,기타이익,유형자산처분이익,182608095,1908425148,588030796,355007045,726980979,687113853,804963225,795137512
19,기타이익,무형자산처분이익,0,46578623,859674672,253143022,265402027,,,
20,기타이익,파생상품거래이익,12021483414,15481686330,18752277994,17469111724,29591204780,26242685351,23077620368,18272584126
21,기타이익,파생상품평가이익,1770290201,3624663515,5638441420,3828969358,4319121484,5898253880,2982605532,7061166330
22,기타이익,잡이익,16537236253,11746669044,12207219435,10254267630,10600107888,11336559298,12968182179,12556723552
23,기타손실,기타손실,50040188653,63967348100,88370864706,84351470115,76271374185,69161777598,75875805457,72330301181
24,기타손실,당기손익 - 공정가치 측정 금융자산 평가손실,90436552,0,0,,,,,
25,기타손실,당기손익 - 공정가치 측정 금융자산 처분손실,528876,75814,0,,,,,
26,기타손실,매도가능금융자산처분손실,0,0,1010707,423793,1032207,57781080,,
27,기타손실,매도가능금융자산손상차손,0,0,450000000,,,,,
28,기타손실,외환차손,19855981199,25919779047,30698411255,35072544024,31162880301,31977311039,36323161907,33803726795
29,기타손실,외화환산손실,7660653249,9503795988,17889978767,9094071241,8937599298,7445830618,7991348502,11643876279
30,기타손실,기부금,4705878742,5677142583,5407321472,6456387206,4973221222,6033586622,7359145664,6542581011
31,기타손실,매각예정비유동자산처분손실,488078425,0,0,,,,,
32,기타손실,매각예정비유동자산손상차손,0,3985571560,0,,,,,
33,기타손실,유형자산처분손실,67683342,1783185790,363351051,214846715,4276232934,36275458,277980681,33984643
34,기타손실,무형자산처분손실,41507400,1100000,0,367889704,1757526841,320000000,,
35,기타손실,무형자산손상차손,0,0,1792813786,,,46375113,417600000,
36,기타손실,파생상품거래손실,13867895434,14098395339,21908036312,22834133326,20242233111,11985256526,15512725782,15800116509
37,기타손실,파생상품평가손실,2497728802,1879769069,4518684184,9310697532,4604278497,9907880421,4784235662,3983281002
38,기타손실,잡손실,763816632,1118532910,5341257172,818780023,316369774,1351480721,3209607259,522734942
39,금융수익,금융수익,7927187777,5534988841,4118346004,6612161927,6280461329,6743621439,5292175948,4681633979
40,금융수익,이자수익,993203642,654982257,205277762,174939129,144648392,506084788,482407043,560848269
41,금융수익,외환차익,6809968724,4449857249,3663915341,6287014689,5894636057,6173002713,4357636693,3396066613
42,금융수익,외화환산이익(금융수익),124015411,430149335,249152901,150208109,241176880,64533938,452132212,724719097
43,금융원가,금융원가,37554308946,34251877687,33123578607,38525861316,46012832325,49688507712,55620943709,60731007976
44,금융원가,이자비용,29731624502,28665728839,27594093697,31908619958,39704166676,45124908657,49091888926,57499780437
45,금융원가,외환차손,7727248286,4969437669,5378590401,6546470022,6006161992,4432944126,8240219,33803726795
46,금융원가,외화환산손실(금융원가),95436158,616711179,150894509,70771336,302503657,130654929,6308779868,2813363273
47,공동기업투자주식손익,공동기업투자주식손익,-443169891,12667841,104446613,29395565,-381915725,,,
48,공동기업투자주식손익,공동기업투자주식이익,7142974,19810815,113765168,29395565,,,,
49,공동기업투자주식손익,공동기업투자주식손실,450312865,7142974,9318555,,381915725,517340792,693008001,390899328
50,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),26347560870,87370960570,204789808156,182161809389,79811643822,102913425050,100546651835,86919441113
51,법인세비용,법인세비용,8721991832,25270862207,54094973268,44456126790,28159207452,29179299526,40043372162,25189922426
52,  당기순이익(손실),  당기순이익(손실),17625569038,62100098363,150694834888,137705682599,51652436370,73734125524,60503279673,61729518687
53,  당기순이익(손실),지배기업소유주지분,17618151339,61991751915,150557865844,137591904348,51578902908,73603284345,60384411743,61612044261
54,  당기순이익(손실),비지배지분,7417699,108346448,136969044,113778251,73533462,130841179,118867930,117474426
55,세후기타포괄이익(손실),세후기타포괄이익(손실),3731945083,34186444827,-56722249729,18192837976,9858072552,-4855298668,-22607211243,-26322578619
56,세후기타포괄이익(손실),당기손익으로 재분류되지 않는항목(세후기타포괄손익),-11086431027,23612118286,-33272957352,11062812677,355088276,-11703281827,-17094025581,-21242519757
57,세후기타포괄이익(손실),순확정급여부채의 재측정요소,-10707932720,23412629912,-33272196129,11064937638,359085666,-11699416623,-17096491396,-21242519757
