,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,6529925000000,-5431734000000,6011925000000,3435382000000,2525496000000,5056570000000,5348335000000,5631453000000
1,,,3408147000000,3149744000000,2798665000000,1819995000000,1196390000000,1252563000000,1270273000000,1992211000000
2,,,735379000000,694030000000,835962000000,,,,,
3,,,125286000000,-5331000000,,35349000000,294790000000,,,
4,,,-633835000000,23331000000,,,,,,
5,,,-28909000000,13521000000,,,,,,
6,,,191204000000,-218145000000,,,,,,
7,,,-57683000000,-13095000000,,,,,,
8,,,1771000000,2392000000,,,,,,
9,,,93000000,8828000000,-36219000000,101555000000,15684000000,-2059000000,36893000000,-10949000000
10,,,382000000,-1861000000,,,,,,
11,,,-352455000000,-380349000000,-306747000000,38350000000,-149484000000,34871000000,240329000000,192535000000
12,,,538659000000,465512000000,791783000000,762531000000,1046844000000,1133796000000,1109351000000,1446546000000
13,,,741406000000,591837000000,535404000000,489329000000,474908000000,470487000000,499542000000,455595000000
14,,,13646000000,9007000000,45917000000,22673000000,-3138000000,-1467000000,8649000000,-1871000000
15,,,196596000000,234456000000,163190000000,158813000000,175500000000,181110000000,142855000000,194319000000
16,,,22447000000,-22873000000,,,,,,
17,,,31516000000,-4170000000,-46707000000,-99974000000,13185000000,20684000000,10715000000,15881000000
18,,,-488996000000,,,,,,,
19,,,434251000000,-9030000000,-98270000000,75956000000,497000000,-7394000000,16676000000,135365000000
20,,,3141259000000,-8071782000000,2734245000000,1167712000000,538552000000,2329502000000,2422868000000,3565228000000
21,,,1828780000000,-5497299000000,6827925000000,-8193923000000,1208025000000,-3257262000000,1892744000000,-4095179000000
22,,,-1813891000000,3211882000000,,,,,,
23,,,-20361504000000,-22112925000000,-15605340000000,,,,,
24,,,14601000000,3590000000,9626000000,-84173000000,-28598000000,59445000000,-124703000000,25715000000
25,,,10614000000,8828000000,40376000000,,,,,-723000000
26,,,-3829545000000,-1712775000000,-520606000000,1045446000000,-489332000000,468975000000,1104010000000,4189673000000
27,,,781564000000,-3142332000000,,,,,,
28,,,-602391000000,3382827000000,,,,,,
29,,,23042468000000,16141548000000,13587681000000,13709107000000,4628505000000,14365476000000,9144457000000,4472271000000
30,,,-40511000000,-13988000000,-27383000000,72908000000,-7728000000,-89345000000,125930000000,10589000000
31,,,-243539000000,-187535000000,-201542000000,-322420000000,-263054000000,-281442000000,-170772000000,
32,,,-28878000000,-48816000000,-63082000000,-70378000000,-102522000000,-44885000000,-76694000000,-59892000000
33,,,4383491000000,1895213000000,-965371000000,1837150000000,3761921000000,1756876000000,-317109000000,-2247377000000
34,,,-754860000000,-1203726000000,-356947000000,-180880000000,-262009000000,-272546000000,-183533000000,-1085493000000
35,,,-6623344000000,-1610722000000,-10252983000000,-1575328000000,-3168099000000,-4985299000000,-505928000000,-1930096000000
36,,,-891490000000,-345351000000,,-427000000,,,272176000000,1533684000000
37,,,-9552148000000,-12291714000000,,,,,,
38,,,8019560000000,12273976000000,,,,,,
39,,,-20696885000000,-6752507000000,,,,,,
40,,,19898347000000,13405384000000,,,,,,
41,,,-3080514000000,-8145413000000,,,,,,
42,,,1087793000000,822680000000,,,,,,
43,,,-1194884000000,-141009000000,-54007000000,-97192000000,-202562000000,,,
44,,,54223000000,31739000000,,,,,,
45,,,-570557000000,-497066000000,-740284000000,-557712000000,-503458000000,-317619000000,-190593000000,-231138000000
46,,,132666000000,92031000000,232267000000,226993000000,165278000000,48818000000,18277000000,60282000000
47,,,-518903000000,-1234000000,-266000000,-1539000000,-170149000000,-1995000000,-4941000000,-37000000
48,,,42127000000,2416000000,,1517000000,8798000000,6596000000,,3415000000
49,,,-139066000000,-145645000000,-116173000000,-201398000000,-123428000000,-104123000000,-68212000000,-85080000000
50,,,2151000000,2148000000,12383000000,11722000000,3505000000,9422000000,5986000000,2865000000
51,,,797569000000,-8424000000,59845000000,,,,,
52,,,-13333000000,87267000000,129031000000,110764000000,285164000000,-19372000000,,
53,,,1355611000000,3867159000000,4091844000000,-1321670000000,-827180000000,-489402000000,-2395525000000,-3094122000000
54,,,1142824000000,247856000000,52922000000,-2734809000000,-1428038000000,1312855000000,,
55,,,30481802000000,31944951000000,25321837000000,13488336000000,11702707000000,8536460000000,8868767000000,13466796000000
56,,,-29515123000000,-28522959000000,-20916143000000,-11537353000000,-11501388000000,-10103398000000,-10570302000000,-14754869000000
57,,,-227122000000,,,,,,,
58,,,,199884000000,,,179843000000,,,
59,,,-299996000000,,,,,,,
60,,,-600359000000,-490101000000,-325603000000,-222003000000,-174852000000,-114872000000,-103545000000,-120515000000
61,,,264299000000,536535000000,,,,,,
62,,,-45934000000,-26937000000,-19098000000,-23869000000,-27014000000,-19082000000,-19082000000,-19082000000
63,,,155220000000,-22070000000,-22071000000,8016000000,-8866000000,-274433000000,,
64,,,-9350000000,60262000000,-399451000000,147880000000,32306000000,75184000000,-101790000000,-180471000000
65,,,1252842000000,-3115035000000,-548665000000,,,,,
66,,,5256732000000,8371767000000,8920432000000,8234168000000,9671645000000,10014592000000,7669500000000,7242736000000
67,,,6509574000000,5256732000000,8371767000000,8920432000000,8234168000000,9671645000000,10014592000000,7669500000000
