,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,782267638560,1064966843373,1110999896150,957650662622,851937708742,732583912651,797394865820,811948777383
1,유동자산,현금및현금성자산,144220731464,290968404621,287442354042,158520980846,158437364777,54195325411,63215980426,77484443501
2,유동자산,매출채권및기타채권,377764164991,461180500784,524759788577,511080468947,521030962797,498953582907,535874483689,563580115138
3,유동자산,당기손익-공정가치측정금융자산(유동),0,90208600758,0,,,,,
4,유동자산,기타금융자산(유동),17025339359,13689957171,116722799463,15777588979,2715944973,2782284327,441713187,3729683014
5,유동자산,재고자산,177283976040,165979405369,137844859215,130297173237,138050011207,135534462118,141222255374,127707757196
6,유동자산,기타유동자산,65973426706,42939974670,44230094853,50974450613,31703424988,41118257888,56640433144,39446778534
7,비유동자산,비유동자산,2488591966919,2363176671239,2396595942157,2443434519471,2608544697342,2689780511723,2755751845381,2706717412924
8,비유동자산,매출채권및기타채권(비유동),33349680401,39597637211,46520224118,39018607089,55986270594,68034570223,59227953680,87267243725
9,비유동자산,매도가능금융자산,0,0,9608273807,17088107962,13217191595,13852571412,25136267769,42804854304
10,비유동자산,기타포괄손익-공정가치측정금융자산,13393993241,3807594530,0,,,,,
11,비유동자산,당기손익-공정가치측정금융자산(비유동),4452446334,4622531004,0,,,,,
12,비유동자산,기타금융자산(비유동),34084133324,43640878988,41162021075,39174579378,42043755577,45346841705,46168759057,52568534760
13,비유동자산,투자부동산,24276565371,24398811553,24521056381,27932985918,30959894778,31508310216,32629078528,15495767451
14,비유동자산,유형자산,2052109075114,2053096398616,2068332321081,2103577953549,2241463281704,2283177740620,2338012620884,2187835805536
15,비유동자산,무형자산,174816330085,186842186063,199006547509,205490782442,212871246120,222235924501,227236735785,220888679611
16,비유동자산,사용권자산,143853450545,0,0,,,,,
17,비유동자산,이연법인세자산,8248779556,7106754534,7422250297,11108297643,11944411460,25536193023,27287789543,99771911421
18,비유동자산,기타비유동자산,7512948,63878740,23247889,43205490,58645514,88360023,52640135,84616116
19,자산총계,자산총계,3270859605479,3428143514612,3507595838307,3401085182093,3460482406084,3422364424374,3553146711201,3518666190307
20,유동부채,유동부채,1358865967806,1668455510790,1716625104751,1409831253081,1435825414102,1310515092061,1396974197559,1472925280393
21,유동부채,단기차입금,514416775055,664392676793,680089735480,645895468800,653057589904,623533664773,757381155695,832566848382
22,유동부채,매입채무및기타채무,275266356527,218864367355,241898719770,249231253853,267233026089,207168306566,270920490250,254668460958
23,유동부채,당기법인세부채,12619692381,8770262681,25957786682,7387107561,4044380857,1348013305,4235521632,7951518481
24,유동부채,유동리스부채,17591562453,0,0,,,,,
25,유동부채,유동충당부채,4182261174,0,0,,,,,
26,유동부채,기타금융부채(유동),116155182681,105866152192,63381470530,82513520301,93208171600,92257657734,92417054213,86515852895
27,유동부채,기타유동부채,418634137535,670562051769,705297392289,424803902566,418282245652,386207449683,272019975769,291222599677
28,비유동부채,비유동부채,878797581118,597309469259,573461460085,699350731280,700056992813,783920914767,773051703689,636669078036
29,비유동부채,장기차입금,511657768224,400829695170,367371562670,444002689206,468901430154,550495155311,553984758123,528373240377
30,비유동부채,비유동리스부채,127871330486,0,0,,,,,
31,비유동부채,기타금융부채(비유동),60955767444,51482873763,71727721835,67277240213,63548611051,64573458906,57542927950,24172454919
32,비유동부채,확정급여부채,148288170072,119093974026,100471082356,138026757401,129232893977,142667123521,135050580516,82761344826
33,비유동부채,이연법인세부채,29214486597,24312707953,28289623811,44607624809,33646086528,23237835234,23405084352,1362037914
34,비유동부채,기타비유동부채,810058295,1590218347,5601469413,5436419651,4727971103,2947341795,3068352748,
35,부채총계,부채총계,2237663548924,2265764980049,2290086564836,2109181984361,2135882406915,2094436006828,2170025901248,2109594358429
36,지배기업 소유주지분,지배기업 소유주지분,1032529119634,1161749575515,1216821625771,1291226562139,1324105973155,1327523476343,1382586591827,1408573748611
37,지배기업 소유주지분,자본금,368842230000,368842230000,368842230000,368842230000,368842230000,368842230000,368842230000,365562745000
38,지배기업 소유주지분,보통주자본금,363168055000,363168055000,363168055000,,,,,
39,지배기업 소유주지분,우선주자본금,5674175000,5674175000,5674175000,,,,,
40,지배기업 소유주지분,자본잉여금,509299320749,709299320749,709299320749,709299320749,709299320749,709299320749,709299320749,710136940074
41,지배기업 소유주지분,자기주식,76799811874,76799811874,76799811874,-76799811874,-76799811874,-76799811874,-122693569784,-122693569784
42,지배기업 소유주지분,기타자본,-7724715518,-15858855661,-14560037707,-4000023626,-13335201461,-17293123324,4597707716,27586727695
43,지배기업 소유주지분,이익잉여금,238912096277,176266692301,230039924603,230774846890,279979435741,294344860792,380940903146,394880905626
44,지배기업 소유주지분,이익준비금,80575000000,74986000000,69397000000,63110000000,56120000000,49130000000,41600000000,33100000000
45,지배기업 소유주지분,임의적립금,0,0,0,,,,,
46,지배기업 소유주지분,미처분이익잉여금(미처리결손금),158337096277,101280692301,160642924603,230774846890,279979435741,294344860792,380940903146,394880905626
47,비지배지분,비지배지분,666936921,628959048,687647700,676635593,494026014,404941203,534218126,498083267
48,자본총계,자본총계,1033196056555,1162378534563,1217509273471,1291903197732,1324599999169,1327928417546,1383120809953,1409071831878
49,,자본과부채총계,3270859605479,3428143514612,3507595838307,3401085182093,3460482406084,3422364424374,3553146711201,3518666190307
