,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,28251765918,140972156787,344907886103,184670117453,304046326197,247258165505,246013091578,104783110718
1,영업활동현금흐름,당기순이익(손실),-42394951310,22272352563,12735965796,38447238559,53360071975,21253791241,79103047861,103536195128
2,영업활동현금흐름,당기순이익조정을 위한 가감,333049372921,233666198689,289471774865,231065308675,239341650664,232188476682,239806000678,214761104024
3,영업활동현금흐름,외화환산이익,484357570,601409541,107931660,-907323438,-470166941,-486598262,-6909297,-2512317309
4,영업활동현금흐름,외화환산손실,616078987,229942413,2294484970,812422591,35803175,263201109,1476920071,754997412
5,영업활동현금흐름,대손상각비(대손충당금환입),12968091469,6485460142,4667033078,313150122,2635996368,-143778291,-2310987423,6388099672
6,영업활동현금흐름,기타의 대손상각비,790323371,0,0,,,,,
7,영업활동현금흐름,재고자산폐기손실,2548626301,3034092983,2470494009,3328683891,2136037059,3163010225,1905866694,2926840320
8,영업활동현금흐름,재고자산평가손실,9911677772,0,0,,,,,
9,영업활동현금흐름,매도가능금융자산처분손실,0,0,28185645,,,,,
10,영업활동현금흐름,당기손익-공정가치측정금융자산평가이익,-123987006,-208600758,0,,,,,
11,영업활동현금흐름,당기손익-공정가치측정금융자산평가손실,183886770,1190688880,0,,,,,
12,영업활동현금흐름,감가상각비(투자부동산),122246182,122244828,122243475,166103170,204427202,194406491,63972175,73414105
13,영업활동현금흐름,감가상각비,121879996549,113824401605,111920726773,109912136504,110022954015,113026646373,112884592077,115047134363
14,영업활동현금흐름,유형자산처분이익,2585848267,4061320856,1931902968,-8452147394,-7915132517,-3950225148,-5242016116,-9619908653
15,영업활동현금흐름,유형자산처분손실,22432186719,10555810567,12531484703,16356859707,18450828217,15645331262,12929833565,17302737609
16,영업활동현금흐름,유형자산손상차손,13299717297,0,0,,,,,
17,영업활동현금흐름,무형자산상각비,10393916600,11021816589,7606127589,8629185919,9702808485,9526463037,8242451417,6543473438
18,영업활동현금흐름,무형자산처분이익,734409817,399189329,6705000,,,,-4135714,
19,영업활동현금흐름,무형자산처분손실,169233600,437833118,10910618,20953800,32289800,,130397000,16280000
20,영업활동현금흐름,무형자산손상차손,2366747286,4933378916,0,,1166676166,351100101,631530341,51579610
21,영업활동현금흐름,감가상각비(사용권자산),15578355115,0,0,166103170,204427202,194406491,63972175,73414105
22,영업활동현금흐름,매각예정비유동자산처분손실,0,0,409500000,,,,,
23,영업활동현금흐름,리스조정이익,-3465522,0,0,,,,,
24,영업활동현금흐름,퇴직급여,31548344863,29361461420,86418573189,29754750294,32636622494,32720763197,42156343816,28346647679
25,영업활동현금흐름,충당부채전입액,4182261174,0,0,,,,,
26,영업활동현금흐름,이자수익,1549766945,2017820221,1447337522,-1209382562,-1620522061,-1225529318,-1715741471,-2230141811
27,영업활동현금흐름,배당금수익,-235932403,-214620299,-478818423,-220518091,-236012830,-203743617,-485447098,-458406105
28,영업활동현금흐름,이자비용,46271030212,39662392188,39551480658,41259253335,46244488949,54545959065,56438096429,71089747977
29,영업활동현금흐름,매도가능금융자산처분이익,0,0,-2050288127,,-609268832,-4168675193,-656749855,
30,영업활동현금흐름,파생상품거래이익,0,12931506,0,-1131148,-22780000,,-1624296315,
31,영업활동현금흐름,파생상품평가이익,0,0,41948023,,,,,
32,영업활동현금흐름,파생상품거래손실,290684932,243684932,551157395,373833337,225420000,,,274133301
33,영업활동현금흐름,파생상품평가손실,368742704,352361367,0,105087211,,,,2112811835
34,영업활동현금흐름,법인세비용,42844992548,19726521251,26954304486,22737558435,26441728118,16652235714,75514123837,33449953450
35,영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,-200555480360,-46104312497,95378636862,-40531458803,54380294790,50492926549,-6397043028,-126687491329
36,영업활동현금흐름,매출채권의 감소(증가),77170110794,66287798724,-29475692714,29939784918,-12144704655,23087714097,42254086118,-103195758886
37,영업활동현금흐름,기타채권의 감소(증가),-119027004,-397186480,279309732,-1610597540,1177622396,788788648,15377742810,5397082974
38,영업활동현금흐름,기타금융자산의 감소(증가),-31744813,123043710,0,1835967049,1947659524,23000000,9276646212,16160231998
39,영업활동현금흐름,기타유동자산의 감소(증가),-22910748229,991628857,6946364906,-19461526089,6518754594,15499750684,-16605747418,19569586692
40,영업활동현금흐름,재고자산의 감소(증가),-22051663011,-29525704362,-8008128089,7104471930,-1514542950,5783159741,-11552968467,35503553469
41,영업활동현금흐름,기타비유동자산의 감소(증가),56365792,-40630851,19957601,15440024,29714509,-35719888,-295492864,-41820168
42,영업활동현금흐름,매입채무의 증가(감소),24596436028,-16099165817,-9387053370,-18033882652,53561546536,-35950683387,24431562106,17757876738
43,영업활동현금흐름,기타채무의 증가(감소),29944107727,-6376711506,110570553,-2564646202,7438766577,-20963180250,-27746670908,22136491448
44,영업활동현금흐름,기타금융부채(유동)의 증가(감소),463144541,-6377366087,-19271519580,-11139240099,963856867,-500628605,991587662,-66369466945
45,영업활동현금흐름,기타유동부채의 증가(감소),-252867672330,-35860563755,291633139216,6521656914,32074795969,114187473914,-28336014939,-33589801733
46,영업활동현금흐름,기타금융부채의(비유동) 증가(감소),18090209937,28197675386,4450481622,3728629162,-1024847855,7030530956,-17065480402,4046906000
47,영업활동현금흐름,기타비유동부채의 증가(감소),159998044,-2885627831,165049762,708448548,1780629308,-121010953,318492079,
48,영업활동현금흐름,퇴직금의 지급,-19860836654,-19924210194,-122129879386,-14805282954,-14329692957,-24651327745,-8148873203,-34056031255
49,영업활동현금흐름,퇴직급여채무의 증가(감소),-768866245,415341534,-346989096,170921255,106983047,181116372,,
50,영업활동현금흐름,사외적립자산의 감소(증가),-32425294937,-24632633825,-19606974295,-21105636018,-20258586596,-33843057035,19980734398,6153890337
51,영업활동현금흐름,이자의수령,1865979175,1872736973,1590783088,875686764,1193149961,811489612,1578173816,2126663449
52,영업활동현금흐름,이자의지급,39497838793,39088174700,39350651292,-40345896861,-43243628797,-50063203497,-59763982305,-69595835417
53,영업활동현금흐름,배당금의수령,235932403,214620299,478818423,220518091,236012830,203743617,485447098,453527252
54,영업활동현금흐름,법인세의납부(환급),24451248118,31861264540,15397441639,-5061278972,-1221225226,-7629058699,-8798552542,-19811052389
55,투자활동현금흐름,투자활동현금흐름,-66014569715,-101356655149,-104191794647,-85880269445,-78111774719,-67806367477,-70493400806,-92387574237
56,투자활동현금흐름,기타채무의 증가(감소)(유형자산취득),643650591,-936690009,2049562102,2598907115,,,,
57,투자활동현금흐름,기타채권의 감소(증가)(유형자산매각),367410782,-805140254,-159385606,36000000,41310000,,,
58,투자활동현금흐름,기타금융자산(유동)의 증가,1106872298,52701851249,106722478537,-14543915257,-35445336,-564587939,-10252584114,-2723901816
59,투자활동현금흐름,기타금융자산(유동)의 감소,3942627087,158652623034,4659822610,1835967049,1947659524,23000000,9276646212,2799963359
60,투자활동현금흐름,당기손익-공정가치측정금융상품(유동)의 취득,-76429712351,-90000000000,0,,,,,
61,투자활동현금흐름,당기손익-공정가치측정금융상품(유동)의 처분,166748498015,0,0,,,,,
62,투자활동현금흐름,매도가능금융자산의 감소,0,0,4583263239,121719155,2365767141,14509468433,15592694301,612926582
63,투자활동현금흐름,매도가능금융자산의 증가,0,0,147757920,,,,,
64,투자활동현금흐름,기타포괄손익-공정가치측정금융상품의 처분,92990000,78420000,0,,,,,
65,투자활동현금흐름,기타포괄손익-공정가치측정금융상품의 취득,-4963930321,-22475000,0,,,,,
66,투자활동현금흐름,당기손익-공정가치측정금융상품(비유동)의 취득,0,-949986630,0,,,,,
67,투자활동현금흐름,기타금융자산(비유동)의 증가,5645674473,10531717259,10601105882,-14543915257,-35445336,-564587939,-10252584114,-2723901816
68,투자활동현금흐름,기타금융자산(비유동)의 감소,5745076547,5901452947,8571765779,7430323615,2120890996,4447690848,9276646212,2799963359
69,투자활동현금흐름,유형자산의 처분,5251190398,9696180906,5039630432,42617858028,30027360072,11941420106,8435164422,17490143107
70,투자활동현금흐름,유형자산의 취득,160704038255,119309612732,92170707565,-123905498845,-117723037911,-91549089750,-100953548705,-148335123574
71,투자활동현금흐름,무형자산의 처분,1949090907,1697202676,302207148,150000000,160900000,,443025796,740000000
72,투자활동현금흐름,무형자산의 취득,1904876344,2125061579,1087110447,-1116722862,-1415805613,-2629906483,-6400635229,-179892598581
73,투자활동현금흐름,매각예정비유동자산의 처분,0,0,81490500000,,,,,151241900444
74,재무활동현금흐름,재무활동현금흐름,-111620823316,-38667329608,-105822635780,-102408133112,-123371096801,-184418714004,-183899312905,-69586057828
75,재무활동현금흐름,차입금(단기)의 차입(상환),-348142452269,-240686165958,-185799356730,-187164118662,-173336582351,-341094538184,-358593475805,-183879114121
76,재무활동현금흐름,장기차입금(사채)의 차입,308694260000,257703140000,142614480000,154347200000,119466700000,201075300000,259102200000,298701093393
77,재무활동현금흐름,배당금지급,55684303650,55684303650,62637759050,,,,,
78,재무활동현금흐름,리스부채의 지급,16488338902,0,0,,,,,
79,재무활동현금흐름,연결범위의 변동(비지배지분),11505,0,0,,,,7518797062,
80,환율변동효과 반영전 현금및현금성자산의 순증가(감소),환율변동효과 반영전 현금및현금성자산의 순증가(감소),-149383627113,948172030,134893455676,,,,,
81,외화표시 현금및현금성자산에 대한 환율변동효과,외화표시 현금및현금성자산에 대한 환율변동효과,2635953956,2577878549,-5972082480,3701901173,1678584689,-4053739039,-5888840942,-7041708878
82,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),-146747673157,3526050579,128921373196,83616069,104242039366,-9020655015,-14268463075,-64232230225
83,기초현금및현금성자산,기초현금및현금성자산,290968404621,287442354042,158520980846,158437364777,54195325411,63215980426,77484443501,141716673726
84,기말현금및현금성자산,기말현금및현금성자산,144220731464,290968404621,287442354042,158520980846,158437364777,54195325411,63215980426,77484443501
