,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),2035063966997,1885626108724,1889910216355,1890232768003,1907480759547,1872333382745,1897468863524,2034625756891
1,매출원가,매출원가,1163221150681,1123765706433,1086067408651,-1066385551515,-1087052344469,-1088471091049,-1074666461804,-1162926787947
2,매출총이익,매출총이익,871842816316,761860402291,803842807704,823847216488,820428415078,783862291696,822802401720,871698968944
3,판매비와관리비,판매비와관리비,783596252697,671418319604,716593059063,-699841302726,-686441041750,-690158938126,-661750940782,-704543941122
4,영업이익,영업이익,88246563619,90442082687,87249748641,124005913762,133987373328,93703353570,161051460938,167155027822
5,기타수익,기타수익,12951467537,10921619635,24948666532,21768661571,27357429125,22215004558,72928476383,68402523888
6,기타비용,기타비용,56643936970,23300129045,33086541094,-44652162196,-38226599361,-24969684450,-24442279773,-28727605969
7,금융수익,금융수익,3150840999,4327949717,2370514094,2575304697,3244976040,1725055210,4032383099,5909931962
8,금융비용,금융비용,47254893947,40392649180,41792117891,-42512920840,-46561379039,-54767701933,-58952868949,-77861941925
9,법인세비용차감전순이익,법인세비용차감전순이익,450041238,41998873814,39690270282,61184796994,79801800093,37906026955,154617171698,136986148578
10,법인세비용,법인세비용,42844992548,19726521251,26954304486,-22737558435,-26441728118,-16652235714,-75514123837,-33449953450
11,당기순이익,당기순이익,-42394951310,22272352563,12735965796,38447238559,53360071975,21253791241,79103047861,103536195128
12,기타포괄손익,기타포괄손익,-31103234553,-21718787821,-24492131007,-1552825546,12812724098,-35746111754,-17259931482,-33315801077
13,기타포괄손익,당기손익으로 재분류되는 세후기타포괄손익,5023340182,4597644822,-10602809462,,,,,
14,기타포괄손익,매도가능금융자산평가손익,0,0,-3272824771,3109509457,100321461,365402554,3924340552,2406327311
15,기타포괄손익,해외사업장 환산외환차이,5023340182,4597644822,-7329984691,6337888270,3766590187,-10906053112,-21134974838,-22639205491
16,기타포괄손익,당기손익으로 재분류되지 않는 세후기타포괄손익,-36126574735,-26316432643,-13889321545,-11000223273,8945812450,-25205461196,-49297196,-13082922897
17,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,3195119309,-796198750,0,,,,,
18,기타포괄손익,확정급여제도의 보험수리적손익의 세후기타포괄손익,-39321694044,-25520233893,-13889321545,,,,,
19,총포괄이익,총포괄이익,-73498185863,553564742,-11756165211,36894413013,66172796073,-14492320513,61843116379,70220394051
20,당기순이익의 귀속,지배기업의 소유주지분,-42348598330,22248619599,12682158308,38376848872,53269976949,21145859492,79017331816,103433888005
21,당기순이익의 귀속,비지배지분,-46352980,23732964,53807488,70389687,90095026,107931749,85716045,102307123
22,총 포괄손익의 귀속 [abstract],지배기업의 소유주지분,-73536152231,612253394,-11767177318,36711803434,66173711262,-14363043590,61806981520,70128077616
23,총 포괄손익의 귀속 [abstract],비지배지분,37966368,-58688652,11012107,182609579,-915189,-129276923,36134859,92316435
24,주당이익 [abstract],기본 및 희석주당이익,-610,319,182,551,765,307,1169,1536
