,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 순현금흐름,영업활동으로 인한 순현금흐름,-1464118747000,126519621000,593314273000,2649202768000,-637435927000,1502395252000,492799486000,-3459075408000
1,영업활동으로 인한 순현금흐름,영업활동에서 창출된 현금흐름,-1410650258000,169758466000,894252428000,2923057743000,-614330321000,1629556680000,1175191985000,-2466795690000
2,영업활동으로 인한 순현금흐름,당기순이익(손실),213081106000,-453610241000,2693141932000,626990744000,-1375768355000,-2213786979000,146303386000,1029642958000
3,영업활동으로 인한 순현금흐름,조정항목,-1623731364000,623368707000,-1798889504000,2296066999000,761438034000,3843343659000,1028888599000,-3496438648000
4,영업활동으로 인한 순현금흐름,이자의 수취,96838254000,140694998000,144484691000,200800188000,255505246000,305581462000,320455093000,385506984000
5,영업활동으로 인한 순현금흐름,이자의 지급,158806223000,170526399000,277973922000,-415583956000,-400651840000,-403909861000,-443489722000,-504180991000
6,영업활동으로 인한 순현금흐름,배당금의 수취,2175307000,30112507000,18944993000,50633453000,86977614000,92296690000,52965217000,56100614000
7,영업활동으로 인한 순현금흐름,법인세의 환급(납부),6324173000,-43519951000,-186393917000,-109704660000,35063374000,-121129719000,-612323087000,-929706325000
8,투자활동으로 인한 순현금흐름,투자활동으로 인한 순현금흐름,-329586110000,-5728546000,596311709000,-524754490000,-138568493000,-428108029000,-1263400135000,-809287176000
9,투자활동으로 인한 순현금흐름,단기금융자산의 순증감,-209263058000,-806156539000,-150465818000,,,,,
10,투자활동으로 인한 순현금흐름,기타채권의 감소,8188732000,8535459000,7186438000,1811403000,4967260000,9489599000,8110000000,347754000
11,투자활동으로 인한 순현금흐름,관계기업및공동기업투자의 감소,,18078000000,9545331000,18924095000,143548055000,7934700000,5090313000,490807000
12,투자활동으로 인한 순현금흐름,장기금융자산의 감소,30765251000,156299581000,1522002147000,1233268495000,1599798825000,1259339673000,398583959000,947186881000
13,투자활동으로 인한 순현금흐름,장기기타채권의 감소,32947457000,2050170000,32863519000,89694736000,101923582000,70034423000,185967101000,17580620000
14,투자활동으로 인한 순현금흐름,투자부동산의 처분,32353000,,,,,15236500000,3666402000,
15,투자활동으로 인한 순현금흐름,유형자산의 처분,65938549000,63717993000,103176457000,200862482000,45737187000,127075010000,85864801000,42408096000
16,투자활동으로 인한 순현금흐름,무형자산의 처분,2984000,1995564000,7311255000,16789280000,24683479000,5843993000,4221360000,4629691000
17,투자활동으로 인한 순현금흐름,매각예정비유동자산의 처분,164123554000,1020872543000,123204942000,96120363000,,,,
18,투자활동으로 인한 순현금흐름,정부보조금의 수령,910967000,180322000,440941000,10413980000,736168000,5782891000,1702339000,1455839000
19,투자활동으로 인한 순현금흐름,기타비유동자산의 감소,2693275000,8979600000,309801000,,7059480000,669690000,,426576000
20,투자활동으로 인한 순현금흐름,기타채권의 증가,-47279148000,,,-26281624000,-63469000,-25089000,-2312377000,-6020000000
