,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,15182553166000,13161045950000,15490995769000,22300438167000,46317640151000,52787283421000,54188096316000,54973701392000
1,매출원가,매출원가,14191186947000,12763180484000,14434935998000,20329443875000,44814940955000,53528698470000,50932984966000,50320497869000
2,매출총이익,매출총이익,991366219000,397865466000,1056059771000,1970994292000,1502699196000,-741415049000,3255111350000,4653203523000
3,판매비와관리비,판매비와관리비,701198605000,879230742000,1019253882000,1579464608000,3087605116000,2532578279000,2453128334000,2647673390000
4,영업이익(손실),영업이익(손실),290167614000,-481365276000,36805889000,391529684000,-1584905920000,-3273993328000,801983016000,2005530133000
5,금융수익,금융수익,786610066000,545888959000,1925191679000,1195231725000,1888238656000,1602892026000,1857474471000,2744384316000
6,금융비용,금융비용,1089415879000,822550326000,967984292000,1411615566000,2912678577000,1926196834000,1692710450000,1745961743000
7,기타영업외수익,기타영업외수익,605117261000,389997516000,207781127000,496682258000,1197165364000,969660776000,405200018000,219190566000
8,기타영업외비용,기타영업외비용,502601004000,486036500000,1228699675000,596782021000,410932528000,462059802000,1038459020000,1405591284000
9,지분법손익,지분법손익,63104000,28647000,-188000,20980931000,-36924890000,-25833444000,-189194705000,-369332032000
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),89941162000,-854036980000,-26905460000,96027011000,-1860037895000,-3115530606000,144293330000,1448219956000
11,법인세비용(수익),법인세비용(수익),-123139944000,-209049667000,66484593000,80484334000,-484269540000,-901743627000,-2010056000,418576998000
12,계속영업당기순이익(손실),계속영업당기순이익(손실),213081106000,-644987313000,-93390053000,15542677000,,,,
13,중단영업당기순이익,중단영업당기순이익,,191377072000,2786531985000,611448067000,,,,
14,당기순이익(손실),당기순이익(손실),213081106000,-453610241000,2693141932000,626990744000,-1375768355000,-2213786979000,146303386000,1029642958000
15,기타포괄손익,기타포괄손익,-33381311000,-98165007000,-86092863000,1833398961000,-536838268000,-643450167000,286289118000,-294651002000
16,기타포괄손익,후속적으로 당기손익으로 재분류되는 세후기타포괄손익,9004441000,65200596000,-49439741000,-146620682000,-444866013000,-502267360000,219245406000,-231540456000
17,기타포괄손익,매도가능금융자산평가손익,,,-6158094000,-178311716000,-433381779000,-495770561000,262687801000,-162921977000
18,기타포괄손익,파생상품평가손익,2547141000,-4014582000,23592332000,1819210000,44423068000,-26888716000,-12103449000,11102231000
19,기타포괄손익,해외사업환산손익,2270971000,70354224000,-35294091000,24209673000,-6810172000,-35333047000,-11389648000,-91840279000
20,기타포괄손익,지분법자본변동,4186329000,-1139046000,-31579888000,5662151000,-49097130000,55724964000,-19949298000,12119569000
21,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익,-42385752000,-163365603000,-36653122000,1980019643000,-91972255000,-141182807000,67043712000,-63110546000
22,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,-677044000,-14087110000,,,,,,
23,기타포괄손익,보험수리적손익,-40340358000,-117245765000,16311954000,67717527000,-91689536000,-149567375000,65605512000,-60540104000
24,기타포괄손익,유형자산재평가손익,-1286192000,-31987343000,-52966689000,1912210714000,,,,
25,기타포괄손익,지분법이익잉여금,-82158000,-45385000,1613000,91402000,-282719000,8384568000,1438200000,-2570442000
26,총포괄이익(손실),총포괄이익(손실),179699795000,-551775248000,2607049069000,2460389705000,-1912606623000,-2857237146000,432592504000,734991956000
27,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주지분,164078788000,-489059781000,2457750195000,545170829000,-1349852405000,-1768830282000,278705518000,992606160000
28,당기순이익(손실)의 귀속 [abstract],비지배지분,49002318000,35449540000,235391737000,81819915000,-25915950000,-444956697000,-132402132000,37036798000
29,총포괄이익(손실)의 귀속,지배기업의 소유주지분,128752658000,-581614449000,2376638169000,2247729712000,-1853880331000,-2396298138000,278705518000,992606160000
30,총포괄이익(손실)의 귀속,비지배지분,50947137000,29839201000,230410900000,212659993000,-58726292000,-460939008000,-132402132000,37036798000
31,지배기업의 소유주지분에 대한 주당이익(손실),계속영업주당이익(손실),2183,-10434,-3550,,,,,
32,지배기업의 소유주지분에 대한 주당이익(손실),중단영업주당이익,,2579,48348,9487,,,,
