,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,646020460036,555180681974,365921200622,264054334356,185567942093,208861759605,198826201773,
1,유동자산,현금및현금성자산,118613914875,76509294326,14278103046,26904682970,16221874187,21232657516,14693090757,
2,유동자산,단기금융상품,17998128799,81264518085,68362907687,3975300000,3150000000,57336042678,80180484427,
3,유동자산,매출채권 및 기타유동채권,225485925337,201977501557,160534670949,128363686254,90826906261,86681454770,68097092153,
4,유동자산,기타유동금융자산,99097101336,420000,38868595,1043533249,25046972600,1056403925,2110271326,
5,유동자산,기타유동자산,18811688440,18265990082,16672736088,17691994420,4513871581,5261729165,1472521057,
6,유동자산,반품권자산,4935169857,285740785,,,,,,
7,유동자산,재고자산,160663174700,176829819923,105713906041,86075137463,45808317464,37293471551,32272742053,
8,유동자산,당기법인세자산,415356692,47397216,320008216,,,,,
9,비유동자산,비유동자산,1754288999191,1631237400335,302627352904,228873773156,158728331228,127513918091,96118462450,
10,비유동자산,장기매출채권 및 기타비유동채권,10949743230,9495892213,3000447050,2765202490,2720182461,1787274730,2008616004,
11,비유동자산,유형자산,466944474111,421270922888,236207003634,184945249423,145845456205,121404541732,90139410302,
12,비유동자산,투자부동산,522254819,,,,,,,
13,비유동자산,무형자산,1138438243529,1150707085261,57972312072,40455633755,9622600203,4004956635,3894021881,
14,비유동자산,사용권자산,83953624727,,,,,,,
15,비유동자산,관계기업및 공동기업 투자자산,3399198565,,,,,,,
16,비유동자산,기타비유동금융자산,13490866280,16981846148,4301672228,115574263,89234263,84274263,76414263,
17,비유동자산,기타비유동자산,28357222765,24349417879,90720102,69940000,69940000,19940000,,
18,비유동자산,이연법인세자산,5598703349,6248633056,1055197818,522173225,380918096,212930731,,
19,비유동자산,순확정급여자산,2634667816,2183602890,,,,,,
20,자산총계,자산총계,2400309459227,2186418082309,668548553526,492928107512,344296273321,336375677696,294944664223,
21,유동부채,유동부채,707420208614,517320215188,211960057752,196167570894,114630189296,143726359796,126156900297,
22,유동부채,매입채무 및 기타유동채무,180180223691,157862378104,111798942912,114490842019,73930466288,68890650285,54167719928,
23,유동부채,단기차입금,409507695449,288315096929,78732263427,58342876599,24847128439,60344816249,64727880000,
24,유동부채,당기법인세부채,22935959639,13614676895,6194243662,9464381663,8294841012,8454549342,1654838276,
25,유동부채,기타유동부채,74653847591,56788388303,15234607751,13869470613,7557753557,6036343920,5606462093,
26,유동부채,유동리스부채,13498079069,,,,,,,
27,유동부채,환불부채,6644403175,739674957,,,,,,
28,비유동부채,비유동부채,845016343678,859271039234,123951953088,9073680345,8982404448,12852673868,54894234210,
29,비유동부채,순확정급여부채,6333578211,2345517854,4265867713,4113429095,4790363684,3527288498,1921279662,
30,비유동부채,장기차입금,738988912517,818644345500,119253920681,4777570865,4138640764,6291610370,44226488524,
31,비유동부채,기타비유동부채,4654322929,6129038445,108000000,182680385,53400000,53400000,93400000,
32,비유동부채,비유동리스부채,67431981230,,,,,,,
33,비유동부채,장기매입채무 및 기타비유동채무,4876283,157626809,,,,,,
34,비유동부채,복구충당부채,2437274560,585561882,,,,,,
35,비유동부채,이연법인세부채,25165397948,31408948744,324164694,,,,1608616024,
36,부채총계,부채총계,1552436552292,1376591254422,335912010840,205241251239,123612593744,156579033664,181051134507,
37,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,471364638968,438356508215,305131213923,269872948841,220683679577,179796644032,113893529716,
38,지배기업의 소유주에게 귀속되는 자본,자본금,11440590000,11173349000,10552230500,10550075500,10550075500,10550075500,9741886000,
39,지배기업의 소유주에게 귀속되는 자본,보통주자본금,11440590000,11173349000,10552230500,10550075500,10550075500,10550075500,9741886000,
40,지배기업의 소유주에게 귀속되는 자본,자본잉여금,227864115409,215736953281,116357993281,116260583576,116260583576,116260583576,80988610798,
41,지배기업의 소유주에게 귀속되는 자본,주식발행초과금,227864115409,214734150649,115355190649,115249693826,115249693826,115249693826,76945051798,
42,지배기업의 소유주에게 귀속되는 자본,기타자본잉여금,,1002802632,1002802632,1010889750,1010889750,1010889750,4043559000,
43,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-285771052,-1796158298,-2434272994,1859013778,195035255,7810051,-204613038,
44,지배기업의 소유주에게 귀속되는 자본,기타포괄손익-공정가치측정금융자산평가손익,14778489,946178695,,,,,,
45,지배기업의 소유주에게 귀속되는 자본,매도가능금융자산평가손익,,,-180727,,,,,
46,지배기업의 소유주에게 귀속되는 자본,해외사업장환산외환차이,-300549541,-2742336993,-2434453721,1858833051,194854528,7629324,-204793765,
47,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),232345704611,213242364232,180655263136,141203275987,93677985246,52978174905,23367645956,
48,지배기업의 소유주에게 귀속되는 자본,법정적립금,3066843287,2329402253,1696268423,1168764648,746761628,409159212,204579606,
49,지배기업의 소유주에게 귀속되는 자본,임의적립금,7422161748,7422161748,7422161748,7422161748,7400000000,7400000000,7400000000,
50,지배기업의 소유주에게 귀속되는 자본,미처분이익잉여금(미처리결손금),221856699576,203490800231,171536832965,132612349591,85531223618,45169015693,15763066350,
51,비지배지분,비지배지분,376508267967,371470319672,27505328763,17813907432,,,,
52,자본총계,자본총계,847872906935,809826827887,332636542686,287686856273,220683679577,179796644032,113893529716,
53,,자본과부채총계,2400309459227,2186418082309,668548553526,492928107512,344296273321,336375677696,294944664223,
