,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),1540720628957,1357865265185,821615970194,667469194150,535846082250,461252659671,,
1,매출원가,매출원가,1108456555974,1000870347714,643808077586,-513950323429,-409570653961,360470007950,,
2,매출총이익,매출총이익,432264072983,356994917471,177807892608,153518870721,126275428289,100782651721,,
3,판매비와관리비,판매비와관리비,313645290722,266641031505,110101534149,-80088913995,-65555868964,53938879620,,
4,대손상각비,대손상각비,808735872,386490951,730299679,,,,,
5,영업이익(손실),영업이익(손실),117810046389,89967395015,66976058780,73429956726,60719559325,46843772101,,
6,기타이익,기타이익,4196168743,2753750333,674701227,1592850377,443104084,420876237,,
7,기타손실,기타손실,10289951129,5844270603,1998790161,,,,,
8,금융수익,금융수익,12543274760,11403947527,5864753141,3469700608,2890696848,4433722112,,
9,금융원가,금융원가,60848804499,42892721344,9508732386,,,,,
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),63410734264,55388100928,62007990601,71282631044,58782919229,42967163958,,
11,법인세비용,법인세비용,29772743359,18582728445,13406878202,-18099413479,-13303640465,10161067165,,
12,당기순이익(손실),당기순이익(손실),33637990905,36805372483,48601112399,53183217565,45479278764,32806096793,,
13,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),29057851624,42307152800,47261870189,53079052668,45479278764,32806096793,,
14,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),4580139281,-5501780317,1339242210,104164897,,,,
15,기타포괄손익,기타포괄손익,-611904645,-3283827482,-9496244867,1795019331,-1216219059,-937348695,,
16,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-4528369361,-3225888020,-2534845290,-1333731727,-1403444263,-1149771784,,
17,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-2691555461,-5082295098,-2534845290,-1333731727,-1403444263,-1149771784,,
18,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,-1836813900,1856407078,,,,,,
19,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),3916464716,-57939462,-6961399577,3128751058,187225204,212423089,,
20,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),3916464716,-57939462,-6961399577,3128751058,187225204,212423089,,
21,총포괄손익,총포괄손익,33026086260,33521545001,39104867532,54978236896,44263059705,31868748098,,
22,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",27988137965,37862972398,40433738127,53409299464,44263059705,31868748098,,
23,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",5037948295,-4341427397,-1328870595,1568937432,,,,
24,주당이익 [abstract],기본주당이익(손실),1284,1954,2240,2516,2155,1641,,
25,주당이익 [abstract],희석주당이익(손실),1276,1921,2201,2469,2116,1601,,
