,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출과지분법손익),수익(매출과지분법손익),847609750228,847957280682,824846243568,690029632964,223646645298,,,
1,매출원가(영업비용),매출원가(영업비용),588370003873,563849070337,527886796278,346086829058,,,,
2,매출총이익,매출총이익,259239746355,284108210345,296959447290,343942803906,223646645298,,,
3,판매비와관리비,판매비와관리비,88363764581,72646920832,97637515130,82365849087,42086346871,,,
4,영업이익(손실),영업이익(손실),170875981774,211461289513,199321932160,261576954819,181560298427,,,
5,금융수익,금융수익,14321851880,12066044331,20844894221,17689258096,11340659314,,,
6,금융원가,금융원가,8821657489,6265266783,4856829023,5808456789,1660600863,,,
7,기타영업외수익,기타영업외수익,33726140715,16613628076,73912788567,45195920457,5535929880,,,
8,기타영업외비용,기타영업외비용,13396295293,12226652046,16566305238,16745230859,8700681176,,,
9,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),196706021587,221649043091,272656480687,,,,,
10,법인세비용,법인세비용,33414985234,3293438893,30139183681,32451506502,15372458444,,,
11,당기순이익(손실),당기순이익(손실),163291036353,218355604198,242517297006,269456939222,172703147138,,,
12,기타포괄손익,기타포괄손익,8054268266,-9584766312,-24438100378,4099811525,6334660436,,,
13,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),1735215037,2381167637,7186949177,101181883,-3757542270,,,
14,기타포괄손익,순확정급여부채의 재측정요소,1355217151,824048508,3373346174,177769758,212436308,,,
15,기타포괄손익,관계기업 순확정급여부채의 재측정요소,-303082208,910093997,3813603003,-76587875,-3969978578,,,
16,기타포괄손익,기타포괄손익-공정가치 지분상품 평가손익,683080094,647025132,,,,,,
17,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),6319053229,-11965933949,-31625049555,3998629642,10092202706,,,
18,기타포괄손익,매도가능금융자산평가손익,,,-1106283836,8891032,2563479898,,,
19,기타포괄손익,기타포괄손익-공정가치 채무상품 평가손익,,-745480294,,,,,,
20,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),-411348224,91433185,-144036192,,,,,
21,기타포괄손익,지분법 자본변동,6730401453,-11311886840,-30374729527,3989738610,7528722808,,,
22,총포괄손익,총포괄손익,171345304619,208770837886,218079196628,,,,,
23,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),151337458154,207068039256,233099923540,,,,,
24,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),11953578199,11287564942,9417373466,7921337495,,,,
25,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",158963431436,196912867639,208688102913,,,,,
26,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",12381873183,11857970247,9391093715,8117066924,,,,
27,주당이익 [abstract],기본 및 희석 주당이익(손실),1650,2258,2542,,,,,
