,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,2654780535569,2409543952757,1974524973218,2023911665973,1912706304696,1250271100756,1117651851808,1182706762899
1,유동자산,현금및현금성자산,69400512306,143831970316,227100459672,53578894474,10730893776,12570473281,137530898899,223402541969
2,유동자산,단기금융상품,120156671784,96018361227,6255226092,16090271505,17379577882,21816935039,53042939947,14467082733
3,유동자산,당기손익-공정가치 측정 금융상품,1003019726,,,,,,,
4,유동자산,매출채권,342056837469,204213551659,421847670478,550441942367,197917560482,156894909835,94960151167,226911280729
5,유동자산,유동계약자산,172175144215,76603731342,382784584685,536601942888,960415023813,364308663110,209506354103,142128223067
6,유동자산,기타유동금융자산,6503699721,29379393057,17167641814,36157046018,23064957975,58880201782,51699190750,21620463386
7,유동자산,재고자산,1200362206203,1290887619203,464115987658,506266181953,466848702259,433095107574,359325001327,349711784700
8,유동자산,당기법인세자산,59588567672,,,,,,,
9,유동자산,기타유동자산,683533876473,568609325953,455253402819,324775386768,236349588509,202504810135,211587315615,197777755105
10,비유동자산,비유동자산,1712355072956,1346319558265,1191698035294,956928457034,895451630102,858679173861,833875370774,709815521400
11,비유동자산,당기손익-공정가치 측정 금융상품,39747444042,31110358663,,,,,,
12,비유동자산,장기매도가능금융자산,,,30517991530,27064803120,23933704400,20443270500,20095583670,19295410290
13,비유동자산,기타비유동금융자산,30516608859,7069788484,9275194626,7974449377,9675044508,11496504525,7509876959,9561160709
14,비유동자산,"종속기업, 공동기업과 관계기업에 대한 투자자산",,6392003641,6667467385,5566347547,5261371246,3257528558,3116589437,3577779807
15,비유동자산,유형자산,746251536033,571368927893,547324600248,522062502939,506943034198,494495716141,493689032632,401683852861
16,비유동자산,무형자산,412742681056,450580455572,359958939300,246031334050,229922795487,214455955445,207138040366,220271743464
17,비유동자산,이연법인세자산,345230125703,279798024012,237953842205,148229020001,119715680263,114530198692,102326247710,55425574269
18,비유동자산,기타자산,137866677263,,,324775386768,236349588509,202504810135,211587315615,197777755105
19,자산총계,자산총계,4367135608525,3755863511022,3166223008512,2980840123007,2808157934798,2108950274617,1951527222582,1892522284299
20,유동부채,유동부채,2202891767366,1667807800725,1207795312368,939910353861,921441657808,586586957337,754501228033,572737713655
21,유동부채,단기매입채무,219028669743,289489656223,133631739509,280803104077,231546111317,145004505131,121027817592,137915230626
22,유동부채,기타유동금융부채,293929814913,131280971361,248578594644,164587877534,198237186201,166001175987,129920407194,76750695473
23,유동부채,유동계약부채,574992861516,268139452000,470374128670,99521594693,125287749179,103007033653,86179066738,56121921611
24,유동부채,단기차입금,293776532504,177854410733,,99521594693,125287749179,103007033653,,
25,유동부채,단기초과청구공사,,,227745589012,56805546925,264777634245,95393886157,264935599650,265847065882
26,유동부채,유동성사채,99967961269,199948185388,,200000000000,,,,
27,유동부채,미지급법인세,14429046173,2236200,15364059964,65908710006,60976793439,37488600511,18828014646,
28,유동부채,유동충당부채,80607987810,,,,,,,
29,유동부채,기타유동부채,625517433568,601092888820,112101200569,72283520626,40616183427,39691755898,33610322213,36102800063
30,유동부채,파생금융부채,641459870,,,,,,,
31,비유동부채,비유동부채,981083178918,1035149616904,818022539305,595354165988,672266410039,521662922871,292800613759,432448759790
32,비유동부채,장기차입금,95256023285,83895864598,30018700000,45711576138,125954031539,62017826591,90964874877,161133381570
33,비유동부채,사채,229809590641,259636485254,399381110019,199452325526,199673039753,199481789756,100000000000,100000000000
34,비유동부채,기타비유동금융부채,75356922548,60502387819,28798991223,23661851570,19084194113,15426437433,16629861934,17756392760
35,비유동부채,퇴직급여부채,409356579430,356284864038,332610106885,298723050957,272894492556,219250615287,170820433850,150323786119
36,비유동부채,비유동충당부채,141909426353,260782562476,13028758960,12497558960,41652497095,11844000000,11844000000,
37,비유동부채,기타비유동부채,26948116306,13961940802,14184872218,15307802837,13008154983,13642253804,2541443098,3235199341
38,비유동부채,이연법인세부채,2446520355,85511917,,,,,,
39,부채총계,부채총계,3183974946284,2702957417629,2025817851673,1535264519849,1593708067847,1108249880208,1047301841792,1005186473445
40,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,1141856263297,1009422429113,1140405156839,1445575603158,1214449866951,1000700394409,904152277246,887562373930
41,지배기업의 소유주에게 귀속되는 자본,자본금,487375535000,487375535000,487375535000,487375535000,487375535000,487375535000,487375535000,487375535000
42,지배기업의 소유주에게 귀속되는 자본,주식발행초과금,124077485927,124077485927,124077485927,124077485927,124077485927,124077485927,124077485927,124077485927
43,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),548292476274,415992595501,517210256162,823269141812,592507988579,379212277346,283206942969,267083017768
44,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-17889233904,-18023187315,11741879750,10853440419,10488857445,10035096136,9492313350,9026335235
45,비지배지분,비지배지분,41304398944,43483664280,,,,,73103544,-226563076
46,자본총계,자본총계,1183160662241,1052906093393,1140405156839,1445575603158,1214449866951,1000700394409,904225380790,887335810854
47,,자본과부채총계,4367135608525,3755863511022,3166223008512,2980840123007,2808157934798,2108950274617,1951527222582,1892522284299
