,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,322300306463,350494484474,420113035896,416144940659,435153919791,467804941172,2483998960059,1935952097711
1,유동자산,현금및현금성자산,113213849133,85620326675,123411301169,104265449418,149523590653,165866013824,718276909297,214509230074
2,유동자산,매출채권,115772342841,160594763986,154248502979,186368590237,163256654340,169315613554,1026390806119,1089125369723
3,유동자산,리스채권,1173971491,0,0,,,,,
4,유동자산,기타수취채권,6364724205,21565774242,49583477917,30616489276,18103521683,19306166379,163039531385,42149641330
5,유동자산,파생상품자산,270371942,324395924,137539593,,,,,
6,유동자산,재고자산,81171466237,78194531406,87616077911,87546602064,95950622740,104269409145,417395020316,420016008074
7,유동자산,기타자산,4333580614,4194692241,5116136327,7347809664,8319530375,8776307812,93912202559,107767294881
8,매각예정비유동자산,매각예정비유동자산,0,18002559407,0,,,,,
9,비유동자산,비유동자산,1438103084333,1355651876829,1432209891192,1497891769789,1170887232236,1211630707587,2593132641969,2098784927844
10,비유동자산,기타수취채권,17850277741,10666574898,11458674085,12400099833,11990294869,12568496332,51951995808,43211358681
11,비유동자산,당기손익-공정가치금융자산,4095895207,637193422,0,,,,,
12,비유동자산,매도가능금융자산,0,0,11570028052,16247388322,284856101950,424941891989,405912298259,96083945326
13,비유동자산,기타포괄손익-공정가치금융자산,8212084300,14168719490,0,,,,,
14,비유동자산,파생상품자산,15832589120,15068249387,12189725336,,,,,
15,비유동자산,관계기업에 대한 투자자산,912604895104,876021254384,959725859817,925878299796,644912728566,596936179163,65516781134,67507182836
16,비유동자산,유형자산,266675244279,262403195682,253429606986,336771522153,134793607790,129676735146,1784975318396,1664362637348
17,비유동자산,무형자산,24267329505,29191084820,33394669859,48712267088,46091918969,23208896554,127390495843,104583435070
18,비유동자산,사용권자산,40683860197,0,0,,,,,
19,비유동자산,투자부동산,142614958838,142631081214,147324893803,147406736344,16176524176,16258366735,16340209267,16422051799
20,비유동자산,이연법인세자산,5264029817,4864523532,3116433254,8384087183,29552657946,6343480005,62176893331,39418508987
21,비유동자산,기타비유동자산,1920225,0,0,,,,,
22,자산총계,자산총계,1760403390796,1724148920710,1852322927088,1914036710448,1606041152027,1679435648759,5077131602028,4034737025555
23,유동부채,유동부채,494541506576,288541153145,497746903992,371600552834,378497730792,287495062119,1854645345788,1510944653619
24,유동부채,매입채무,117638996740,153995128960,160707958551,157463112039,120528421452,132996576670,967177301881,898901525719
25,유동부채,기타지급채무,33535047158,26478508054,17650337080,30029623734,21739686737,21685691073,188059250228,207145038108
26,유동부채,단기차입금,41326917975,53901827234,81667626000,92998226996,63836680768,67838431141,330118610036,216417228005
27,유동부채,유동성장기차입금,79342771026,0,58197137557,29864914566,20215647953,41697240468,288851363369,120815311972
28,유동부채,유동성사채,195918352510,39948110930,149916099575,43893833304,140906618573,,,
29,유동부채,충당부채,583356319,672245297,648941811,1354847474,2064945242,732068449,17193934992,16919895477
30,유동부채,당기법인세부채,3791276976,8436620236,19957039946,6132864878,6061935085,18118606092,25111355982,17307333155
31,유동부채,리스부채,15438759127,0,0,,,,,
32,유동부채,기타부채,6966028745,5108712434,9001763472,9302118401,2829894919,2903952304,37427133551,33438321183
33,매각예정비유동부채,매각예정비유동부채,0,1797620803,0,,,,,
34,비유동부채,비유동부채,379766568650,568562352606,420838001759,585940228013,284847406776,446759362345,1503742922472,956437010148
35,비유동부채,사채,151597710447,288515623257,271455810499,374233496778,178584749164,319156292014,618139579170,398767340571
36,비유동부채,장기차입금,138912101484,207229605683,82379404174,143965141642,84685668320,106079885151,647257435796,331861956528
37,비유동부채,순확정급여부채,11611862103,10876894642,11215579637,18992195927,11383271201,12859680687,153176303770,133956411030
38,비유동부채,충당부채,2023039791,0,0,1354847474,2064945242,732068449,17193934992,16919895477
39,비유동부채,이연법인세부채,38193458523,34763508871,39537527356,43562063532,8682941523,6508026695,15214238258,13704737732
40,비유동부채,기타지급채무,1251041402,12163366430,7629285260,4910413097,1035854682,906552974,44683247347,51922804258
41,비유동부채,파생상품부채,7639834273,11520123038,5390632245,561011442,313900063,1522495922,706395749,
42,비유동부채,리스부채,25670072082,0,0,,,,,
43,비유동부채,기타부채,2867448545,3493230685,3229762588,9302118401,2829894919,2903952304,37427133551,33438321183
44,부채총계,부채총계,874308075226,858901126554,918584905751,957540780847,663345137568,734254424464,3358388268260,2467381663767
45,지배기업 소유주지분,지배기업 소유주지분,886077855236,865233618847,933707652784,919619977398,909695675238,916485278021,1653137416619,1505198843250
46,지배기업 소유주지분,자본금,55086180000,55086180000,55086180000,55086180000,55086180000,55086180000,91070165000,91070165000
47,지배기업 소유주지분,주식발행초과금,262014747501,262014747501,262014747501,262014747501,262014747501,262014747501,240385392193,240385392193
48,지배기업 소유주지분,기타자본,-21375963414,-35062119148,-28832641406,-28443506014,-34142846660,-1776079932512,-25808511374,-53221039758
49,지배기업 소유주지분,기타포괄손익누계액,-52676399416,-56015764180,-47820218025,-27699420505,-70885913361,2065173256,25794697301,35869431826
50,지배기업 소유주지분,이익잉여금,643029290565,639210574674,693259584714,658661976416,697623507758,2373399109776,1321695673499,1191094893989
51,비지배지분,비지배지분,17460334,14175309,30368553,36875952203,33000339221,28695946274,65605917149,62156518538
52,자본총계,자본총계,886095315570,865247794156,933738021337,956495929601,942696014459,945181224295,1718743333768,1567355361788
53,,자본과부채총계,1760403390796,1724148920710,1852322927088,1914036710448,1606041152027,1679435648759,5077131602028,4034737025555
