,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,45737475571,813740134,52555158482,85947187781,40770018814,206463895330,553819451354,153439375029
1,영업활동현금흐름,영업으로부터 창출된 현금흐름,58866226008,4837002733,58653159491,98954856884,59394662533,291968243761,648338979075,252337327092
2,영업활동현금흐름,이자의 수취,1030637262,1147618814,1421374028,2125998721,1881881155,14222832219,11058487571,7376384026
3,영업활동현금흐름,이자의 지급,17838048980,21702605313,21985008267,-20920103374,-18143566091,-48298496676,-48536667724,-30723358553
4,영업활동현금흐름,배당금의 수취,14195496028,45428201640,25928019687,18881577450,21346128012,1130743484,2583440815,1893372128
5,영업활동현금흐름,법인세의 납부,10516834747,28896477740,11462386457,-13095141900,-23709086795,-52559427458,-59624788383,-77444349664
6,투자활동현금흐름,투자활동현금흐름,4414740227,37223270065,1967437477,-10489511080,-5967303028,-508741974163,-851358809206,-654839969619
7,투자활동현금흐름,금융기관예치금의 순증감,12650191786,28145343063,-28851426280,-9648638115,-848500144,41144563141,-119659389922,-3862335280
8,투자활동현금흐름,대여금의 증가,1255605451,319483659,1769073240,-731322312,-2884839277,-6406895893,-26484223886,-13871980550
9,투자활동현금흐름,대여금의 감소,1416727342,334782571,2174360779,720086191,2181845055,10634467790,8642198655,4162108593
10,투자활동현금흐름,당기손익-공정가치금융자산의 취득,3499928717,0,0,,,,,
11,투자활동현금흐름,당기손익-공정가치금융자산의 처분,0,181790000,0,,,,,
12,투자활동현금흐름,매도가능금융자산의 처분,0,0,3624031616,10633000000,54579463041,11623521605,1035719564,6128171177
13,투자활동현금흐름,기타포괄손익-공정가치금융자산의 취득,0,1000029000,0,,,,,
14,투자활동현금흐름,사업의 양도로 인한 현금의 순증감,14962705632,-24423747,56463928823,290569108753,,,,
15,투자활동현금흐름,유형자산의 취득,22939709068,27764742877,27545293433,-13120694168,-18689138307,-162525929223,-320312546030,-488867844019
16,투자활동현금흐름,유형자산의 처분,167888857,38179563288,102996425,200262568,408518501,14562036689,7405939362,4677852052
17,투자활동현금흐름,무형자산의 취득,958323954,509529574,2232087213,-2774706272,-22859451292,-32536289319,-42762616161,-40311622339
18,투자활동현금흐름,무형자산의 처분,3870793800,0,0,363923118,,699525652,927060199,
19,재무활동현금흐름,재무활동현금흐름,-23600643141,-77215809075,-29677544293,-121425384544,-53037943764,-247022317433,802464623097,388797992582
20,재무활동현금흐름,단기차입금의 증가,6641408918,21900477008,42452235600,,,,,
21,재무활동현금흐름,단기차입금의 상환,19846535603,57567205000,52152750064,,,,,
22,재무활동현금흐름,유동성장기차입금의 상환,0,202455156,30000000000,,,,,
23,재무활동현금흐름,장기차입금의 증가,9440501484,77777600000,80644578800,174150101360,95863133629,82521873633,589371615749,159336486741
24,재무활동현금흐름,장기차입금의 상환,0,4335915691,60052018629,-35213531954,-61474764896,527530651,-80500000000,-194500000
25,재무활동현금흐름,리스부채의 원금상환,13570342937,0,0,,,,,
26,재무활동현금흐름,파생금융상품의 정산,2060167303,908357396,0,,,-1057321467,-1202512668,7731909
27,재무활동현금흐름,사채의 발행,59000000000,57000000000,47000000000,160000000000,,,320000000000,230000000000
28,재무활동현금흐름,사채의 상환,40000000000,150000000000,44000000000,-145000000000,,,,
29,재무활동현금흐름,사채발행비 지급,269300000,274660000,233230000,,,,,
30,재무활동현금흐름,자기주식의 취득,1906083700,6202024040,0,,,-2155900800,-11878774310,-12994576380
31,재무활동현금흐름,배당금의 지급,21030124000,14403268800,13336360000,,,-21359385600,-17896488000,-22499360000
32,현금및현금성자산의 환율변동효과,현금및현금성자산의 환율변동효과,1041949801,1387824382,-5699199915,709566608,1892804807,-3110499207,-1157586022,-8586270418
33,현금의 증가(감소),현금의 증가(감소),27593522458,-37790974494,19145851751,-45258141235,-16342423171,-552410895473,503767679223,-121188872426
34,기초의 현금,기초의 현금,85620326675,123411301169,104265449418,149523590653,165866013824,718276909297,214509230074,335698102500
35,기말의 현금,기말의 현금,113213849133,85620326675,123411301169,104265449418,149523590653,165866013824,718276909297,214509230074
