,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,217079375211,244457071009,261257660952,329993311462,430392672685,271126730996,148458346485,73689080043
1,유동자산,현금및현금성자산,16747178724,26857833849,38360456117,102545985537,94391873432,22046644206,6425793975,15081999468
2,유동자산,매출채권및기타상각후원가측정금융자산,91091820634,101417103261,107549384555,127315953986,240118685928,125572421134,65243318666,34516144128
3,유동자산,재고자산,100883167112,102818772297,107708562248,95666890859,92576292346,114958161906,70645375445,18809737208
4,유동자산,기타유동금융자산,363976654,0,0,,,,,
5,유동자산,기타유동자산,7993232087,13363361602,2154193750,4464481080,3264168039,8549503750,6143858399,5281199239
6,유동자산,유동당기손익인식지정금융자산,0,0,5485064282,,,,,
7,비유동자산,비유동자산,693753001722,672088885266,677525519268,639255357835,501631711653,471668502947,431364651177,411705203433
8,비유동자산,매출채권 및 기타상각후원가측정금융자산,1469716324,0,0,,,,,
9,비유동자산,관계기업에 대한 투자자산,608840339146,599312296930,602270603317,565169133007,423573181793,357088905210,308105960450,295485884132
10,비유동자산,비유동 당기손익-공정가치 측정 지정 금융자산,315326,0,0,,,,,
11,비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,10693352822,231592480,0,,,,,
12,비유동자산,기타비유동금융자산,430616915,646179269,319099110,339186810,31272010,15820140,6304660,6547500
13,비유동자산,유형자산,24943226364,25717837480,27053808261,27749747301,24822865556,23503103906,19405522325,15329599776
14,비유동자산,투자부동산,26157037256,26381060160,26605083064,26811244404,27273299586,25907558644,30238695373,34516543160
15,비유동자산,영업권 이외의 무형자산,10411276006,11180968064,12548191165,8472763528,7188626198,5175842069,3755581285,2720919698
16,비유동자산,사용권자산,1397999941,0,0,,,,,
17,비유동자산,이연법인세자산,3120565321,3880557968,2348501998,2032911633,3194502484,1633813428,293171424,165080657
18,비유동자산,기타비유동자산,6288556301,4738392915,4880192613,7173381412,5516548626,,,
19,비유동자산,비유동매도가능금융자산,0,0,1500039740,1506989740,10031415400,58343459550,69559415660,63480628510
20,자산총계,자산총계,910832376933,916545956275,938783180220,969248669297,932024384338,742795233943,579822997662,485394283476
21,유동부채,유동부채,228188314551,227222088603,244589839974,304714505065,337109188136,316345376274,158236647312,69747355411
22,유동부채,매입채무 및 기타유동채무,134217167401,156611778294,185897477224,218965366934,213286251609,216691120839,118369493081,47338895552
23,유동부채,단기차입금,44000000000,20000000000,25000000000,25000000000,40000000000,70000000000,17159426261,17199307094
24,유동부채,당기법인세부채,937260941,848557695,4836367787,24354792363,40501089222,1997106515,301994851,486330296
25,유동부채,기타유동금융부채,3166599956,12956964808,5385408211,17077421278,10897234434,10464540867,12860157926,12825386961
26,유동부채,유동계약부채,9655921469,5470139074,0,,,,,
27,유동부채,기타유동부채,36211364784,31334648732,23470586752,19316924490,32424612871,17192608053,9545575193,4722822469
28,비유동부채,비유동부채,36956930191,36229942617,29041098557,16970314664,10665551070,8738048693,12520591353,21754084392
29,비유동부채,확정급여채무의현재가치,11012956084,12425570769,8434888964,7620804323,5974796194,5099640753,3183928326,1942175546
30,비유동부채,기타비유동금융부채,21498264198,7173374179,14409519669,3000527183,1717679341,460103812,499639474,12825386961
31,비유동부채,비유동계약부채,3010405421,11849237982,0,,,,,
32,비유동부채,기타비유동부채,563489524,293393470,497238048,241680925,190747729,17192608053,9545575193,4722822469
33,비유동부채,이연법인세부채,871814964,4488366217,4712155397,5261836942,1980612806,2425920144,8837023553,6986521885
34,비유동부채,비유동충당부채,0,0,987296479,845465291,801715000,752383984,,
35,부채총계,부채총계,265145244742,263452031220,273630938531,321684819729,347774739206,325083424967,170757238665,91501439803
36,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,645685729476,653093476438,665154163638,645286623576,583680589386,416055373094,407881988193,392693924833
37,지배기업의 소유주에게 귀속되는 자본,자본금,32371430000,31749633500,31139937000,29145154500,28592761500,27277489500,26024795500,24831697500
38,지배기업의 소유주에게 귀속되는 자본,기타불입자본,272796689147,274065767689,275443607749,287354326668,211348516208,212695931108,214025371497,171663012176
39,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),355945593940,342864783041,350947677292,323940240212,344570348735,169089884786,150771437562,185965284469
40,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-15427983611,4413292208,7622941597,4846902196,-831037057,6992067700,17060383634,10233930688
41,비지배지분,비지배지분,1402715,448617,-1921949,2277225992,569055746,1656435882,1183770804,1198918840
42,자본총계,자본총계,645687132191,653093925055,665152241689,647563849568,584249645132,417711808976,409065758997,393892843673
43,,자본과부채총계,910832376933,916545956275,938783180220,969248669297,932024384338,742795233943,579822997662,485394283476
