,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,13024009773,2701370433,-33681816841,76523442304,46927261699,5245497902,-234788296,-175636286
1,영업활동현금흐름,당기순이익(손실),30742878636,18021624665,30818254865,7940308277,177449858131,21862379723,9597891463,12480699639
2,영업활동현금흐름,당기순이익조정을 위한 가감,-6400104591,-2043522362,-8552548883,,,,,
3,영업활동현금흐름,퇴직급여,3643190529,2794114943,2648529034,2350295273,2423609985,1702441282,1576428253,746283241
4,영업활동현금흐름,감가상각비,3794070726,2013842809,1984577113,1359750091,878324612,499257777,532518991,697936386
5,영업활동현금흐름,무형자산상각비,2580632096,2591732071,2699338985,1845148564,1153259615,867455189,546559816,203875815
6,영업활동현금흐름,이자비용,1731024448,1098225506,1224013817,1383677075,2648926464,2957446191,1345988002,1387936713
7,영업활동현금흐름,외화환산손실,30555219,110128214,942246862,4732453,57925282,2316090,120098959,116088467
8,영업활동현금흐름,유형자산폐기손실,30000,1987190,476923685,18000,1173472,16529710,240400,387633
9,영업활동현금흐름,재고자산평가손실,-792187573,-656706515,2235159848,492732007,,,,
10,영업활동현금흐름,지급수수료,1081463393,59241260,0,,,,,
11,영업활동현금흐름,관계기업투자주식손상차손,0,5614672638,0,,,,,
12,영업활동현금흐름,법인세비용,4689143550,798289931,2579859654,10973882047,56281076379,-3194458771,851581403,372872603
13,영업활동현금흐름,잡손실,0,0,1268327945,,,,,
14,영업활동현금흐름,주식보상비용(환입),0,0,1267149400,13465428000,,,,
15,영업활동현금흐름,대손상각비,0,0,530717867,,,,,14583708
16,영업활동현금흐름,이자수익,235349315,321781147,838819739,1402149181,1104864387,606388368,433889353,262711035
17,영업활동현금흐름,대손충당금환입,528966497,219227161,0,,,,,
18,영업활동현금흐름,임대료수익,456253550,499481223,433420816,,,,,
19,영업활동현금흐름,유형자산처분이익,7902090,0,4359636,6502927,,4089910,,
20,영업활동현금흐름,당기손익-공정가치금융자산평가이익,0,5829398,0,,,,,
21,영업활동현금흐름,잡이익,1050673,0,0,,,,,
22,영업활동현금흐름,지분법이익,21840980585,15158130100,25099554941,13584327434,69346134879,8177494112,4362833456,9054741786
23,영업활동현금흐름,외화환산이익,87524269,264601380,0,460375428,604971035,390272661,39533919,
24,영업활동현금흐름,당기손익인식금융자산평가이익,0,0,33237961,,,,,
25,영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,-10546236833,-11682495687,-33285764890,104475058169,-81818008894,-4992905985,-9022809382,-5674633284
26,영업활동현금흐름,매출채권의 감소(증가),8468675043,6335327634,19350254288,115377856292,-150549655401,-46495112405,-19811301483,-663453977
27,영업활동현금흐름,미수금의 감소(증가),960826557,33659264,147567433,250711789,35975303937,-13714057843,-10994959610,-122036560
28,영업활동현금흐름,재고자산의 감소(증가),2727792758,5546496466,-14265588937,-3583330520,22381869560,-44660239387,-51835638237,1795314
29,영업활동현금흐름,선급금의 감소(증가),1772327969,-681707926,-2106713555,-2115759886,-1727147915,-3049716099,-1520030373,-1094922761
30,영업활동현금흐름,보증금의 감소(증가),0,-600000,0,,,,,
31,영업활동현금흐름,선급비용의 감소(증가),22930836,-66042921,-1660609,39980632,,,,
32,영업활동현금흐름,계약자산,771534146,-10953453580,0,,,,,
33,영업활동현금흐름,외상매입금,-22637986424,-23373300039,-20474274750,-16340916927,-2051741560,96268542198,72214790590,1754330
34,영업활동현금흐름,미지급금의 증가(감소),-14341847,-5458031861,-17763165202,18843481081,636993419,1551856635,-529415284,-326668871
35,영업활동현금흐름,거래보증금,28622000,0,6930000,-5000000,,,,
36,영업활동현금흐름,선수금의 증가(감소),5988915528,1762808248,267118523,255800424,-13223378132,6723962838,6340181242,386942888
37,영업활동현금흐름,선수수익의 증가(감소),84454551,0,0,,,,,
38,영업활동현금흐름,예수금의 증가(감소),-1449248368,4758746550,3263867030,-1691733469,13685507036,75154466,-2271769632,-3612665100
39,영업활동현금흐름,부가가치세 예수금의 증가(감소),-181914972,1251542665,-396283454,-10901571296,11966379404,-192527866,257053341,54443785
40,영업활동현금흐름,임대보증금의 증가(감소),3460651870,-96160736,77857008,5623506883,2236870000,-2824300000,100000000,-113140432
41,영업활동현금흐름,임차보증금의 감소(증가),0,96160736,-22494408,1832649373,-115451870,-9515480,242840,237660
42,영업활동현금흐름,미지급비용의 증가(감소),492352323,79631644,760108235,-790849663,104899287,444028925,-654777777,134145662
43,영업활동현금흐름,퇴직급여채무의 증가(감소),-228625738,-1062450646,-2470128520,-395721830,-2252395146,-329243680,-453995327,-89772070
44,영업활동현금흐름,계약부채,-4653050166,10851781625,0,,,,,
45,영업활동현금흐름,확정급여채무의현재가치의 증가(감소),-2708384580,0,0,,,,,
46,영업활동현금흐름,사외적립자산의공정가치의 감소(증가),-3451768319,-706902810,-756582213,-675919699,281631,-395514587,-269081752,-216275710
47,영업활동현금흐름,부가가치세대급금의 감소,0,0,1378648992,-1378648992,1064325840,-27435481,4653810,
48,영업활동현금흐름,장기선급비용의 감소(증가),0,0,-423055939,692140,,,,
49,영업활동현금흐름,반품충당부채의 증가(감소),0,0,141831188,43750291,49331016,752383984,,
50,영업활동현금흐름,배당금수취(영업),3185088700,3020432100,0,,413280250,281772500,533250000,533250000
