,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업수익,영업수익,816618823610,707995356123,652324367919,665284666051,776628551410,532886463400,220395816008,20179239149
1,영업수익,기술수출수익,6994613385,5735660512,9977397562,9242618515,158330463197,8002983212,8293825496,7323342977
2,영업수익,임대수익,2455286206,2529178521,2517457827,2490108005,2422184975,2534669271,2622627078,2937018000
3,영업수익,수수료수익,35680835107,26711401606,22265372577,18780059864,15152480289,11439875015,7789888949,2863613141
4,영업수익,특허권수익,8485002803,8381125566,7848250926,6978706494,6221528687,6679061966,6244285174,3778790679
5,영업수익,상표권수익,1844637091,1646011819,1489030470,1671371518,1564946618,1267003873,1312131709,547840763
6,영업수익,제품매출액,2404296479,2367876251,2286760365,2363700706,2243121463,2120092173,2138513010,1942599295
7,영업수익,상품매출액,758754152539,660624101848,605940098192,623758100949,590280545931,500561005390,191461294592,252784294
8,영업비용,영업비용,800473626804,696998474752,638352571484,650217355047,629559499871,523593169765,213573182993,16031708470
9,영업비용,제품매출원가,1443030577,1452670453,1458123488,1553180416,1569401893,,,
10,영업비용,상품매출원가,706842607113,614132717922,559228066696,578579929757,559165593900,,,
11,영업비용,종업원급여비용,38866500574,35459708792,32344159900,29708299976,32619144120,29282487835,25653705361,7667287661
12,영업비용,감가상각비와 기타상각비,6374702822,4605574880,4683916098,3204898655,2031584227,1366712966,1079078807,927023641
13,영업비용,지급수수료,35563235647,28322051683,26302850213,24559859892,21516879481,,,
14,영업비용,수선비와 소모품비,1606290574,1463901061,1478854152,1536884129,2703229200,1493233069,1457146420,561298668
15,영업비용,여비교통 및 출장비,3479294910,3590509919,3592834632,3087558793,3875675060,3498345395,2982478725,511084006
16,영업비용,대손상각비(대손충당금환입),-528966497,-219227161,530717867,-308781203,-1017843176,-3358750340,504688744,14583708
17,영업비용,수도광열비,636729954,617937529,582078354,606090974,701068683,712058125,687059280,602869209
18,영업비용,세금과공과,986780623,940042609,877151268,608963860,1484077415,1242587352,1228237205,876469509
19,영업비용,기타판매비와관리비,5203420507,6632587065,7273818816,7080469798,4910689068,5769237719,2579400788,430097182
