,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,12446620375,25982256129,-62905201161,412965176318,101712291082,-32819709303,85991520616,63268201677
1,영업활동현금흐름,당기순이익(손실),63867247550,34156165932,68973581262,30299647921,162060447333,43295070634,50534447712,28754747883
2,영업활동현금흐름,당기순이익조정을 위한 가감,112658369173,118130778683,55422404920,,,,,
3,영업활동현금흐름,퇴직급여,18349055272,16111769263,13861064251,13506491706,11471432498,8838012377,7550157022,8550102409
4,영업활동현금흐름,감가상각비,48412819036,41240629753,31837452177,35730526862,26789818247,23201808028,25013057737,29754756596
5,영업활동현금흐름,무형자산상각비,6999349190,5952964284,4622815335,3132214592,23341282564,2190507495,2075615085,3758601665
6,영업활동현금흐름,대손상각비,2101969661,2151960292,797159547,-2250641472,2107923551,1843637586,-106933020,1337591072
7,영업활동현금흐름,외화환산손실,2240665624,1020818208,7098317854,6777539981,230343528,727718315,1568587887,2691191799
8,영업활동현금흐름,파생금융자산평가손실,0,523788172,0,,,,,
9,영업활동현금흐름,당기손익-공정가치금융자산평가손실,0,3890777209,0,,,,,
10,영업활동현금흐름,매출채권처분손실,431578764,0,0,,,,,
11,영업활동현금흐름,재고자산평가손실,-4463391897,11316310519,-575244580,2526730608,1444075891,,,998889315
12,영업활동현금흐름,유형자산처분손실,3498573658,169354940,508962480,45976163,181825086,146163859,251207609,885145588
13,영업활동현금흐름,무형자산처분손실,20000000,28227273,1540000,23212122,123377781,186556149,,34170690
14,영업활동현금흐름,이자비용,24997055776,19413760046,10697537303,10074262957,13802367611,13147661294,15512103972,18057057191
15,영업활동현금흐름,관계기업투자주식손상차손,0,606504000,0,,,,,
16,영업활동현금흐름,무형자산손상차손,4222536309,8254613140,4707746361,45764227809,13405994076,2873285951,2450222254,2097018886
17,영업활동현금흐름,매도가능증권처분손실,0,0,18600000,,,,206557,35159843
18,영업활동현금흐름,외화환산이익,1074899662,1399289609,282474768,5704505143,5233093788,1850478964,1137243886,3095316105
19,영업활동현금흐름,당기손익-공정가치금융자산평가이익,6101599145,88386330,0,,,,,
20,영업활동현금흐름,파생금융자산평가이익,1025187562,0,0,,,,,
