,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),1113649783994,1015962250114,916586234608,882724835492,1317534519130,761279849468,730133509597,674005086851
1,수익(매출액),제품매출액,993065990112,861023716339,753399146473,706509536576,649510757767,655887034519,601584101956,546791674908
2,수익(매출액),상품매출액,92216131412,96737617268,90138772620,122501080729,134299904602,82115257264,113315640690,114810059816
3,수익(매출액),임가공매출,7477716711,13396348529,13882680943,15544556397,15948648844,16555308402,13925424951,8430002143
4,수익(매출액),기술수출수익,20430472991,44626096663,57657029469,27726523333,512500523250,1297975000,1308342000,3973349984
5,수익(매출액),기타수익(매출액),459472768,178471315,1508605103,10443138457,5274684667,5424274283,,
6,매출원가,매출원가,481167541557,475046696476,398182018487,421869255479,398250965720,338776803211,313679683278,279326076237
7,매출원가,상품매출원가,397616004255,378147600302,299561621106,294632171525,259021946011,255422615444,287094094242,258772389169
8,매출원가,제품매출원가,78522206459,87429368857,87558716814,115151251819,123550802668,68717323710,15267860778,15520495823
9,매출원가,임가공매출원가,3476047004,8540636914,9766779882,,,14565246798,11317728258,5033191245
10,매출원가,기타수익(매출액)에 대한 매출원가,1553283839,929090403,1294900685,,,,,
11,매출총이익,매출총이익,632482242437,540915553638,518404216121,460855580013,919283553410,422503046257,416453826319,394679010614
12,판매비와관리비,판매비와관리비,334316352912,291436310701,284951554323,291189410027,539496426229,252883111901,259593532509,266548867796
13,경상개발비,경상개발비,194288043395,165905666652,151288985910,142894304618,167987151543,135167920132,94965049239,79986795248
14,영업이익(손실),영업이익(손실),103877846130,83573576285,82163675888,26771865368,211799975638,34452014224,61895244571,48143347570
15,금융수익,금융수익,11552070012,6863205708,5116560394,8472679544,1015014061,3943418764,4239334146,3469224046
16,금융원가,금융원가,25877161736,25067949211,10700180468,10458845498,12346498545,12196271307,14890918143,17594312726
17,기타이익,기타이익,10843180635,8563485264,9350218819,47170373234,33404001520,16452007102,11093656736,7354195580
18,기타손실,기타손실,17126286455,23577517345,27080771411,63958333988,24287979302,6190383410,7508366191,9167893815
19,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),83269648586,50354800701,58849503222,7997738660,209584513372,36460785373,54828951119,32204560655
20,법인세비용,법인세비용,19402401036,16198634769,-10124078040,-22301909261,47524066039,-6834285261,4294503407,3449812772
21,당기순이익(손실),당기순이익(손실),63867247550,34156165932,68973581262,30299647921,162060447333,43295070634,50534447712,28754747883
22,기타포괄손익,기타포괄손익,-21284440069,-6287685678,-4616164589,-13043222241,-6090114379,-10788578689,3385139183,2540047097
23,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-24608712925,-4531682754,-4163725919,-2218771757,-6168670713,-5942384941,-2406771848,56874070
24,기타포괄손익,기타포괄손익-공정가치금융상품평가손익,-17931876720,2809276129,0,,,,,
25,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-13617755235,-8619125814,-5338110153,-2844579176,-7908552196,-7618442231,-3075021125,54040196
26,기타포괄손익,법인세효과,6940919030,1278166931,1174384234,625807419,1739881483,1676057290,668249277,2833874
27,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),3324272856,-1756002924,-452438670,-10824450484,78556334,-4846193748,5791911031,2483173027
28,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),3324272856,-1756002924,-10474034843,-6523916163,2466351399,2681396960,485422334,-4472827366
29,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),0,0,12848200222,-5729619105,-2845162159,-9650757318,6693357200,8793265244
30,기타포괄손익,기타포괄손익관련 법인세효과,0,0,-2826604049,1212971219,673480659,2123166610,-1496701940,-1961948830
31,총포괄손익,총포괄손익,42582807481,27868480254,64357416673,17256425680,155970332954,32506491945,53919586895,31294794980
32,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),52109663313,24891113649,60434211771,23325623229,154443350262,35509505543,43933275559,22636854464
33,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),11757584237,9265052283,8539369491,6974024692,7617097071,7785565091,6601172153,6117893419
34,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",30133186775,19211819285,58699859942,12063423426,147890888783,24253073187,47309091863,26317640190
35,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",12449620706,8656660969,5657556731,5193002254,8079444171,8253418758,6610495032,4977154790
36,주당이익 [abstract],기본및희석주당이익,4514,2158,5482,2242,14830,3434,4871,2737
