,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,478670833491,439783524495,412446117791,554445655784,460251907270,260088441166,287096062647,182244186707
1,유동자산,현금및현금성자산,144506704186,81882702362,75449525328,150112317764,68600685897,35637228650,24049199938,35211460436
2,유동자산,매출채권및기타채권,95515902528,111717583952,132786057869,127478205549,124282060951,111983310752,108726400552,73824356786
3,유동자산,기타유동금융자산,137871428057,161024450879,111091206943,191167411584,184563500362,56691834064,102762254983,39452697618
4,유동자산,기타유동자산,18899524100,18395163059,19806752357,17794456870,18606532110,13098843776,9764658834,8340158635
5,유동자산,당기법인세자산,76787669,90807241,215172977,246134898,734387951,97901891,501108129,501451532
6,유동자산,재고자산,81800486951,66672817002,73097402317,67647129119,63464739999,42579322033,41292440211,24914061700
7,매각예정비유동자산,매각예정비유동자산,,,1604749942,,,,,
8,비유동자산,비유동자산,723967143112,500366367333,561655195213,344972524877,308597262239,283938949723,219106009200,194523843652
9,비유동자산,관계기업투자주식,167859815,29325929099,28212324733,25579397014,20561025156,18550501757,,
10,비유동자산,유형자산,491349901932,259887146909,314725349992,220572073281,207628949919,182093627724,132421638289,110351203316
11,비유동자산,투자부동산,97050060663,95142352039,92693384226,900660546,786626127,817085453,1328363560,1255810150
12,비유동자산,무형자산,47997513190,21738498877,15785312833,10745665519,7001909970,5991955134,6511175538,6882062156
13,비유동자산,기타비유동금융자산,76403110160,62239096949,71665415045,58445394745,52576392990,55108284808,60094843200,57715656098
14,비유동자산,기타비유동자산,8454793388,21549052421,29103360365,18948649639,10111026108,11355114167,11497982849,13780556306
15,비유동자산,이연법인세자산,2543903964,10484291039,9470048019,9780684133,9931331969,10022380680,7252005764,4538555626
16,자산 총계,자산 총계,1202637976603,940149891828,975706062946,899418180661,768849169509,544027390889,506202071847,376768030359
17,유동부채,유동부채,407327091501,299904683175,406461474380,337751677042,316102047232,183588506329,222371022966,145497495873
18,유동부채,매입채무및기타채무,235230532568,228546090277,246536629467,264192384882,240545243041,127592404997,171027114788,107411584668
19,유동부채,단기차입금,40542987262,20858906635,107672245768,17004790975,22379130541,15118506997,22980546567,22702315246
20,유동부채,유동성장기부채,50000000000,3000000000,,,,,144059932,139169094
21,유동부채,전환사채,7996179171,,,,,,,
22,유동부채,당기법인세부채,3682331770,16402798834,17932193461,23294421750,20709346406,18174315815,14567857829,7097057903
23,유동부채,기타유동금융부채,30848377579,,,,,,,
24,유동부채,기타유동부채,22275200708,19147214281,17734567361,13490186516,13774201930,11879993081,8223131566,6454851580
25,유동부채,충당부채,16751482443,11949673148,16585838323,19769892919,18694125314,10823285439,5428312284,1691380382
26,비유동부채,비유동부채,182011615631,65778106079,61628225586,20133521346,17553119644,22392642745,19552035814,16408894057
27,비유동부채,기타비유동금융부채,146354404002,5988327137,5703127714,1816773708,1912536954,1722318255,1401664917,2838343821
28,비유동부채,기타비유동부채,2470327382,556664511,692833060,175960766,134924364,134924364,184155017,93102687
29,비유동부채,충당부채,222054232,278752679,133890546,51138067,18694125314,10823285439,,
30,비유동부채,순확정급여부채,13764830015,18954361752,12098374266,15089648805,15300187999,16617925967,13951500748,9326692287
31,비유동부채,장기차입금,19200000000,40000000000,43000000000,3000000000,,3734089022,3834856886,3938468975
32,부채 총계,부채 총계,589338707132,365682789254,468089699966,357885198388,333655166876,205981149074,241923058780,161906389930
33,자본금,자본금,23533928000,23533928000,23533928000,23533928000,23533928000,23533928000,23533928000,23533928000
34,자본잉여금,자본잉여금,38228731689,38097439100,38097439100,38095381602,38095381602,38095381602,38095381602,36919151157
35,기타자본구성요소,기타자본구성요소,-162823827057,-155115636295,-155775221350,-49395971372,-49421455776,-50903374448,-53222371226,-52767920724
36,이익잉여금,이익잉여금,694459028639,667865099172,601660904373,529204237705,422887160555,327149130913,255735887695,207055157051
37,지배기업 소유주지분,지배기업 소유주지분,593397861271,574380829977,507517050123,541437575935,435095014381,337875066067,264142826071,214740315484
38,비지배지분,비지배지분,19901408200,86272597,99312857,95406338,98988252,171175748,136186996,121324945
39,자본 총계,자본 총계,613299269471,574467102574,507616362980,541532982273,435194002633,338046241815,264279013067,214861640429
40,,자본과 부채 총계,1202637976603,940149891828,975706062946,899418180661,768849169509,544027390889,506202071847,376768030359
