,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,87931067863,-21358558622,71769811104,56920456999,14481796572,96409584106,27081873942,40780324563
1,영업활동현금흐름,영업으로부터 창출된 현금,107536971045,-14527051598,100565880859,88466088767,36573525547,113882336899,43192302735,62638066076
2,영업활동현금흐름,이자수취,8966028389,8331816855,7977298523,8418870060,9880194234,7224267978,5674628023,5863978115
3,영업활동현금흐름,이자지급,19428059473,14032437890,12636388468,,,,,
4,영업활동현금흐름,법인세납부(환급),9620171162,1763038982,24165894232,,,,,
5,영업활동현금흐름,배당금수취,476299064,632152993,28914422,760805526,875878697,899100736,25612004,79050491
6,투자활동현금흐름,투자활동현금흐름,-15430503024,-25091977739,-129468225004,-50291559176,-55223977748,-82825516278,-59509427050,-73251808644
7,투자활동현금흐름,단기금융자산의 감소,50626176962,79561555899,68778122236,,30800000000,55157635089,870000000,4055350392
8,투자활동현금흐름,단기대여금및기타채권의 감소,2433789036,10505512373,1861489804,852592683,,2112148362,2581873885,1135459314
9,투자활동현금흐름,유동성매도가능금융자산의 처분,,,139706139567,250936972125,192474905964,174820258758,215757134047,195619565017
10,투자활동현금흐름,매도가능금융자산의 처분,,,51219334243,60373966274,,,,
11,투자활동현금흐름,당기손익-공정가치금융자산의 처분,297957262339,332604081583,,,,,,
12,투자활동현금흐름,기타포괄손익-공정가치금융자산의 처분,70000000000,60000000000,,,,,,
13,투자활동현금흐름,장기성기타채권의 감소,902043902,97339942,,79112439,,11730000,223993110,30579929
14,투자활동현금흐름,유형자산의 처분,1078426374,1050361739,669283573,425149613,2894404153,451729594,1389116843,263764227
15,투자활동현금흐름,무형자산의 처분,,,1000000000,,,,,
16,투자활동현금흐름,투자부동산의 처분,31142394,,,203334094,,,,
17,투자활동현금흐름,종속기업투자주식의 처분,379073732,,,,,,,
18,투자활동현금흐름,단기금융자산의 증가,51967149884,94272410201,33305204626,44863281746,,3760000000,20963608000,20855793619
19,투자활동현금흐름,단기대여금및기타채권의 증가,2390400151,9200454705,5715262542,1652629162,,1867495703,942196650,1225131995
20,투자활동현금흐름,유동성매도가능금융자산의 취득,,,326641276407,185887167388,189550381869,120191384573,155847906481,118479427328
21,투자활동현금흐름,당기손익-공정가치금융자산의 취득,268320774086,301105251584,,,,,,
22,투자활동현금흐름,기타포괄손익-공정가치금융자산의 취득,70475551601,60369557377,,,,,,
23,투자활동현금흐름,장기성기타채권의 증가,221917127,8576219894,767878588,2027630780,,233952560,244439140,219999640
24,투자활동현금흐름,유형자산의 취득,44805275634,29320467323,25417101530,43079827620,38900902917,30139187597,23652015038,22267488659
25,투자활동현금흐름,무형자산의 취득,657349280,551358870,855870734,576532649,232680813,243234009,293241173,344135891
26,투자활동현금흐름,투자부동산의 취득,,269441556,,,,,,188292480
27,투자활동현금흐름,사업결합으로 인한 순현금유출,,2869937351,,85472534149,5303102502,2590666487,8425647702,
28,투자활동현금흐름,기타 장기성 자산의 취득,,2375730414,,,,,,
29,재무활동현금흐름,재무활동현금흐름,-26976598728,19798586773,-67100152626,42130058680,123695175373,13126710963,44867031407,26529689129
30,재무활동현금흐름,차입금의 차입,1235585292302,1274755676757,1353004530177,1551405940206,1363835766949,1079524044517,1102430597779,958468537336
31,재무활동현금흐름,차입금의 상환,1226919746674,1236040597084,1389886708923,1486391058526,1231698421576,1057725078554,1052763566372,927938848207
32,재무활동현금흐름,리스부채의 상환,14934379511,,,,,,,
33,재무활동현금흐름,배당금지급,18645898900,18916492900,14578388510,10000000000,8000000000,6000000000,4800000000,4000000000
34,재무활동현금흐름,비지배지분 취득,2061865945,,15639585370,3114270050,,55635000,,
35,환율변동효과 반영전 현금및현금성자산의 순증가(감소),환율변동효과 반영전 현금및현금성자산의 순증가(감소),45523966111,-26651949588,-124798566526,48758956503,82952994197,26710778791,12439478299,-5941794952
36,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,163533435,194802393,-5202949340,3039843846,-917489340,267309700,-684119171,-738196011
37,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),45687499546,-26457147195,-130001515866,,,,,
38,기초현금및현금성자산,기초현금및현금성자산,36054869657,62512016852,192513532718,140714732369,58679227512,31701139021,19945779893,26625770856
39,기말현금및현금성자산,기말현금및현금성자산,81742369203,36054869657,62512016852,192513532718,140714732369,58679227512,31701139021,19945779893
