,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,1922418715217,1712686107115,1711333451686,1547654905356,1586508099639,1313177834477,1238695256345,1129564400480
1,매출원가,매출원가,1520708042852,1325960874339,1320957879937,-1247182560197,-1225861246992,-1042749439433,-1010426721580,-906179115456
2,매출총이익,매출총이익,401710672365,386725232776,390375571749,300472345159,360646852647,270428395044,228268534765,223385285024
3,판매비와관리비,판매비와관리비,342710810683,348096216022,333834746265,,,,,
4,영업이익(손실),영업이익(손실),58999861682,38629016754,56540825484,81611764578,142358971197,93144948567,60177644085,63081650725
5,기타이익,기타이익,41049056575,35026025544,55411204370,57080642672,50389724426,26745193038,28375386526,28017568259
6,기타손실,기타손실,95996832753,114673822170,35140245998,,,,,
7,금융수익,금융수익,8499319201,7871549480,7510879899,8153360849,8404235337,7397788641,7325708351,6646402584
8,금융원가,금융원가,19366869021,14698042724,12373499693,-6598598015,-5189469477,-4070288183,-5383739501,-6289535823
9,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),-6815464316,-47845273116,71949164062,63174037573,137267485118,84159679213,59458309419,70570978237
10,법인세비용,법인세비용,10452252298,1957088284,25851833124,-17190110312,-33715803281,-22547130626,-17019591348,-17968803740
11,당기순이익(손실),당기순이익(손실),-17267716614,-49802361400,46097330938,45983927261,103551681837,61612548587,42438718071,52602174497
12,기타포괄손익,기타포괄손익,321511658,-1052837781,1958012246,-638856622,-203656952,3191190732,102016656,-2992231565
13,기타포괄손익,당기손익으로 재분류되지 않는항목(세후),955218845,-2515797922,1169187595,,,,,
14,기타포괄손익,순확정급여부채의 재측정요소(세후),955218845,-1860267772,1169187595,-359261000,-525766801,-3347008735,744771514,-1270376532
15,기타포괄손익,기타포괄-공정가치금융자산 평가손익(세후),,-655530150,,,,,,
16,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후),-633707187,1462960141,788824651,,,,,
17,기타포괄손익,매도가능금융자산평가손익(세후),,,4452251470,-40381426,-111251206,6403314427,537876990,858626739
18,기타포괄손익,기타포괄손익-공정가치금융자산 평가손익(세후),691913555,-707945169,,,,,,
19,기타포괄손익,해외사업장환산외환차이(세후),-1325620742,2170905310,-3663426819,-384821013,379960944,855607102,-877640676,-2592034973
20,총포괄손익,총포괄손익,-16946204956,-50855199181,48055343184,45345070639,103348024885,64803739319,42540734727,49609942932
21,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주,-249257953,-50752338725,43250873669,46947777659,103433610123,61754406967,42604657516,52634043614
22,당기순이익(손실)의 귀속 [abstract],비지배지분,-17018458661,949977325,2846457269,-963850398,118071714,-141858380,-165939445,-31869117
23,총 포괄손익의 귀속 [abstract],지배기업의 소유주,-22358159,-51655424889,45340812448,46209145955,103280807924,64946081186,42709781578,49639413411
24,총 포괄손익의 귀속 [abstract],비지배지분,-16923846797,800225708,2714530736,-864075316,67216961,-142341867,-169046851,-29470479
25,주당이익 [abstract],기본주당이익(손실),-6,-1293,1100,1175,2586,1544,1065,1316
26,주당이익 [abstract],희석주당이익(손실),-6,-1293,1100,,,,,
