,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,306707463699,156519810698,182662679015,,,,,
1,유동자산,현금및현금성자산,57077032200,14321306118,49744221430,,,,,
2,유동자산,단기금융상품,63783691281,4948074530,1213323358,,,,,
3,유동자산,당기손익-공정가치측정금융자산,24000000000,,,,,,,
4,유동자산,매출채권및기타채권,74900427929,75176238735,80966420656,,,,,
5,유동자산,재고자산,61469632201,54910217928,44641059320,,,,,
6,유동자산,당기법인세자산,59507192,135165339,256648104,,,,,
7,유동자산,기타금융자산,4229057248,2534818308,2160178328,,,,,
8,유동자산,기타유동자산,2932209648,4493989740,3680827819,,,,,
9,유동자산,매각예정비유동자산,18255906000,,,,,,,
10,비유동자산,비유동자산,632486687232,635207974181,540657441051,,,,,
11,비유동자산,장기매출채권및기타채권,594162470,1992203821,3594125543,,,,,
12,비유동자산,장기금융상품,29000000,29000000,29000000,,,,,
13,비유동자산,기타포괄손익-공정가치측정금융자산,11064977965,12256633011,11953764721,,,,,
14,비유동자산,유형자산,493976560069,495793017012,399329847792,,,,,
15,비유동자산,투자부동산,,3512128532,3529944278,,,,,
16,비유동자산,영업권,43103232030,43103232030,43103232030,,,,,
17,비유동자산,무형자산,25101997060,27529162209,31650539084,,,,,
18,비유동자산,사용권자산,5485712723,,,,,,,
19,비유동자산,관계기업투자,45554651931,39126251733,34050121724,,,,,
20,비유동자산,기타금융자산,4730158128,8016519084,8597740104,,,,,
21,비유동자산,기타비유동자산,216983518,2343724110,1019279643,,,,,
22,비유동자산,순확정급여자산,,149811425,,,,,,
23,비유동자산,이연법인세자산,2629251338,1356291214,3799846132,,,,,
24,자산총계,자산총계,939194150931,791727784879,723320120066,,,,,
25,유동부채,유동부채,194313349130,165042940141,189990060132,,,,,
26,유동부채,매입채무및기타채무,55279269562,87876713056,78766032150,,,,,
27,유동부채,단기차입금,22120002747,47013344394,44804030525,,,,,
28,유동부채,유동성장기차입금,21927059041,7479229517,53205278961,,,,,
29,유동부채,기타금융부채,1253393590,,7551553,,,,,
30,유동부채,당기법인세부채,13954201616,15138766483,7836539943,,,,,
31,유동부채,유동성사채,71307647700,,,,,,,
32,유동부채,기타유동부채,8226029079,7206022677,5192378247,,,,,
33,유동부채,충당부채,245745795,328864014,178248753,,,,,
34,비유동부채,비유동부채,224327123673,179447982080,142468047018,,,,,
35,비유동부채,장기차입금,15000000000,36861757447,49452112214,,,,,
36,비유동부채,사채,184468269718,125471064866,71076224215,,,,,
37,비유동부채,순확정급여채무,4730226618,128832877,4743162533,,,,,
38,비유동부채,이연법인세부채,16607960343,14965419154,15281698321,,,,,
39,비유동부채,충당부채,1282057534,1183781345,1070574698,,,,,
40,비유동부채,기타금융부채,2238609460,837126391,844275037,,,,,
41,부채총계,부채총계,418640472803,344490922221,332458107150,,,,,
42,지배기업의 소유주 귀속분,지배기업의 소유주 귀속분,448565432198,379785727007,320735014300,,,,,
43,지배기업의 소유주 귀속분,자본금,56475975000,56475975000,56475975000,,,,,
44,지배기업의 소유주 귀속분,기타불입자본,29327612576,29039338954,28826154513,,,,,
45,지배기업의 소유주 귀속분,기타자본구성요소,-9016569658,-8430395659,-1319629908,,,,,
46,지배기업의 소유주 귀속분,이익잉여금,371778414280,302700808712,236752514695,,,,,
47,비지배지분,비지배지분,71988245930,67451135651,70126998616,,,,,
48,자본총계,자본총계,520553678128,447236862658,390862012916,,,,,
49,,자본과부채총계,939194150931,791727784879,723320120066,,,,,
