,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),7154152588581,5937585095470,5585673304390,5703714576919,5558080871335,5454949458338,5189355950027,3653096886473
1,매출원가,매출원가,6119860294890,5024860691415,4639441988628,4804845996828,4697001621187,4546133599513,4326039822536,3066803580892
2,매출총이익,매출총이익,1034292293691,912724404055,946231315762,898868580091,861079250148,908815858825,863316127491,586293305581
3,판매비와관리비,판매비와관리비,550481856992,478948396835,477794628361,476320431807,501529108096,538499585366,499781069983,276695944818
4,영업이익(손실),영업이익(손실),483810436699,433776007220,468436687401,422548148284,359550142052,370316273459,363535057508,309597360763
5,금융수익,금융수익,39102305884,21775438386,13005876744,7202948757,9810017064,7334500723,13716494860,13621093109
6,금융원가,금융원가,82563918382,40193995027,26677255499,29176391538,26438047705,-19601669176,-13636949905,-9015142155
7,기타이익,기타이익,194784596849,170926171018,142182523467,139936459516,114278805097,95993506546,106301013273,71345390071
8,기타손실,기타손실,231367888500,212923573686,183950011224,133883439015,124076049030,-95802044014,-81283314967,-43850084425
9,관계 및 공동기업에 대한 지분법손익,관계 및 공동기업에 대한 지분법손익,3492154426,6261436995,8507552375,9024825921,12559200635,12699047880,8058982240,829381559
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),407257686976,379621484906,421505373264,415652551925,345684068113,370939615418,396691283009,342527998922
11,법인세비용,법인세비용,84644264459,95924065247,123102185030,111896685614,102313082643,80490680424,84588100856,97383058613
12,당기순이익(손실),당기순이익(손실),322613422517,283697419659,298403188234,303755866311,243370985470,,,
13,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),318537089563,277639204729,288563135146,292125004918,230509316538,275385336126,296392130321,231609409297
14,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),4076332954,6058214930,9840053088,11630861393,12861668932,15063598868,15711051832,13535531012
15,주당이익 [abstract],기본주당이익(손실),597,520,541,547,432,516,555,2169
16,주당이익 [abstract],희석주당이익(손실),596,520,541,,,,,
