,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,20490918611,-2994392103,42138652265,3950368121,-454023696,-3518357344,-7780098853,2196009501
1,영업활동현금흐름,당기순이익(손실),19174349790,3300102186,5813253664,2026026424,-7077356954,-12658084909,-21498896519,-2923751106
2,영업활동현금흐름,당기순이익조정을 위한 가감,5299625671,10155121252,2380005472,3830620188,4870451639,16437403937,11940894441,2777504689
3,영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,-4060391982,-17153558926,32758957787,-2489240031,1927294050,-6875944242,2074217713,4901594109
4,영업활동현금흐름,이자수취(영업),1984226919,1878801167,933526224,810604309,519965956,443741412,913546882,747251670
5,영업활동현금흐름,배당금수취(영업),,10129725,186507448,,10435616,7786301,,51207
6,영업활동현금흐름,법인세환급(납부),1906891787,1184987507,-66401670,-227642769,-18856742,66010809,-100221620,-1740432685
7,투자활동현금흐름,투자활동현금흐름,-36596849705,-16109891179,-10051654114,-10803442117,-36315996506,-1834750822,11087872682,-20523926790
8,투자활동현금흐름,단기금융상품의 처분,66673300000,98862055324,72420000000,,,6755000000,25760000000,8359800000
9,투자활동현금흐름,당기손익인식금융자산의 처분,,,28000000000,,,,,
10,투자활동현금흐름,당기손익-공정가치측정금융자산의 처분,120604927822,119259800000,,,,,,
11,투자활동현금흐름,기계장치의 처분,,4000000,310000000,,,,,6000000
12,투자활동현금흐름,차량운반구의 처분,4000000,3090909,250000,,,,12818181,
13,투자활동현금흐름,기타유형자산의 처분,5342000,813331,,,,5000000,,
14,투자활동현금흐름,단기금융상품의 취득,89313090000,113369025324,81864170000,,-33731000000,-5245000000,-8060000000,-23950000000
15,투자활동현금흐름,당기손익인식금융자산의 취득,,,26500700000,,,-1002398000,,
16,투자활동현금흐름,당기손익-공정가치측정금융자산의 취득,120607995586,118831704290,,,,,,
17,투자활동현금흐름,장기금융상품의 취득,79000000,120000000,209000000,-120000000,-422160000,-20000000,-3000000,
18,투자활동현금흐름,기타포괄손익-공정가치측정금융자산의 취득,5608502872,,,,,,,
19,투자활동현금흐름,기계장치의 취득,63636364,,,,,-15400000,,-6300000
20,투자활동현금흐름,구축물의 취득,61000000,,,,,,-8200000,
21,투자활동현금흐름,기타유형자산의 취득,106485182,4317621,2046877,,,,,
22,투자활동현금흐름,기타무형자산의 취득,42800000,,,,,,,
23,투자활동현금흐름,건설중인자산의 취득,1891457198,1914603508,1724987762,,,-1114241945,-4276459687,-2026281282
24,투자활동현금흐름,개발 중인 무형자산의 취득,6110452325,,480999475,,,,,
25,재무활동현금흐름,재무활동현금흐름,-459598952,,592730000,7062997750,38479936950,1770223881,-10136320630,19816343966
26,재무활동현금흐름,주식선택권행사로 인한 현금유입,,,592730000,2563000000,554335000,,803400000,534000000
27,재무활동현금흐름,리스부채의 감소,-459598952,,,,,,,
28,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,3191656,-135665090,-256491949,1457298,14976928,11173850,-60932371,-44823777
29,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),-16562338390,-19239948372,32423236202,211381052,1724893676,,,1488426677
30,기초현금및현금성자산,기초현금및현금성자산,22682394423,41922274059,9499037857,9287656805,7562763129,11134473564,18023952736,16580349836
31,기말현금및현금성자산,기말현금및현금성자산,6120056033,22682325687,41922274059,9499037857,9287656805,7562763129,11134473564,18023952736
