,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),108452042397,91839350940,84230756083,82881524071,80022559942,80879668139,74228313768,76027305223
1,매출원가,매출원가,45671624980,42813724414,41552077430,-44379161087,-43122295658,40835083767,42477936155,40574476886
2,매출총이익,매출총이익,62780417417,49025626526,42678678653,38502362984,36900264284,40044584372,31750377613,35452828337
3,판매비와관리비,판매비와관리비,35640202088,33007065574,29348969671,,,31434568037,35225802845,38517091801
4,경상연구비,경상연구비,10050610570,10544732575,9789695683,-9002815635,-6065993298,7794752655,9507387904,
5,영업이익(손실),영업이익(손실),17089604759,5473828377,3540013299,285400581,-4279947876,815263680,-12982813136,-3064263464
6,금융수익,금융수익,3713871346,3920998898,1345899393,1150342036,1001876698,1007094874,930196268,1043632293
7,금융원가,금융원가,1304414965,1174382501,1012574217,-176745505,-835937670,1108409092,3545133464,2454762681
8,기타이익,기타이익,341162589,251428896,786440491,1027583264,286670537,768294299,1052627332,742485759
9,기타손실,기타손실,2385003190,4475466055,2033162020,,,14239358088,6035163388,240579539
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),17455220539,3996407615,2626616946,1673607437,-4825001293,-12757114327,-20580286388,-3973487632
11,법인세비용(수익),법인세비용(수익),-1719129251,696305429,-3186636718,,,-99029418,918610131,-1049736526
12,당기순이익(손실),당기순이익(손실),19174349790,3300102186,5813253664,2026026424,-7077356954,-12658084909,-21498896519,-2923751106
13,기타포괄손익,기타포괄손익,3817213191,1858991622,486616072,216054831,-2451400795,-295868970,134054138,463267289
14,총포괄손익,총포괄손익,22991562981,5159093808,6299869736,2242081255,-9528757749,-12953953879,-21364842381,-2460483817
15,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),19174349790,3300102186,5813253664,2026026424,-7077356954,-12658084909,-21498896519,-2923751106
16,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),,,,,,,,
17,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",22991562981,5159093808,6299869736,2242081255,-9528757749,-12953953879,-21364842381,-2460483817
18,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",,,,,,,,
19,주당이익 [abstract],기본주당이익(손실),375,64,114,40,-159,-314,-529,-79
20,주당이익 [abstract],희석주당이익(손실),375,64,114,,,,,
