,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,160557174817,130092768154,132848470067,123372798907,139833378128,184516929247,109339072662,
1,영업활동현금흐름,당기순이익(손실),153331330778,161330977490,135958767151,88282576502,169935247561,168295607804,152039486479,
2,영업활동현금흐름,당기순이익조정을 위한 가감,181902466909,155024330461,204507926765,238047134900,166967965313,152118661051,167023085134,
3,영업활동현금흐름,법인세비용,45175253248,49169540805,39221685727,24583235104,51338742684,52878633146,46922969569,
4,영업활동현금흐름,이자비용,547087161,,7885877,,,,1316311,
5,영업활동현금흐름,이자수익,7842692238,6658023936,6329033007,-6333037455,-7284408858,-8284740821,-9651184279,
6,영업활동현금흐름,순당기손익-공정가치측정금융자산 평가손익,-429534151,128056877,0,,,,,
7,영업활동현금흐름,순당기손익-공정가치측정금융자산 처분손익,84696453,,,,,,,
8,영업활동현금흐름,순외화환산손익,863300033,-293662382,1947300118,-527238265,-155588850,-112289730,799261073,
9,영업활동현금흐름,유형자산처분손실,192993658,640345150,54771550,511061933,,,-4994057719,
10,영업활동현금흐름,유형자산처분이익,413658807,719828565,3437512300,-1590016632,-1379463144,-589780068,-4994057719,
11,영업활동현금흐름,퇴직급여,55629787683,39013999670,43619089747,42028392173,35419177406,6847686369,36477493319,
12,영업활동현금흐름,감가상각비,40912083505,36658628011,34492460741,33438567064,31986423198,26751395950,25462718273,
13,영업활동현금흐름,무형자산상각비,2919760241,2845509783,2629701960,2405466983,2105130535,1940017486,3614462178,
14,영업활동현금흐름,무형자산손상차손,21666660,,,,,,,
15,영업활동현금흐름,무형자산손상차손환입,,16666665,54000015,-2500000,-29999985,-18333355,-44333315,
16,영업활동현금흐름,대손상각비,7550319279,-1710891250,2795709936,6349850535,-180868214,4842000000,,
17,영업활동현금흐름,종업원급여충당부채설정액,35140798518,47587839710,84579076159,104376300112,91900482886,63351677688,69352649548,
18,영업활동현금흐름,소송충당부채설정액,2810453856,68428735,5975771100,30514186042,152465758,5846803328,246103382,
19,영업활동현금흐름,손실부담계약충당부채설정액,,210261000,0,,,,,
20,영업활동현금흐름,손실부담계약충당부채환입액,-311382969,,,,,,,
21,영업활동현금흐름,소송충당부채환입액,-835312905,-10347512615,0,,,,,
22,영업활동현금흐름,수탁과제연구수익,-691904652,-1550769150,-938472187,-581881671,-475832017,-1320138695,-1171047775,
23,영업활동현금흐름,공동기업투자주식평가손익,-232101178,924717,56508641,,,,,
24,영업활동현금흐름,공동기업투자주식 손상차손,346651158,,,,,,,
25,영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,-127415225683,-149297750297,-177437849968,-159668600259,-145855379603,-91117973435,-174403414711,
26,영업활동현금흐름,매출채권의 감소(증가),3698922874,10657423340,-14713992554,-7308565585,-28031306818,38763627490,-35312668426,
27,영업활동현금흐름,미청구공사의 감소(증가),-37214904111,-43654946464,-31283100782,-24529736612,-9651881046,-28324529402,-30426815752,
28,영업활동현금흐름,미수금의 감소(증가),1661481914,-977196297,-669213964,-104502125,438632803,-667011085,-1200097864,
29,영업활동현금흐름,선급금의 감소(증가),-1748790389,13140202,-614961961,1238931990,-152503272,-1268712855,-705004595,
30,영업활동현금흐름,선급비용의 감소(증가),1955291650,3973907308,5737634281,-1212180199,3085155961,2736577711,180658412,
31,영업활동현금흐름,재고자산의 감소(증가),-48787589,226026185,44304236,117672989,169080161,516730189,204225183,
32,영업활동현금흐름,기타유동비금융자산의 감소(증가),149183227,-223347311,-326504159,3140588,5117164,550609919,-247987160,
33,영업활동현금흐름,매입채무의 증가(감소),-656159666,2323591268,3739557684,775076358,860838239,-4524934418,-3021582265,
34,영업활동현금흐름,미지급금의 증가(감소),-865910737,-1604495579,4324676036,456641212,3019748037,-45773630,4132030117,
35,영업활동현금흐름,미지급비용의 증가(감소),8065498467,-4786687307,7723642149,7826113470,7411699135,-3189859379,5665444401,
36,영업활동현금흐름,임대보증금의 증가(감소),,3000000,0,,5000000,,,
37,영업활동현금흐름,선수금의 증가(감소),3753892310,-5906539069,-3547507749,6121254176,-2360468248,-2700576016,-513853142,
38,영업활동현금흐름,예수금의 증가(감소),-2846795464,-3038381074,-594550915,2157502731,2571579170,1137492694,519919839,
39,영업활동현금흐름,기타유동비금융부채의 증가(감소),-10471117291,2905715622,-1951988807,5575914647,299961803,-925296030,724379209,
40,영업활동현금흐름,소송충당부채의 증가(감소),-8412607849,-165578518,-9188323183,,,,,
41,영업활동현금흐름,종업원급여충당부채의 증가(감소),-51523552839,-60049984660,-83645171340,-90057901910,-84667733710,-64876860460,-68618764920,
42,영업활동현금흐름,기타유동충당부채의 증가(감소),,-5661803,-1149169727,,,,,
43,영업활동현금흐름,퇴직급여채무의 증가(감소),-21353486850,-28311262720,-25550441380,-13597395000,-5513360230,-31886533010,-8051395560,
44,영업활동현금흐름,사외적립자산의 감소(증가),-11557383340,-20676473420,-25718254710,-47118348250,-33259794390,3719279080,-41317856950,
45,영업활동현금흐름,기타보증금의 증가(감소),,,-54483123,,,,,
46,영업활동현금흐름,이자수취,4121563736,3549174209,2972621397,3999167326,3079039040,5650247465,6577128394,
47,영업활동현금흐름,이자지급,547087161,,7885877,,,,-1316311,
48,영업활동현금흐름,법인세의 납부,50835873762,40513963709,33145109401,-47287479562,-54293494183,-50429613638,-41895896323,
49,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,-88660682238,-123677096475,-193356203681,79814228865,-104646497559,-69895132204,-57233823003,
50,투자활동으로 인한 현금흐름,장단기금융상품의 증가,349888767045,517484525664,233706782791,,,,,
51,투자활동으로 인한 현금흐름,당기손익-공정가치측정금융자산의 증가,70488275346,,,,,,,
52,투자활동으로 인한 현금흐름,장단기금융상품의 감소,294555738282,437638575680,133000000000,270000000000,210000072200,285786531709,340976000000,
53,투자활동으로 인한 현금흐름,당기손익-공정가치측정금융자산의 감소,63717909588,,,,,,,
54,투자활동으로 인한 현금흐름,국공채의 취득,-35490000,-29600000,0,,,,,
55,투자활동으로 인한 현금흐름,국공채의 처분,844280000,554645000,0,,,,,
56,투자활동으로 인한 현금흐름,대여금의 증가,12604692438,12750563822,10020587766,-18927462944,-17898260872,-8085983343,-20239220443,
57,투자활동으로 인한 현금흐름,대여금의 감소,10515075486,11108388196,7123116323,17261601381,18703078544,7390278090,18892263928,
58,투자활동으로 인한 현금흐름,관계기업투자주식의 감소,,41446800,0,,,,,
59,투자활동으로 인한 현금흐름,보증금의 증가,29717815594,23270250000,20567780160,-30996162231,-36738196354,-64150565876,-27990721124,
60,투자활동으로 인한 현금흐름,보증금의 감소,35047907317,27295268404,158401155,21413908074,12917854387,33692389065,19331392937,
61,투자활동으로 인한 현금흐름,정부보조금의 수령(상환),490576398,1870433052,74943095,673583648,788621608,1778599430,606414756,
62,투자활동으로 인한 현금흐름,유형자산의 취득,28846605106,48352432915,72170319855,-58351522428,-59193260748,-90293996830,-39512408243,
63,투자활동으로 인한 현금흐름,유형자산의 처분,531250440,1428565493,5087165483,2726394762,2014379994,1207510928,8715224735,
64,투자활동으로 인한 현금흐름,무형자산의 취득,2781774220,1727046699,2535504165,-3900742297,-3228901581,-2943416874,-2420728173,
65,투자활동으로 인한 현금흐름,만기보유금융자산의 취득,,,23735000,-21765000,-238520000,-848550000,-522175000,
66,투자활동으로 인한 현금흐름,만기보유금융자산의 처분,,,224880000,142825000,208450000,228270000,271880847,
67,재무활동현금흐름,재무활동현금흐름,-83797673493,-66150000000,-30600000000,-76050000000,-75150000000,-68400000000,-64800000000,
68,재무활동현금흐름,배당금지급,80550000000,66150000000,30600000000,,,,,
69,재무활동현금흐름,리스부채의 상환,3247673493,0,0,,,,,
70,환율변동효과 반영전 현금및현금성자산의 순증감,환율변동효과 반영전 현금및현금성자산의 순증감,-11901180914,-59734328321,-91107733614,127137027772,-39963119431,46221797043,-12694750341,
71,환율변동효과,환율변동효과,-293829514,120161364,-1852648028,80066999,29935681,170394946,-699111466,
72,현금및현금성자산의순증감,현금및현금성자산의순증감,-12195010428,-59614166957,-92960381642,127217094771,-39933183750,46392191989,-13393861807,
73,기초현금및현금성자산,기초현금및현금성자산,38461477917,98075644874,191036026516,63818931745,103752115495,57359923506,70753785313,
74,기말현금및현금성자산,기말현금및현금성자산,26266467489,38461477917,98075644874,191036026516,63818931745,103752115495,57359923506,
