,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,2517921000000,2749201000000,5138487000000,6097289000000,9620652000000,,,
1,영업활동현금흐름,영업에서 창출된 현금흐름,-234904000000,-148872000000,388328000000,3265366000000,6583392000000,1971432888000,3610496050000,4398863403000
2,영업활동현금흐름,금융업 이자 및 배당금 수취,3644292000000,3448972000000,5286217000000,3533114000000,3351475000000,3139784471000,3062438124000,3027613464000
3,영업활동현금흐름,금융업 이자지급,-130723000000,-100031000000,-82647000000,-78341000000,-37772000000,-54449106000,-50314043000,-49111751000
4,영업활동현금흐름,법인세의 납부,760744000000,450868000000,453411000000,,,,,
5,투자활동현금흐름,투자활동현금흐름,-3987602000000,-2632220000000,-5665795000000,-5857279000000,-8958195000000,,,
6,투자활동현금흐름,유형자산의 취득,1706707000000,1530513000000,967822000000,-1142472000000,-1462066000000,-821382914000,-1020055445000,-1117836009000
7,투자활동현금흐름,유형자산의 처분,62780000000,201956000000,95080000000,160157000000,124864000000,31848765000,154853241000,72928464000
8,투자활동현금흐름,무형자산의 취득,224975000000,262690000000,157835000000,-139608000000,-88347000000,-55199854000,-59830571000,-42896406000
9,투자활동현금흐름,무형자산의 처분,12979000000,28275000000,33096000000,18723000000,21724000000,4090314000,19725220000,9443059000
10,투자활동현금흐름,투자부동산의 취득,35448000000,20684000000,26307000000,-8735000000,-52644000000,-204989466000,-275346354000,-264627876000
11,투자활동현금흐름,투자부동산의 처분,196004000000,37187000000,487987000000,40045000000,112223000000,14845142000,133284394000,5056679000
12,투자활동현금흐름,관계기업에 대한 투자자산의 취득,151979000000,166909000000,269602000000,,,,,
13,투자활동현금흐름,관계기업에 대한 투자자산의 처분,28693000000,21247000000,19754000000,57144000000,44643000000,,,
14,투자활동현금흐름,당기손익-공정가치측정금융자산의 취득,4998418000000,5374655000000,0,,,,,
15,투자활동현금흐름,당기손익-공정가치측정금융자산의 처분,3894177000000,3586205000000,0,,,,,
16,투자활동현금흐름,기타포괄-공정가치측정금융자산의 취득,7903212000000,6369566000000,0,,,,,
17,투자활동현금흐름,기타포괄-공정가치측정금융자산의 처분,6710951000000,7955795000000,0,,,,,
18,투자활동현금흐름,상각후원가금융자산의 취득,-376913000000,-1880366000000,0,,,,,
19,투자활동현금흐름,상각후원가금융자산의 처분,1333549000000,122395000000,0,,,,,
20,투자활동현금흐름,만기보유금융자산의 증감,0,0,-1234519000000,,,,-4794620560000,-3370900177000
21,투자활동현금흐름,매도가능금융자산의 증감,0,0,-5594414000000,-3484802000000,-7236657000000,,-1223716611000,-1410664281000
22,투자활동현금흐름,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,37587000000,111431000000,80139000000,85427000000,10160000000,28148571000,50150477000,10543579000
23,투자활동현금흐름,기타금융자산의 취득,1240446000000,533733000000,887276000000,,,,,
24,투자활동현금흐름,기타금융자산의 감소,423958000000,1094508000000,996640000000,,,,,
25,투자활동현금흐름,이자수취,75853000000,77908000000,40734000000,50296000000,63313000000,33177698000,47239534000,57547803000
26,투자활동현금흐름,배당금수취,96418000000,499869000000,217277000000,147606000000,68053000000,70744896000,93503272000,157090053000
27,투자활동현금흐름,연결범위 변동 등으로 인한 현금의증감,-241851000000,-224594000000,-947205000000,-1127529000000,-81772000000,306994040000,-14862702000,11347146000
28,투자활동현금흐름,현금의기타유입(유출),19398000000,-5286000000,-20560000000,27951000000,1859000000,-10647677000,-11669568000,-25898002000
29,재무활동현금흐름,재무활동현금흐름,991743000000,1991313000000,-304926000000,1294684000000,9902000000,,,
30,재무활동현금흐름,차입금및사채의 증가,9372322000000,5829985000000,6134727000000,7555523000000,6951460000000,5249461401000,6671874199000,8541018536000
31,재무활동현금흐름,차입금및사채의 상환,8122106000000,4375137000000,6706618000000,-6141185000000,-5786289000000,-5726968846000,-5759552948000,-8380401807000
32,재무활동현금흐름,기타금융부채의 증감,7145000000,-44350000000,-4595000000,-16647000000,-2919000000,40736735000,50554502000,32266638000
33,재무활동현금흐름,비지배지분의 증감,437425000000,1106779000000,718419000000,27217000000,-659651000000,295436983000,121109200000,-173884206000
34,재무활동현금흐름,이자지급,468600000000,469688000000,389819000000,-470750000000,-457896000000,-487113706000,-441837868000,-496080109000
35,재무활동현금흐름,배당금지급,62085000000,56276000000,57040000000,-34803000000,-34803000000,-27847176000,-31325078000,-31325078000
36,재무활동현금흐름,리스료지급,-172358000000,0,0,,,,,
37,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),-477938000000,2108294000000,-832234000000,1534694000000,672359000000,-112293190000,-137823813000,336145332000
38,기초현금및현금성자산,기초현금및현금성자산,5058738000000,2894554000000,3768959000000,2244195000000,1570326000000,1677926304000,1809774172000,1556956178000
39,외화환산으로 인한 현금의변동,외화환산으로 인한 현금의변동,7583000000,55890000000,-42171000000,-9930000000,1510000000,4693891000,5975945000,-83327338000
40,처분집단으로 분류된 현금및현금성자산,처분집단으로 분류된 현금및현금성자산,-13434000000,0,0,,,,,
41,기말현금및현금성자산,기말현금및현금성자산,4574949000000,5058738000000,2894554000000,3768959000000,2244195000000,1570327005000,1677926304000,1809774172000
